molecule_chembl_id,pAffinity,n_meas,std_smiles,scaffold,mw,assay_group,types,n_assays,inter_assay_range
CHEMBL106525,7.14,2,CN1CCN(c2ccc(Nc3c4ccccc4nc4ccccc34)cc2)CC1,c1ccc2c(Nc3ccc(N4CCNCC4)cc3)c3ccccc3nc2c1,368.4840000000001,binding,IC50,2,0.0
CHEMBL1089,5.22,7,NNCCc1ccccc1,c1ccccc1,136.19799999999998,binding,Ki,7,0.5
CHEMBL1179,4.68,5,NC1CC1c1ccccc1,c1ccc(C2CC2)cc1,133.194,binding,IC50|Ki,5,0.4400000000000004
CHEMBL1192435,6.05,1,Cc1cc(NN)n2nc(SCc3ccccc3)nc2n1,c1ccc(CSc2nc3ncccn3n2)cc1,286.36400000000003,binding,IC50,1,0.0
CHEMBL1197637,6.85,5,COc1cc2c(cc1OC)-c1cc3ccc4c(c3c[n+]1CC2)OCO4,c1ccc2c(c1)CC[n+]1cc3c4c(ccc3cc1-2)OCO4,336.36700000000013,binding,IC50,5,0.0
CHEMBL1198896,6.3,1,CN=C(NC)NCCCNCCCNCCCNC(=NC)NC,CN=C(NC)NCCCNCCCNCCCNC(=NC)NC,328.50899999999996,binding,IC50,1,0.0
CHEMBL1215658,5.71,6,NC1CC1c1ccc(OCCC(NC(=O)c2ccccc2)C(=O)NCc2ccccc2)cc1,O=C(NC(CCOc1ccc(C2CC2)cc1)C(=O)NCc1ccccc1)c1ccccc1,443.54700000000014,binding,IC50|Ki,5,0.20999999999999996
CHEMBL1231795,6.75,1,COc1cc2c(NC3CCN(C(C)C)CC3)nc(C3CCCCC3)nc2cc1OCCCN1CCCC1,c1cc2c(NC3CCNCC3)nc(C3CCCCC3)nc2cc1OCCCN1CCCC1,509.73900000000054,binding,IC50,1,0.0
CHEMBL1232432,6.61,5,COc1cc2nc(NCCCN(C)C)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,c1ccc(CN2CCC(Nc3ncnc4ccccc34)CC2)cc1,478.64100000000036,binding,IC50|Kd|Ki,5,0.6900000000000004
CHEMBL1255743,4.56,3,NC1CC1c1ccccc1,c1ccc(C2CC2)cc1,133.194,binding,IC50|Kd,3,1.3499999999999996
CHEMBL131921,5.53,3,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,O=c1c(-c2ccccc2)coc2ccccc12,284.267,binding,IC50,3,0.0
CHEMBL140,5.02,1,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,O=C(C=Cc1ccccc1)CC(=O)C=Cc1ccccc1,368.3850000000001,binding,IC50,1,0.0
CHEMBL1482039,5.42,1,COC1=CC(=O)OC(C=Cc2ccccc2)C1,O=C1C=CCC(C=Cc2ccccc2)O1,230.263,binding,IC50,1,0.0
CHEMBL1503273,4.59,1,Cn1c(C(=O)Nc2ccccc2)cc2sccc21,O=C(Nc1ccccc1)c1cc2sccc2[nH]1,256.33000000000004,binding,IC50,1,0.0
CHEMBL1581095,4.59,1,CCCn1c(SCc2ccc(Cl)cc2)nc2c1c(=O)[nH]c(=O)n2C,O=c1[nH]c(=O)c2[nH]c(SCc3ccccc3)nc2[nH]1,364.8580000000001,binding,IC50,1,0.0
CHEMBL1594810,3.36,1,CC(=O)c1csc(Nc2ccccc2Cl)n1,c1ccc(Nc2nccs2)cc1,252.72600000000003,binding,IC50,1,0.0
CHEMBL1607608,4.4,1,COc1cc(NS(=O)(=O)c2ccccc2)ccc1-n1nc(C)cc1C,O=S(=O)(Nc1ccc(-n2cccn2)cc1)c1ccccc1,357.4350000000002,binding,IC50,1,0.0
CHEMBL16171,5.05,1,COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12,O=c1cc(-c2ccccc2)oc2ccccc12,284.267,binding,IC50,1,0.0
CHEMBL165,4.99,3,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,C(=Cc1ccccc1)c1ccccc1,228.247,binding,IC50,3,0.16999999999999993
CHEMBL1697766,6.04,1,CN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1,339.50800000000015,binding,IC50,1,0.0
CHEMBL1795972,4.38,1,COc1ccc(C2CC2N)cc1,c1ccc(C2CC2)cc1,163.21999999999997,binding,Ki,1,0.0
CHEMBL1795973,4.1,1,NC1CC1c1ccc(F)cc1,c1ccc(C2CC2)cc1,151.184,binding,Ki,1,0.0
CHEMBL1795974,5.43,1,NC1CC1c1ccc(Br)cc1,c1ccc(C2CC2)cc1,212.08999999999997,binding,Ki,1,0.0
