molecule_chembl_id,pAffinity,n_meas,std_smiles,scaffold,mw,assay_group,types,n_assays,inter_assay_range
CHEMBL123446,9.0,1,C#CCN(Cc1cc2c(O)nc(C)nc2cc1Br)c1ccc(C(=O)NCc2cccnc2)cc1,O=C(NCc1cccnc1)c1ccc(NCc2ccc3ncncc3c2)cc1,516.3990000000002,binding,IC50,1,0.0
CHEMBL123756,9.51,1,C#CCN(Cc1cc2c(=O)n(C)c(CN3CCN(C)CC3)nc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,O=C(NCc1cccnc1)c1ccc(NCc2ccc3nc(CN4CCNCC4)[nH]c(=O)c3c2)cc1,584.1240000000003,binding,IC50,1,0.0
CHEMBL1412046,4.67,2,Cc1occc1C(=O)Nc1cccnc1,O=C(Nc1cccnc1)c1ccoc1,202.21300000000002,binding,IC50|Kd,2,0.5
CHEMBL1412250,6.0,1,O=C(Nc1cccnc1)c1ccc(-c2ccccc2)cc1,O=C(Nc1cccnc1)c1ccc(-c2ccccc2)cc1,274.323,binding,IC50,1,0.0
CHEMBL1417786,6.07,1,COc1ccc(CCNC(=O)c2ccc(C)s2)cc1OC,O=C(NCCc1ccccc1)c1cccs1,305.39900000000006,binding,IC50,1,0.0
CHEMBL1485586,5.72,1,O=C(Nc1cccnc1)c1ccc(S(=O)(=O)c2ccccc2)cc1,O=C(Nc1cccnc1)c1ccc(S(=O)(=O)c2ccccc2)cc1,338.388,binding,IC50,1,0.0
CHEMBL1494030,4.66,2,Cn1nccc1C(=O)Nc1cccnc1,O=C(Nc1cccnc1)c1ccn[nH]1,202.217,binding,IC50|Kd,2,1.2400000000000002
CHEMBL1528242,6.4,1,O=C(NCc1cccnc1)Nc1ccc([N+](=O)[O-])cc1,O=C(NCc1cccnc1)Nc1ccccc1,272.264,binding,IC50,1,0.0
CHEMBL1586371,8.15,5,O=S(=O)(c1ccc(NC(=S)NCc2cccnc2)cc1)N1CCCCC1,O=S(=O)(c1ccc(NC(=S)NCc2cccnc2)cc1)N1CCCCC1,390.5340000000002,binding,IC50,5,1.0000000000000009
CHEMBL1645406,4.89,1,O=C(Nc1cccnc1)c1ccccc1,O=C(Nc1cccnc1)c1ccccc1,198.225,binding,IC50,1,0.0
CHEMBL164921,3.9,1,O=[N+]([O-])c1ccc2[nH]cnc2c1,c1ccc2[nH]cnc2c1,163.13599999999997,binding,Kd,1,0.0
CHEMBL17289,8.7,8,N#CN=C(NCCCCCCOc1ccc(Cl)cc1)Nc1ccncc1,N=C(NCCCCCCOc1ccccc1)Nc1ccncc1,371.872,binding,IC50|Kd|Ki,8,2.08
CHEMBL1762233,4.69,1,O=C(C=Cc1ccc[nH]1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,O=C(C=Cc1ccc[nH]1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,379.5040000000001,binding,IC50,1,0.0
CHEMBL1801547,7.31,1,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2ccc(F)cc2F)cc1,O=C(NCc1ccccc1)c1ccc(NCc2ccc3nc[nH]c(=O)c3c2)cc1,486.5220000000001,binding,IC50,1,0.0
CHEMBL1801548,7.01,1,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2ccc(F)c(F)c2F)cc1,O=C(NCc1ccccc1)c1ccc(NCc2ccc3nc[nH]c(=O)c3c2)cc1,504.5120000000001,binding,IC50,1,0.0
CHEMBL1801549,6.82,1,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2ccc(Cl)cc2)cc1,O=C(NCc1ccccc1)c1ccc(NCc2ccc3nc[nH]c(=O)c3c2)cc1,484.9870000000001,binding,IC50,1,0.0
CHEMBL1801550,7.52,1,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2ccc(F)c(F)c2)cc1,O=C(NCc1ccccc1)c1ccc(NCc2ccc3nc[nH]c(=O)c3c2)cc1,486.5220000000001,binding,IC50,1,0.0
CHEMBL1801551,6.6,1,C#CCN(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2cccc(F)c2)cc1,O=C(NCc1ccccc1)c1ccc(NCc2ccc3nc[nH]c(=O)c3c2)cc1,468.5320000000001,binding,IC50,1,0.0
