molecule_chembl_id,pAffinity,n_meas,std_smiles,scaffold,mw,assay_group,types,n_assays,inter_assay_range
CHEMBL105765,6.6,1,O=C(CCCCCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncccn2)CC1,O=C(CCCCCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncccn2)CC1,501.6130000000004,binding,IC50,1,0.0
CHEMBL105925,6.35,1,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCC2)NCC(=O)c1ccccc1,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCC2)NCC(=O)c1ccccc1,355.394,binding,IC50,1,0.0
CHEMBL105995,7.35,1,CN1CCN(c2ccc3nc(O)c4ccccc4c3n2)CC1,c1ccc2c(c1)cnc1ccc(N3CCNCC3)nc12,294.35800000000006,binding,IC50,1,0.0
CHEMBL106154,6.75,2,Nc1cnc2c(c1)[nH]c(=O)c1ccccc12,O=c1[nH]c2cccnc2c2ccccc12,211.224,binding,IC50,2,0.0
CHEMBL106298,6.61,1,C[N+]1([O-])CCN(c2ccc3nc(O)c4ccccc4c3n2)CC1,c1ccc2c(c1)cnc1ccc(N3CC[NH2+]CC3)nc12,310.35700000000014,binding,IC50,1,0.0
CHEMBL106734,6.68,1,Nc1ccc2nc(O)c3ccccc3c2n1,c1ccc2c(c1)cnc1cccnc12,211.22400000000002,binding,IC50,1,0.0
CHEMBL107260,7.05,1,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCC2)NCC(=O)N1CCN(c2ncccn2)CC1,O=C(CCn1c2c(c(=O)[nH]c1=O)CCCC2)NCC(=O)N1CCN(c2ncccn2)CC1,441.4920000000002,binding,IC50,1,0.0
CHEMBL107284,7.24,1,Oc1nc2ccc(N3CCNCC3)nc2c2ccccc12,c1ccc2c(c1)cnc1ccc(N3CCNCC3)nc12,280.331,binding,IC50,1,0.0
CHEMBL107601,7.7,2,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncccn2)CC1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncccn2)CC1,459.53200000000027,binding,IC50,2,0.0
CHEMBL107616,7.16,1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1cccc(-c2ccccc2)c1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1cccc(-c2ccccc2)c1,449.53200000000015,binding,IC50,1,0.0
CHEMBL107659,7.29,1,CN1CC2CC1CN2c1ccc2nc(O)c3ccccc3c2n1,c1ccc2c(c1)cnc1ccc(N3CC4CC3CN4)nc12,306.3690000000001,binding,IC50,1,0.0
CHEMBL107709,6.47,1,Oc1nc2ccc(NCCN3CCOCC3)nc2c2ccccc12,c1ccc2c(c1)cnc1ccc(NCCN3CCOCC3)nc12,324.38399999999996,binding,IC50,1,0.0
CHEMBL107738,4.85,1,Oc1nc2ccccc2c2cccnc12,c1ccc2c(c1)ncc1ncccc12,196.20899999999997,binding,IC50,1,0.0
CHEMBL107764,7.92,1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2cccnc2)cc1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2cccnc2)cc1,450.52000000000015,binding,IC50,1,0.0
CHEMBL107935,7.52,1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(Oc2ccccc2)cc1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(Oc2ccccc2)cc1,465.5310000000002,binding,IC50,1,0.0
CHEMBL108106,6.76,1,CCN(CC)CCNc1ccc2nc(O)c3ccccc3c2n1,c1ccc2c(c1)cnc1cccnc12,310.40100000000007,binding,IC50,1,0.0
CHEMBL108137,7.6,1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2cncnc2)cc1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2cncnc2)cc1,451.50800000000015,binding,IC50,1,0.0
CHEMBL108239,7.7,1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2cccnn2)CC1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2cccnn2)CC1,459.53200000000027,binding,IC50,1,0.0
CHEMBL108316,7.3,1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncncn2)CC1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ncncn2)CC1,460.52000000000027,binding,IC50,1,0.0
CHEMBL108339,7.65,2,COc1ccc(N2CCN(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)CC2)cc1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ccccc2)CC1,487.58200000000033,binding,IC50,1,0.0
CHEMBL108341,7.7,1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2ccccc2)cc1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2ccccc2)cc1,449.53200000000015,binding,IC50,1,0.0
CHEMBL108431,7.15,1,Oc1nc2ccc(N3CCN(CC4CC4)CC3)nc2c2ccccc12,c1ccc2c(c1)cnc1ccc(N3CCN(CC4CC4)CC3)nc12,334.423,binding,IC50,1,0.0
CHEMBL108623,7.7,1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2cc(C(F)(F)F)ccn2)CC1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)N1CCN(c2ccccn2)CC1,526.5410000000002,binding,IC50,1,0.0
CHEMBL1086580,5.925,20,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2,c1ccc(-c2ncc3c(n2)CCSC3)cc1,312.31600000000003,binding,IC50|Kd,18,4.2
CHEMBL108702,7.7,1,Nc1cccc(-c2ccc(C(=O)CNC(=O)CCn3c4c(c(=O)[nH]c3=O)CSCC4)cc2)c1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2ccccc2)cc1,464.5470000000002,binding,IC50,1,0.0
CHEMBL108840,7.6,1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2cccnn2)cc1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(-c2cccnn2)cc1,451.50800000000015,binding,IC50,1,0.0
CHEMBL108849,5.58,1,Oc1nc2ccccc2c2ccncc12,c1ccc2c(c1)ncc1cnccc12,196.20899999999997,binding,IC50,1,0.0
CHEMBL1088787,8.7,1,NC(=O)c1cc(F)cc2[nH]c(-c3ccc(C4CCCN4)cc3F)nc12,c1ccc2[nH]c(-c3ccc(C4CCCN4)cc3)nc2c1,342.349,binding,Ki,1,0.0
CHEMBL1088788,8.52,1,NC(=O)c1cc(F)cc2[nH]c(-c3ccc(C4CCCCN4)cc3)nc12,c1ccc2[nH]c(-c3ccc(C4CCCCN4)cc3)nc2c1,338.386,binding,Ki,1,0.0
CHEMBL1089101,8.22,1,NC(=O)c1cccc2[nH]c(-c3ccc(C4CCCCN4)cc3F)nc12,c1ccc2[nH]c(-c3ccc(C4CCCCN4)cc3)nc2c1,338.38599999999997,binding,Ki,1,0.0
CHEMBL1089124,8.05,1,NC(=O)c1cccc2[nH]c(-c3ccc(C4CCCCN4)cc3F)nc12,c1ccc2[nH]c(-c3ccc(C4CCCCN4)cc3)nc2c1,338.38599999999997,binding,Ki,1,0.0
CHEMBL1089125,8.22,1,NC(=O)c1cccc2nc(-c3ccc(C4CCCCN4)cc3F)[nH]c12,c1ccc2[nH]c(-c3ccc(C4CCCCN4)cc3)nc2c1,338.3859999999999,binding,Ki,1,0.0
CHEMBL1089132,8.7,1,NC(=O)c1cc(F)cc2[nH]c(-c3ccc(C4CCCCN4)cc3F)nc12,c1ccc2[nH]c(-c3ccc(C4CCCCN4)cc3)nc2c1,356.37600000000003,binding,Ki,1,0.0
CHEMBL108919,7.92,1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(N2CCCC2)cc1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(N2CCCC2)cc1,442.5410000000003,binding,IC50,1,0.0
CHEMBL1089332,6.76,1,O=c1[nH]c2ccc(OC3CCN(CCN4CCCCC4)CC3)cc2c2c1CSCC2,O=c1[nH]c2ccc(OC3CCN(CCN4CCCCC4)CC3)cc2c2c1CSCC2,427.61400000000026,binding,IC50,1,0.0
CHEMBL1089474,8.0,1,CC(C)N1CCCCC1c1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1,c1ccc2[nH]c(-c3ccc(C4CCCCN4)cc3)nc2c1,362.47700000000003,binding,Ki,1,0.0
CHEMBL108968,7.52,1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(OC(=O)c2ccccc2)cc1,O=C(CCn1c2c(c(=O)[nH]c1=O)CSCC2)NCC(=O)c1ccc(OC(=O)c2ccccc2)cc1,493.5410000000002,binding,IC50,1,0.0
CHEMBL1089713,7.89,1,CCN1CCC(Oc2ccc3[nH]c(=O)c4c(c3c2)CCSC4)C1,O=c1[nH]c2ccc(OC3CCNC3)cc2c2c1CSCC2,330.45300000000015,binding,IC50,1,0.0
CHEMBL1090018,6.16,1,O=c1[nH]c2ccc(OC3CCN(c4ccccc4)CC3)cc2c2c1CSCC2,O=c1[nH]c2ccc(OC3CCN(c4ccccc4)CC3)cc2c2c1CSCC2,392.5240000000002,binding,IC50,1,0.0
CHEMBL1090019,7.28,1,O=c1[nH]c2ccc(OC3CCN(Cc4ccccc4)CC3)cc2c2c1CSCC2,O=c1[nH]c2ccc(OC3CCN(Cc4ccccc4)CC3)cc2c2c1CSCC2,406.5510000000003,binding,IC50,1,0.0
CHEMBL1090020,7.42,1,O=c1[nH]c2ccc(OC3CCN(CCc4ccccc4)CC3)cc2c2c1CSCC2,O=c1[nH]c2ccc(OC3CCN(CCc4ccccc4)CC3)cc2c2c1CSCC2,420.57800000000026,binding,IC50,1,0.0
