molecule_chembl_id,pAffinity,n_meas,std_smiles,scaffold,mw,assay_group,types,n_assays,inter_assay_range
CHEMBL1089350,4.9,1,CCc1nn(C)c2ncc(C(=O)NCC3Cc4ccccc4C3)c(Cl)c12,O=C(NCC1Cc2ccccc2C1)c1cnc2[nH]ncc2c1,368.8680000000001,binding,IC50,1,0.0
CHEMBL1089686,5.99,1,N#Cc1cccc(-c2nnc(NCCCN3CCN(c4ncccn4)CC3)c3cc4ccccn4c23)c1,c1ccc(-c2nnc(NCCCN3CCN(c4ncccn4)CC3)c3cc4ccccn4c23)cc1,489.58700000000016,binding,Ki,1,0.0
CHEMBL1089687,6.68,1,O=[N+]([O-])c1cccc(-c2nnc(NCCCN3CCN(c4ncccn4)CC3)c3cc4ccccn4c23)c1,c1ccc(-c2nnc(NCCCN3CCN(c4ncccn4)CC3)c3cc4ccccn4c23)cc1,509.57400000000024,binding,Ki,1,0.0
CHEMBL1089743,4.7,1,COc1cccc(-c2ccccc2CNC(=O)c2cnc3c(c(C)nn3C)c2Cl)c1,O=C(NCc1ccccc1-c1ccccc1)c1cnc2[nH]ncc2c1,420.9000000000001,binding,IC50,1,0.0
CHEMBL1090016,6.279999999999999,2,O=C(c1cnccn1)N1CCN(CCCNc2nnc(-c3ccccc3)c3c2cc2ccccn23)CC1,O=C(c1cnccn1)N1CCN(CCCNc2nnc(-c3ccccc3)c3c2cc2ccccn23)CC1,492.5870000000002,binding,IC50|Ki,2,2.2199999999999998
CHEMBL1090017,5.72,1,CC(=O)N1CCN(CCCNc2nnc(-c3cccc(F)c3)c3c2cc2ccccn23)CC1,c1ccc(-c2nnc(NCCCN3CCNCC3)c3cc4ccccn4c23)cc1,446.53000000000026,binding,Ki,1,0.0
CHEMBL1090031,4.85,1,O=C(C1CCCC1)N1CCN(CCCNc2nnc(-c3cccc(F)c3)c3c2cc2ccccn23)CC1,O=C(C1CCCC1)N1CCN(CCCNc2nnc(-c3ccccc3)c3c2cc2ccccn23)CC1,500.62200000000024,binding,Ki,1,0.0
CHEMBL1090032,5.57,1,O=C(c1ccccc1)N1CCN(CCCNc2nnc(-c3cccc(F)c3)c3c2cc2ccccn23)CC1,O=C(c1ccccc1)N1CCN(CCCNc2nnc(-c3ccccc3)c3c2cc2ccccn23)CC1,508.6010000000002,binding,Ki,1,0.0
CHEMBL1090048,6.01,1,Cc1cc2c(NCCCN3CCN(C(=O)c4csnn4)CC3)nnc(-c3cccc([N+](=O)[O-])c3)c2n1C,O=C(c1csnn1)N1CCN(CCCNc2nnc(-c3ccccc3)c3[nH]ccc23)CC1,521.6070000000002,binding,Ki,1,0.0
CHEMBL1090049,6.65,1,Cc1cc2c(NCCCN3CCN(C(=O)c4cncs4)CC3)nnc(-c3cccc([N+](=O)[O-])c3)c2n1C,O=C(c1cncs1)N1CCN(CCCNc2nnc(-c3ccccc3)c3[nH]ccc23)CC1,520.6190000000003,binding,Ki,1,0.0
CHEMBL1090373,7.33,2,O=C(c1cnccn1)N1CCN(CCCNc2nnc(-c3cccc([N+](=O)[O-])c3)c3c2cc2ccccn23)CC1,O=C(c1cnccn1)N1CCN(CCCNc2nnc(-c3ccccc3)c3c2cc2ccccn23)CC1,537.5840000000001,binding,IC50|Ki,2,1.8399999999999999
CHEMBL1090405,5.35,1,Cc1cc2c(NCCCN3CCN(C(=O)c4ccnnc4)CC3)nnc(-c3cccc([N+](=O)[O-])c3)c2n1C,O=C(c1ccnnc1)N1CCN(CCCNc2nnc(-c3ccccc3)c3[nH]ccc23)CC1,515.5780000000002,binding,Ki,1,0.0
CHEMBL1090701,5.36,1,Cc1cc2c(NCCCN3CCN(C(=O)c4ncccn4)CC3)nnc(-c3cccc(F)c3)c2n1C,O=C(c1ncccn1)N1CCN(CCCNc2nnc(-c3ccccc3)c3[nH]ccc23)CC1,488.5710000000002,binding,Ki,1,0.0
CHEMBL1090702,6.0,1,Cc1cc2c(NCCCN3CCN(C(=O)c4ncccn4)CC3)nnc(-c3cccc([N+](=O)[O-])c3)c2n1C,O=C(c1ncccn1)N1CCN(CCCNc2nnc(-c3ccccc3)c3[nH]ccc23)CC1,515.5780000000002,binding,Ki,1,0.0
CHEMBL1090703,4.28,1,Cc1cc2c(NCCCN3CCN(C(=O)c4ccncc4)CC3)nnc(-c3cccc([N+](=O)[O-])c3)c2n1C,O=C(c1ccncc1)N1CCN(CCCNc2nnc(-c3ccccc3)c3[nH]ccc23)CC1,514.5900000000003,binding,Ki,1,0.0
CHEMBL1091062,6.37,1,Cc1cc2c(NCCCN3CCN(C(=O)c4cccnc4)CC3)nnc(-c3cccc([N+](=O)[O-])c3)c2n1C,O=C(c1cccnc1)N1CCN(CCCNc2nnc(-c3ccccc3)c3[nH]ccc23)CC1,514.5900000000003,binding,Ki,1,0.0
CHEMBL1091447,6.62,1,Cc1cc2c(NCCCN3CCN(C(=O)c4ccccn4)CC3)nnc(-c3cccc([N+](=O)[O-])c3)c2n1C,O=C(c1ccccn1)N1CCN(CCCNc2nnc(-c3ccccc3)c3[nH]ccc23)CC1,514.5900000000003,binding,Ki,1,0.0
CHEMBL1091448,5.29,1,Cc1cc2c(NCCCN3CCN(C(=O)c4ccno4)CC3)nnc(-c3cccc([N+](=O)[O-])c3)c2n1C,O=C(c1ccno1)N1CCN(CCCNc2nnc(-c3ccccc3)c3[nH]ccc23)CC1,504.5510000000003,binding,Ki,1,0.0
CHEMBL1091451,5.23,2,c1ccc(-c2nnc(NCCCN3CCN(c4ncccn4)CC3)c3cc4ccccn4c23)cc1,c1ccc(-c2nnc(NCCCN3CCN(c4ncccn4)CC3)c3cc4ccccn4c23)cc1,464.57700000000017,binding,IC50|Ki,2,0.7000000000000002
CHEMBL1091807,5.37,1,Cc1cccc(-c2nnc(NCCCN3CCN(c4ncccn4)CC3)c3cc4ccccn4c23)c1,c1ccc(-c2nnc(NCCCN3CCN(c4ncccn4)CC3)c3cc4ccccn4c23)cc1,478.60400000000016,binding,Ki,1,0.0
CHEMBL1092099,7.11,1,Cc1cc2c(NCCCN3CCN(C(=O)c4cnccn4)CC3)nnc(-c3cccc([N+](=O)[O-])c3)c2n1C,O=C(c1cnccn1)N1CCN(CCCNc2nnc(-c3ccccc3)c3[nH]ccc23)CC1,515.5780000000002,binding,Ki,1,0.0
CHEMBL1092142,5.84,1,Brc1cccc(-c2nnc(NCCCN3CCN(c4ncccn4)CC3)c3cc4ccccn4c23)c1,c1ccc(-c2nnc(NCCCN3CCN(c4ncccn4)CC3)c3cc4ccccn4c23)cc1,543.4730000000002,binding,Ki,1,0.0
CHEMBL1092165,5.7,1,Clc1cccc(-c2nnc(NCCCN3CCN(c4ncccn4)CC3)c3cc4ccccn4c23)c1,c1ccc(-c2nnc(NCCCN3CCN(c4ncccn4)CC3)c3cc4ccccn4c23)cc1,499.02200000000016,binding,Ki,1,0.0
CHEMBL1092166,5.57,1,Fc1cccc(-c2nnc(NCCCN3CCN(c4ncccn4)CC3)c3cc4ccccn4c23)c1,c1ccc(-c2nnc(NCCCN3CCN(c4ncccn4)CC3)c3cc4ccccn4c23)cc1,482.5670000000002,binding,Ki,1,0.0
CHEMBL1092794,6.38,1,O=C(c1cccnc1)N1CCN(CCCNc2nnc(-c3cccc(F)c3)c3c2cc2ccccn23)CC1,O=C(c1cccnc1)N1CCN(CCCNc2nnc(-c3ccccc3)c3c2cc2ccccn23)CC1,509.5890000000002,binding,Ki,1,0.0
CHEMBL1093070,6.62,1,O=C(c1ccccn1)N1CCN(CCCNc2nnc(-c3cccc(F)c3)c3c2cc2ccccn23)CC1,O=C(c1ccccn1)N1CCN(CCCNc2nnc(-c3ccccc3)c3c2cc2ccccn23)CC1,509.5890000000002,binding,Ki,1,0.0
CHEMBL1093071,4.58,1,Cc1cc2c(NCCCN3CCN(C(=O)c4ncccn4)CC3)nnc(-c3ccccc3)c2n1C,O=C(c1ncccn1)N1CCN(CCCNc2nnc(-c3ccccc3)c3[nH]ccc23)CC1,470.5810000000002,binding,Ki,1,0.0
CHEMBL1093094,5.26,1,Cc1cc2c(NCCCN3CCN(C(=O)c4ncccn4)CC3)nnc(-c3cccc(Cl)c3)c2n1C,O=C(c1ncccn1)N1CCN(CCCNc2nnc(-c3ccccc3)c3[nH]ccc23)CC1,505.02600000000024,binding,Ki,1,0.0
CHEMBL1093347,5.31,1,CCC(=O)N1CCN(CCCNc2nnc(-c3cccc(F)c3)c3c2cc2ccccn23)CC1,c1ccc(-c2nnc(NCCCN3CCNCC3)c3cc4ccccn4c23)cc1,460.5570000000002,binding,Ki,1,0.0
CHEMBL1093373,7.33,1,CCOC(=O)c1ccc(Oc2ccc3c(c2)COB3O)nc1,B1OCc2cc(Oc3ccccn3)ccc21,299.09099999999995,binding,IC50,1,0.0
CHEMBL1093602,5.4,1,CCn1ncc2c(Cl)c(C(=O)NCc3ccc(C)cc3C)cnc21,O=C(NCc1ccccc1)c1cnc2[nH]ncc2c1,342.8300000000001,binding,IC50,1,0.0
CHEMBL1093962,6.75,1,N#Cc1ccc(Oc2ccc3c(c2)COB3O)nc1,B1OCc2cc(Oc3ccccn3)ccc21,252.03799999999998,binding,IC50,1,0.0
CHEMBL1094023,5.28,1,Cn1cccc1C(=O)N1CCN(CCCNc2nnc(-c3cccc(F)c3)c3c2cc2ccccn23)CC1,O=C(c1ccc[nH]1)N1CCN(CCCNc2nnc(-c3ccccc3)c3c2cc2ccccn23)CC1,511.60500000000025,binding,Ki,1,0.0
CHEMBL1095210,8.7,1,COc1ccc2c(Nc3c(Cl)cncc3Cl)cc(=O)oc2c1OCCCCCCCCC(=O)O,O=c1cc(Nc2ccncc2)c2ccccc2o1,509.38600000000054,binding,IC50,1,0.0
CHEMBL1095225,7.35,1,COc1ccc2c(Nc3c(Cl)cncc3Cl)cc(=O)oc2c1OCCCCN(C)C,O=c1cc(Nc2ccncc2)c2ccccc2o1,452.33800000000036,binding,IC50,1,0.0
CHEMBL1095226,7.68,1,COc1ccc2c(Nc3c(Cl)cncc3Cl)cc(=O)oc2c1OCCCCCN(C)C,O=c1cc(Nc2ccncc2)c2ccccc2o1,466.3650000000004,binding,IC50,1,0.0
