molecule_chembl_id,pAffinity,n_meas,std_smiles,scaffold,mw,assay_group,types,n_assays,inter_assay_range
CHEMBL10,4.94,1,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,c1ccc(-c2nc(-c3ccccc3)c(-c3ccncc3)[nH]2)cc1,377.444,binding,IC50,1,0.0
CHEMBL100779,6.57,1,CCOC(=O)c1sc(Nc2nc(NCc3ccc(OC)c(OC)c3)c3c(ncn3CC)n2)nc1OC,c1ccc(CNc2nc(Nc3nccs3)nc3nc[nH]c23)cc1,513.5800000000004,binding,IC50,1,0.0
CHEMBL106153,8.35,1,CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc(O)c(C)c2)n(CC)c1=O,O=c1[nH]c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccccc2)[nH]1,425.53300000000013,binding,IC50,1,0.0
CHEMBL106180,9.24,1,CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc(OC)c(Cl)c2)n(CC)c1=O,O=c1[nH]c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccccc2)[nH]1,459.9780000000001,binding,IC50,1,0.0
CHEMBL106205,7.72,1,CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc(OC)c(C)c2)n(CC)c1=O,O=c1[nH]c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccccc2)[nH]1,439.5600000000002,binding,IC50,1,0.0
CHEMBL106447,8.74,1,CCn1c(=O)c2c(nc(NC3CCCC3)n2Cc2ccc(O)c(Cl)c2)n(CC)c1=O,O=c1[nH]c(=O)c2c(nc(NC3CCCC3)n2Cc2ccccc2)[nH]1,431.92400000000015,binding,IC50,1,0.0
CHEMBL106480,8.82,1,CCn1c(=O)c2c(nc(NC3CCCC3)n2Cc2ccc(O)cc2)n(CC)c1=O,O=c1[nH]c(=O)c2c(nc(NC3CCCC3)n2Cc2ccccc2)[nH]1,397.4790000000001,binding,IC50,1,0.0
CHEMBL107156,9.22,1,CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc(O)cc2)n(CC)c1=O,O=c1[nH]c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccccc2)[nH]1,411.5060000000001,binding,IC50,1,0.0
CHEMBL107349,9.52,1,CCn1c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccc(OC)c(F)c2)n(CC)c1=O,O=c1[nH]c(=O)c2c(nc(NC3CCCCC3)n2Cc2ccccc2)[nH]1,443.52300000000014,binding,IC50,1,0.0
CHEMBL1079947,4.9,1,CCCCC=Cc1cc(C)ccc1C=CCC(=O)O,c1ccccc1,258.36099999999993,binding,IC50,1,0.0
