molecule_chembl_id,pAffinity,n_meas,std_smiles,scaffold,mw,assay_group,types,n_assays,inter_assay_range
CHEMBL1214186,6.16,3,Nc1ncnc2c1ncn2C1OC(CC(N)CCC(N)C(=O)O)C(O)C1O,c1ncc2ncn(C3CCCO3)c2n1,381.39300000000003,functional,IC50,3,1.4399999999999995
CHEMBL142304,4.36,1,N=C(N)c1ccc(C=Cc2ccc(C(=N)N)cc2)cc1,C(=Cc1ccccc1)c1ccccc1,264.332,binding,IC50,1,0.0
CHEMBL1544509,7.0,1,Cc1ccnc(NC(=O)c2ccc(COc3ccc(Cl)cc3)o2)c1,O=C(Nc1ccccn1)c1ccc(COc2ccccc2)o1,342.78200000000004,binding,IC50,1,0.0
CHEMBL2047477,5.04,1,CCn1c(=CC=CC2=[N+](CC)c3cccc4cccc2c34)c2cccc3cccc1c32,C(=CC1=[NH+]c2cccc3cccc1c23)C=c1[nH]c2cccc3cccc1c32,401.53300000000013,binding,IC50,1,0.0
CHEMBL2094306,5.77,1,Cc1ccc2[nH]c3c(c2c1)CCCC3NCCCOc1ccc(F)cc1,c1ccc(OCCCNC2CCCc3c2[nH]c2ccccc32)cc1,352.45300000000003,binding,IC50,1,0.0
CHEMBL2169919,6.3,1,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)CC1OC(n2ccc3c(N)ncnc32)C(O)C1O,O=C(NCCCNCC1CCC(n2ccc3cncnc32)O1)Nc1ccccc1,539.6810000000004,binding,IC50,1,0.0
CHEMBL2349526,5.79,2,Nc1ncnc2c1c(Br)cn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,c1ncc2ccn(C3CCCO3)c2n1,462.3260000000002,binding,IC50|Ki,1,0.0
CHEMBL313316,6.24,3,NC(=O)NN=Cc1ccc(-c2ccc(Cl)cc2)o1,c1ccc(-c2ccco2)cc1,263.684,binding,IC50,3,0.0
CHEMBL3245413,4.37,1,N=C(N)c1ccc(OCCCCCCCCCCOc2ccc(C(=N)N)cc2)cc1,c1ccc(OCCCCCCCCCCOc2ccccc2)cc1,410.562,binding,IC50,1,0.0
CHEMBL3409555,5.08,1,CCCCN1C(=CC=Cc2sc3ccc(Br)cc3[n+]2CCCC)Sc2ccc(Br)cc21,C(=Cc1[nH+]c2ccccc2s1)C=C1Nc2ccccc2S1,579.4470000000001,binding,IC50,1,0.0
CHEMBL3409558,5.15,1,C(=Cc1sc2c3ccccc3ccc2[n+]1CCCc1ccccc1)C=C1Sc2c(ccc3ccccc23)N1CCCc1ccccc1,C(=Cc1sc2c3ccccc3ccc2[n+]1CCCc1ccccc1)C=C1Sc2c(ccc3ccccc23)N1CCCc1ccccc1,645.9169999999999,binding,IC50,1,0.0
CHEMBL3577854,4.915,2,CCNC(=O)NCCSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,c1ncc2ncn(C3CCCO3)c2n1,397.4610000000001,binding,IC50,2,0.6300000000000008
CHEMBL3752910,4.74,1,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,O=C(Nc1ccccc1)c1cccc(Nc2nc(-c3cccnc3)nc3[nH]ncc23)c1,503.48800000000017,binding,Kd,1,0.0
CHEMBL3889494,6.26,1,Cn1cnc2cc(OCC(=O)NCC(O)CN3CCc4ccccc4C3)ccc21,O=C(COc1ccc2[nH]cnc2c1)NCCCN1CCc2ccccc2C1,394.47500000000014,binding,IC50,1,0.0
CHEMBL3890412,5.26,1,O=C(COc1ccccc1C1CCNC1)NCC(O)CN1CCc2ccccc2C1,O=C(COc1ccccc1C1CCNC1)NCCCN1CCc2ccccc2C1,409.5300000000002,binding,IC50,1,0.0
CHEMBL3890510,6.49,1,OC(COc1cccc(CNC2CCCC2)c1)CN1CCc2ccccc2C1,c1cc(CNC2CCCC2)cc(OCCCN2CCc3ccccc3C2)c1,380.5320000000001,binding,IC50,1,0.0
CHEMBL3891026,6.26,1,CC(=O)Nc1ccc(OCC(=O)NCC(O)CN2CCc3ccccc3C2)cc1,O=C(COc1ccccc1)NCCCN1CCc2ccccc2C1,397.47500000000014,binding,IC50,1,0.0
CHEMBL3892142,5.26,1,Nc1ncccc1OCC(=O)NCC(O)CN1CCc2ccccc2C1,O=C(COc1cccnc1)NCCCN1CCc2ccccc2C1,356.4260000000001,binding,IC50,1,0.0
CHEMBL3893221,6.26,1,O=C(COc1cccc(C(=O)N2CCOCC2)c1)NCC(O)CN1CCc2ccccc2C1,O=C(COc1cccc(C(=O)N2CCOCC2)c1)NCCCN1CCc2ccccc2C1,453.5390000000002,binding,IC50,1,0.0
CHEMBL3894481,5.26,1,O=C(COCc1cccnc1)NCC(O)CN1CCc2ccccc2C1,O=C(COCc1cccnc1)NCCCN1CCc2ccccc2C1,355.4380000000001,binding,IC50,1,0.0
CHEMBL3894627,5.26,1,CC(C)(C)OC(=O)Nc1ccccc1OCC(=O)NCC(O)CN1CCc2ccccc2C1,O=C(COc1ccccc1)NCCCN1CCc2ccccc2C1,455.55500000000023,binding,IC50,1,0.0
CHEMBL3896996,6.26,1,O=C(COc1ccccc1)NCC(O)CN1CCc2ccccc2C1,O=C(COc1ccccc1)NCCCN1CCc2ccccc2C1,340.42300000000006,binding,IC50,1,0.0
CHEMBL3897321,5.26,1,CS(=O)(=O)Nc1cccnc1OCC(=O)NCC(O)CN1CCc2ccccc2C1,O=C(COc1ccccn1)NCCCN1CCc2ccccc2C1,434.5180000000003,binding,IC50,1,0.0
CHEMBL3897425,5.26,1,O=C(COc1ccc(F)cc1)NCC(O)CN1CCc2ccccc2C1,O=C(COc1ccccc1)NCCCN1CCc2ccccc2C1,358.4130000000001,binding,IC50,1,0.0
CHEMBL3899273,6.26,1,CN(c1cccc(OCC(=O)NCC(O)CN2CCc3ccccc3C2)c1)S(C)(=O)=O,O=C(COc1ccccc1)NCCCN1CCc2ccccc2C1,447.5570000000002,binding,IC50,1,0.0
CHEMBL3900173,6.26,1,N#Cc1ccc(OCC(=O)NCC(O)CN2CCc3ccccc3C2)cc1,O=C(COc1ccccc1)NCCCN1CCc2ccccc2C1,365.43300000000005,binding,IC50,1,0.0
CHEMBL3901941,5.26,1,CS(=O)(=O)c1ccc(OCC(=O)NCC(O)CN2CCc3ccccc3C2)cc1,O=C(COc1ccccc1)NCCCN1CCc2ccccc2C1,418.5150000000002,binding,IC50,1,0.0
CHEMBL3902050,5.26,1,CN(C)c1cncc(OCC(=O)NCC(O)CN2CCc3ccccc3C2)c1,O=C(COc1cccnc1)NCCCN1CCc2ccccc2C1,384.48000000000013,binding,IC50,1,0.0
CHEMBL3902151,5.26,1,O=C(COc1cccc(NC2CCOCC2)n1)NCC(O)CN1CCc2ccccc2C1,O=C(COc1cccc(NC2CCOCC2)n1)NCCCN1CCc2ccccc2C1,440.5440000000002,binding,IC50,1,0.0
CHEMBL3904606,5.26,1,O=C(COC1CCOCC1)NCC(O)CN1CCc2ccccc2C1,O=C(COC1CCOCC1)NCCCN1CCc2ccccc2C1,348.4430000000001,binding,IC50,1,0.0
CHEMBL3905635,6.26,1,Cn1cnc2ccc(OCC(=O)NCC(O)CN3CCc4ccccc4C3)cc21,O=C(COc1ccc2nc[nH]c2c1)NCCCN1CCc2ccccc2C1,394.4750000000002,binding,IC50,1,0.0
CHEMBL3906136,5.26,1,OC(COc1cccc(CNC2CCCC2)c1)CN1Cc2ccccc2C1,c1cc(CNC2CCCC2)cc(OCCCN2Cc3ccccc3C2)c1,366.50500000000005,binding,IC50,1,0.0
CHEMBL3906913,5.26,1,O=C(COc1ccccc1OCCN1CCOCC1)NCC(O)CN1CCc2ccccc2C1,O=C(COc1ccccc1OCCN1CCOCC1)NCCCN1CCc2ccccc2C1,469.5820000000002,binding,IC50,1,0.0
CHEMBL3907183,6.26,1,O=C(COc1ccccc1N1CCOCC1)NCC(O)CN1CCc2ccccc2C1,O=C(COc1ccccc1N1CCOCC1)NCCCN1CCc2ccccc2C1,425.52900000000017,binding,IC50,1,0.0
CHEMBL3908186,6.26,1,O=C(COc1cccc2ncc(=O)[nH]c12)NCC(O)CN1CCc2ccccc2C1,O=C(COc1cccc2ncc(=O)[nH]c12)NCCCN1CCc2ccccc2C1,408.4580000000002,binding,IC50,1,0.0
CHEMBL3908951,6.26,1,O=C(COc1cccc2cccnc12)NCC(O)CN1Cc2ccccc2C1,O=C(COc1cccc2cccnc12)NCCCN1Cc2ccccc2C1,377.4440000000002,binding,IC50,1,0.0
CHEMBL3909330,5.26,1,O=C(COc1cccc2cccnc12)NCC(O)CN1Cc2ccccc2C1,O=C(COc1cccc2cccnc12)NCCCN1Cc2ccccc2C1,377.4440000000002,binding,IC50,1,0.0
CHEMBL3909719,5.26,1,O=C(CNc1ccccc1)NCC(O)CN1CCc2ccccc2C1,O=C(CNc1ccccc1)NCCCN1CCc2ccccc2C1,339.4390000000001,binding,IC50,1,0.0
CHEMBL3911384,4.52,1,O=C(COc1ccccc1-c1c[nH]cn1)NCC(O)CN1CCc2ccccc2C1,O=C(COc1ccccc1-c1c[nH]cn1)NCCCN1CCc2ccccc2C1,406.4860000000002,binding,IC50,1,0.0
CHEMBL3912408,5.26,1,O=C(COc1ccccc1)NCC(O)CN1CCc2ccccc2C1,O=C(COc1ccccc1)NCCCN1CCc2ccccc2C1,340.42300000000006,binding,IC50,1,0.0
CHEMBL3913586,6.75,1,Cn1cnc2ccc(-c3ccnc(NCC(O)CN4CCc5ccccc5C4)c3)cc21,c1ccc2c(c1)CCN(CCCNc1cc(-c3ccc4nc[nH]c4c3)ccn1)C2,413.5250000000002,binding,IC50,1,0.0
CHEMBL3914054,6.26,1,CC(Oc1ccccc1S(C)(=O)=O)C(=O)NCC(O)CN1CCc2ccccc2C1,O=C(COc1ccccc1)NCCCN1CCc2ccccc2C1,432.5420000000002,binding,IC50,1,0.0
CHEMBL3914119,6.39,1,O=C(NCC(O)CN1CCc2ccccc2C1)c1cccc(-c2ccccn2)c1,O=C(NCCCN1CCc2ccccc2C1)c1cccc(-c2ccccn2)c1,387.48300000000006,binding,IC50,1,0.0
