molecule_chembl_id,pAffinity,n_meas,std_smiles,scaffold,mw,assay_group,types,n_assays,inter_assay_range
CHEMBL101423,4.6,1,O=C(CBr)c1ccc2ccccc2c1,c1ccc2ccccc2c1,249.10700000000003,binding,Ki,1,0.0
CHEMBL101427,4.72,1,CC1CCCC(C)N1NC(=O)c1ccc(Cl)c(S(=O)(=O)NC(=O)c2ccc3cc(C(F)(F)P(=O)(O)O)ccc3c2)c1,O=C(NN1CCCCC1)c1cccc(S(=O)(=O)NC(=O)c2ccc3ccccc3c2)c1,630.0060000000003,binding,IC50,1,0.0
CHEMBL102015,4.62,1,O=C(NS(=O)(=O)Cc1ccccc1)c1ccc2cc(C(F)(F)P(=O)(O)O)ccc2c1,O=C(NS(=O)(=O)Cc1ccccc1)c1ccc2ccccc2c1,455.3750000000001,binding,IC50,1,0.0
CHEMBL102756,5.0,1,O=C(O)CCC(NC(=O)C(CCC(=O)O)NC(=O)CNC(=O)c1ccccc1-c1ccc(C(=O)CBr)cc1)C(=O)O,c1ccc(-c2ccccc2)cc1,634.4360000000004,binding,Ki,1,0.0
CHEMBL102952,4.37,1,O=C(CBr)c1ccc(O)cc1,c1ccccc1,215.04600000000002,binding,Ki,1,0.0
CHEMBL102953,4.09,1,O=C(CBr)c1ccccc1,c1ccccc1,199.04700000000003,binding,Ki,1,0.0
CHEMBL103709,4.6,1,O=C(NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl)c1ccc2cc(C(F)(F)P(=O)(O)O)ccc2c1,O=C(NS(=O)(=O)c1cccc(C2NC(=O)c3ccccc32)c1)c1ccc2ccccc2c1,622.9260000000004,binding,IC50,1,0.0
CHEMBL103942,4.52,1,O=C(NS(=O)(=O)c1ccccc1)c1ccc2cc(C(F)(F)P(=O)(O)O)ccc2c1,O=C(NS(=O)(=O)c1ccccc1)c1ccc2ccccc2c1,441.3480000000001,binding,IC50,1,0.0
CHEMBL104371,5.5,1,COC(=O)c1c(O)cccc1OCCCCNC(=O)C(Cc1ccc(OC(C(=O)O)C(=O)O)cc1)NC(=O)OC(C)(C)C,O=C(CCc1ccccc1)NCCCCOc1ccccc1,604.6090000000002,binding,Ki,1,0.0
CHEMBL105348,4.85,1,O=C(CBr)c1ccc(C(F)(F)F)cc1,c1ccccc1,267.044,binding,Ki,1,0.0
CHEMBL105791,5.08,1,COC(=O)c1c(O)cccc1OCCCCNC(=O)C(Cc1ccc(OC(C(=O)O)C(=O)NC2CC2)cc1)NC(=O)OC(C)(C)C,O=C(CCc1ccc(OCC(=O)NC2CC2)cc1)NCCCCOc1ccccc1,643.6900000000002,binding,Ki,1,0.0
CHEMBL105795,5.55,1,O=C(O)CCC(NC(=O)C(CCC(=O)O)NC(=O)CNC(=O)COc1ccc(C(=O)CBr)cc1)C(=O)O,c1ccccc1,588.3640000000004,binding,Ki,1,0.0
CHEMBL105872,4.35,1,O=S(=O)(C=Cc1ccc2ccccc2c1)Nc1nc(-c2ccccc2)c(-c2ccccc2)s1,O=S(=O)(C=Cc1ccc2ccccc2c1)Nc1nc(-c2ccccc2)c(-c2ccccc2)s1,468.6030000000001,binding,IC50,1,0.0
CHEMBL105999,4.54,1,CCCc1sc(NS(=O)(=O)C=Cc2ccc(F)c(F)c2)nc1-c1ccc(C(F)(F)F)cc1,O=S(=O)(C=Cc1ccccc1)Nc1nc(-c2ccccc2)cs1,488.5030000000001,binding,IC50,1,0.0
CHEMBL106194,4.24,1,N#Cc1ccc(C=CS(=O)(=O)Nc2nc(-c3ccccc3)c(-c3ccccc3)s2)cc1,O=S(=O)(C=Cc1ccccc1)Nc1nc(-c2ccccc2)c(-c2ccccc2)s1,443.55300000000005,binding,IC50,1,0.0
CHEMBL106297,4.31,3,COC(=O)c1c(O)cccc1OCCCCNC(=O)C(Cc1ccc(OC(C)C(=O)O)c(C(=O)O)c1)NC(=O)OC(C)(C)C,O=C(CCc1ccccc1)NCCCCOc1ccccc1,618.6360000000002,binding,Ki,2,0.0
CHEMBL106479,4.07,1,O=S(=O)(C=Cc1ccc(F)c(F)c1)Nc1nc(-c2ccccc2)c(-c2ccccc2)s1,O=S(=O)(C=Cc1ccccc1)Nc1nc(-c2ccccc2)c(-c2ccccc2)s1,454.5230000000001,binding,IC50,1,0.0
CHEMBL1076247,4.18,1,CCOCC1(CN2CCN(C)CC2)COc2ccc3c(C)cc(=O)oc3c2C1=O,O=C1c2c(ccc3ccc(=O)oc23)OCC1CN1CCNCC1,400.4750000000002,binding,IC50,1,0.0
CHEMBL1076430,4.71,1,COc1ccc2c(c1CC=C(C)C)OC1c3ccc(O)cc3OCC21OC,c1ccc2c(c1)OC1c3ccccc3OCC21,368.42900000000014,binding,IC50,1,0.0
CHEMBL107672,5.68,3,COC(=O)c1c(O)cccc1OCCCCNC(=O)C(Cc1ccc(OCC(=O)O)c(C(=O)O)c1)NC(=O)OC(C)(C)C,O=C(CCc1ccccc1)NCCCCOc1ccccc1,604.6090000000002,binding,Ki,2,0.0
CHEMBL1077922,4.28,1,Cc1cc(=O)oc2c3c(ccc12)OCC(CO)(CN1CCOCC1)C3=O,O=C1c2c(ccc3ccc(=O)oc23)OCC1CN1CCOCC1,359.3780000000002,binding,IC50,1,0.0
CHEMBL1078307,6.66,1,CCCCCCCCCCCCCCCc1cc(O)cc(O)c1C(=O)Oc1cc(C)c(C(=O)O)c(O)c1,O=C(Oc1ccccc1)c1ccccc1,514.6590000000002,binding,IC50,1,0.0
CHEMBL1078662,6.23,1,CCCCCCCCCCCCCCCc1cc(OC2OC(CO)C(O)C(O)C2O)cc(O)c1C(=O)O,c1ccc(OC2CCCCO2)cc1,526.6670000000001,binding,IC50,1,0.0
CHEMBL1079387,4.15,1,CCOCC1(CN2CCN(c3ccccc3)CC2)COc2ccc3c(C)cc(=O)oc3c2C1=O,O=C1c2c(ccc3ccc(=O)oc23)OCC1CN1CCN(c2ccccc2)CC1,462.54600000000033,binding,IC50,1,0.0
