molecule_chembl_id,pAffinity,n_meas,std_smiles,scaffold,mw,assay_group,types,n_assays,inter_assay_range
CHEMBL1095726,4.91,1,CCCCCCCCCCCCCCCCCC(=O)c1cc(C(=O)Nc2ccsc2C(=O)O)[nH]n1,O=C(Nc1ccsc1)c1ccn[nH]1,503.7090000000001,binding,IC50,1,0.0
CHEMBL1097720,4.82,1,CCCCCCCCCCCCCCCCCC(=O)c1cc(C(=O)Nc2ccccc2C(=O)O)[nH]n1,O=C(Nc1ccccc1)c1ccn[nH]1,497.6800000000001,binding,IC50,1,0.0
CHEMBL1099219,5.02,1,CCCCCCCCCCCCCCCCCC(=O)c1n[nH]c2c1C(=O)N(c1ccccc1)C2=O,O=C1c2cn[nH]c2C(=O)N1c1ccccc1,479.66500000000013,binding,IC50,1,0.0
CHEMBL1161222,4.04,1,O=P(O)(O)C(F)(F)c1ccc(CCCCc2ccc(C(F)(F)P(=O)(O)O)cc2)cc1,c1ccc(CCCCc2ccccc2)cc1,470.29200000000003,binding,IC50,1,0.0
CHEMBL1224683,5.74,1,S=C(c1ccc(Br)cc1)N1CCN(Cc2ccccc2)CC1,S=C(c1ccccc1)N1CCN(Cc2ccccc2)CC1,375.33500000000015,functional,IC50,1,0.0
CHEMBL1271266,6.47,1,O=S(=O)(O)c1cc(O)c2cc(Nc3ccccc3)ccc2c1,c1ccc(Nc2ccc3ccccc3c2)cc1,315.35,functional,IC50,1,0.0
CHEMBL1301519,4.93,1,CCOC(=O)N1CCC(N(CCN(C)C)C(S)=Nc2cc(Cl)ccc2C)CC1,C(=Nc1ccccc1)NC1CCNCC1,427.0140000000001,functional,IC50,1,0.0
CHEMBL1302298,5.38,1,CN(C)c1ccc(C(=O)OCC(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1,O=C(COC(=O)c1ccccc1)Nc1ccccc1,377.422,functional,IC50,1,0.0
CHEMBL1303831,4.78,1,CC(C)(C)C(=O)Nc1ccc(C(=O)Nc2cccc(Oc3ccc(C(=O)O)c(C(=O)O)c3)c2)cc1,O=C(Nc1cccc(Oc2ccccc2)c1)c1ccccc1,476.48500000000024,functional,IC50,1,0.0
CHEMBL1304265,5.61,1,O=C(COc1ccc([N+](=O)[O-])cc1)Nc1nnc(-c2cccnc2)s1,O=C(COc1ccccc1)Nc1nnc(-c2cccnc2)s1,357.35100000000006,functional,IC50,1,0.0
CHEMBL1304345,6.22,1,Cc1c(C)n(C(=O)CSc2nc3ccccc3[nH]2)c2ccccc12,O=C(CSc1nc2ccccc2[nH]1)n1ccc2ccccc21,335.4320000000001,functional,IC50,1,0.0
CHEMBL1308781,4.23,1,O=C(C1=C(O)C(=O)N(CCCO)C1c1ccc(Br)cc1)c1ccc(Br)cc1,O=C1C=C(C(=O)c2ccccc2)C(c2ccccc2)N1,495.16700000000003,functional,IC50,1,0.0
CHEMBL1310336,5.53,1,Cc1cc(C)c2nc(-c3ccccn3)cc(C(=O)Nc3ccc(S(=O)(=O)Nc4onc(C)c4C)cc3)c2c1,O=C(Nc1ccc(S(=O)(=O)Nc2ccno2)cc1)c1cc(-c2ccccn2)nc2ccccc12,527.6060000000003,functional,IC50,1,0.0
CHEMBL1314093,5.77,1,COCCN(C(S)=Nc1c(C)cc(C)cc1C)C(C)c1cccnc1,C(=Nc1ccccc1)NCc1cccnc1,357.523,functional,IC50,1,0.0
CHEMBL1314584,5.71,1,Cc1ccc(NC(=O)c2ccc3nc(N4CCOCC4)sc3c2)c(Cl)c1,O=C(Nc1ccccc1)c1ccc2nc(N3CCOCC3)sc2c1,387.89200000000005,functional,IC50,1,0.0
CHEMBL1329712,6.43,1,CCc1ccc(OCC(=O)Nc2ccc(-c3nc4ccccc4o3)c(O)c2)cc1,O=C(COc1ccccc1)Nc1ccc(-c2nc3ccccc3o2)cc1,388.4230000000001,functional,IC50,1,0.0
CHEMBL1330962,5.04,1,CCOc1ccc(CCNC(=O)CS(=O)(=O)Cc2nc(-c3ccc(OC)cc3)oc2C)cc1,O=C(CS(=O)(=O)Cc1coc(-c2ccccc2)n1)NCCc1ccccc1,472.5630000000003,functional,IC50,1,0.0
CHEMBL1331139,5.51,1,Cc1ccc(C(=S)N2CCN(Cc3ccccc3)CC2)s1,S=C(c1cccs1)N1CCN(Cc2ccccc2)CC1,316.49500000000006,functional,IC50,1,0.0
CHEMBL1331149,5.96,1,O=S(=O)(Nc1ccc(Cl)cc1)c1ccc(N2CCOCC2)c(NC(=S)NCCN2CCOCC2)c1,O=S(=O)(Nc1ccccc1)c1ccc(N2CCOCC2)c(NC(=S)NCCN2CCOCC2)c1,540.1110000000003,functional,IC50,1,0.0
CHEMBL1331791,4.72,1,N=C(NCc1ccc2c(c1)OCO2)NC(=O)c1ccccc1,N=C(NCc1ccc2c(c1)OCO2)NC(=O)c1ccccc1,297.31399999999996,functional,IC50,1,0.0
CHEMBL1334491,5.5,1,NS(=O)(=O)c1ccc(NC(=S)N2CCC(Cc3ccccc3)CC2)cc1,S=C(Nc1ccccc1)N1CCC(Cc2ccccc2)CC1,389.54600000000016,functional,IC50,1,0.0
CHEMBL1340607,6.0,1,COc1ccc(NC(S)=NCCN2CCC(C)CC2)cc1Cl,C(=NCCN1CCCCC1)Nc1ccccc1,341.908,functional,IC50,1,0.0
CHEMBL1343331,5.02,1,CCc1ccc(NC2=NC(=O)C(=Cc3ccc(OCC(=O)O)cc3)S2)cc1,O=C1N=C(Nc2ccccc2)SC1=Cc1ccccc1,382.44100000000003,functional,IC50,1,0.0
CHEMBL1344075,5.49,1,CN(C)c1ccc(C(=S)N2CCN(Cc3ccccc3)CC2)cc1,S=C(c1ccccc1)N1CCN(Cc2ccccc2)CC1,339.50800000000004,functional,IC50,1,0.0
CHEMBL1345966,5.23,1,NC(=NOC(=O)c1cccc2ccccc12)c1cccc([N+](=O)[O-])c1,O=C(ON=Cc1ccccc1)c1cccc2ccccc12,335.3190000000001,functional,IC50,1,0.0
CHEMBL1349800,5.66,1,N#CNc1nc(O)cc(O)n1,c1cncnc1,152.113,functional,IC50,1,0.0
CHEMBL1350887,6.39,1,Cc1nnc2sc(-c3ccc(NC(=O)c4ccc(-c5ccc(Cl)cc5Cl)o4)cc3)nn12,O=C(Nc1ccc(-c2nn3cnnc3s2)cc1)c1ccc(-c2ccccc2)o1,470.3410000000001,functional,IC50,1,0.0
