molecule_chembl_id,pAffinity,n_meas,std_smiles,scaffold,mw,assay_group,types,n_assays,inter_assay_range
CHEMBL112265,5.83,3,NC(=O)C1CCCc2c1[nH]c1ccccc21,c1ccc2c3c([nH]c2c1)CCCC3,214.26800000000003,binding,IC50,3,0.34999999999999964
CHEMBL1140,4.22,8,NC(=O)c1cccnc1,c1ccncc1,122.12699999999997,binding,IC50,8,0.5999999999999996
CHEMBL115600,6.145,2,Cc1ccc2[nH]c3c(c2c1)CCCC3C(N)=O,c1ccc2c3c([nH]c2c1)CCCC3,228.29499999999996,binding,IC50,2,1.0900000000000007
CHEMBL1237210,4.82,1,CC(C)=CCCC1(C)C(CC=C(C)C)CC2(CC=C(C)C)C(=O)C(CC=C(C)C)=C(O)C1(C(=O)C(C)C)C2=O,O=C1C=CC2CCCC1C2=O,536.7970000000004,binding,IC50,1,0.0
CHEMBL1254032,6.62,2,CC(=O)NC(C)C(=O)NC(CCCCNC(C)=S)C(=O)NC(C)C(=O)O,CC(=O)NC(C)C(=O)NC(CCCCNC(C)=S)C(=O)NC(C)C(=O)O,388.49000000000007,binding,IC50,2,0.0
CHEMBL1254033,6.43,1,CC(=O)NC(C)C(=O)NC(CCCCNC(C)=[Se])C(=O)NC(C)C(=O)O,CC(=O)NC(C)C(=O)NC(CCCCNC(C)=[Se])C(=O)NC(C)C(=O)O,435.38300000000004,binding,IC50,1,0.0
CHEMBL1254035,5.75,1,CC(=[Se])NCCCCC(NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1,O=C(CNC(=O)OCc1ccccc1)Nc1ccccc1,460.43600000000015,binding,IC50,1,0.0
CHEMBL1254217,4.06,1,CNC(=O)C(C)NC(=O)C(CCCCNC(C)=O)NC(=O)C(C)NC(C)=O,CNC(=O)C(C)NC(=O)C(CCCCNC(C)=O)NC(=O)C(C)NC(C)=O,385.4650000000001,binding,IC50,1,0.0
CHEMBL1254304,4.4,1,CNC(=O)C(C)NC(=O)C(CCCCNC(=O)C(C)(C)C)NC(=O)C(C)NC(C)=O,CNC(=O)C(C)NC(=O)C(CCCCNC(=O)C(C)(C)C)NC(=O)C(C)NC(C)=O,427.5460000000001,binding,IC50,1,0.0
CHEMBL1254380,4.34,1,COC(=O)C(C)NC(=O)C(CCCCNC(=O)C=C(C)C)NC(=O)C(C)NC(C)=O,COC(=O)C(C)NC(=O)C(CCCCNC(=O)C=C(C)C)NC(=O)C(C)NC(C)=O,426.5140000000001,binding,IC50,1,0.0
