chembl_id,pref_name,max_phase,pains_alert,n_targets_high_ad,best_target,best_pred_pAffinity,second_best_pred,selectivity_gap_log,n_targets_top_decile,frequent_hitter,BRD4,CTSK,EZH2,HDAC1,HDAC6,HSP90AA1,IDO1,KDM1A,NAMPT,PARP1,PDE4B,PDE5A,PRMT5,PTP1B,PTPN11,SIRT1
CHEMBL570015,GSK-256066,2.0,,1,PDE4B,11.109,,,5,True,6.151,6.152,6.079,6.699,6.257,6.175,5.953,6.439,7.403,6.297,11.109,5.425,5.859,5.19,4.982,4.768
CHEMBL481611,ODANACATIB,3.0,,1,CTSK,9.679,,,2,False,5.513,9.679,6.147,6.1,5.642,5.943,6.335,5.737,7.409,5.866,7.067,5.394,5.422,5.325,4.619,4.877
CHEMBL591501,PF-03049423,2.0,dyes5A(27),2,PDE5A,9.535,6.248,3.287,5,True,6.254,7.832,6.161,6.705,6.082,5.555,5.889,5.555,6.861,6.313,6.248,9.535,5.97,4.878,4.764,5.298
CHEMBL42126,PICLAMILAST,2.0,,2,PDE4B,9.513,5.26,4.253,1,False,5.547,6.534,5.931,5.89,5.424,5.852,6.19,5.676,6.41,6.371,9.513,5.26,5.506,4.843,4.472,4.923
CHEMBL4249337,ONAMETOSTAT,1.0,,1,PRMT5,9.495,,,9,True,5.959,6.532,5.94,7.195,6.706,6.074,5.945,6.127,6.487,6.971,7.156,7.526,9.495,5.644,5.769,5.185
CHEMBL6056273,IDREBORMILAST,2.0,,1,PDE4B,9.382,,,2,False,5.371,6.204,6.056,5.752,6.137,5.89,5.472,5.228,5.79,6.289,9.382,6.47,4.726,5.042,4.746,4.974
CHEMBL4210847,PF-00489791,2.0,,1,PDE5A,9.3,,,3,False,5.834,6.242,6.043,6.595,6.545,6.098,6.093,5.587,7.011,6.517,6.129,9.3,6.182,4.954,5.029,4.98
CHEMBL2105763,QUISINOSTAT,2.0,,3,HDAC1,9.29,7.22,2.07,5,True,5.568,6.242,6.162,9.29,7.22,5.37,5.369,5.586,6.575,6.324,7.216,6.089,6.402,5.26,5.037,5.278
CHEMBL3113734,UK-500001,2.0,,1,PDE4B,9.234,,,4,True,6.215,6.199,6.075,5.922,5.592,6.715,6.189,5.582,6.894,6.449,9.234,6.149,6.545,5.168,5.302,4.855
CHEMBL4651180,PULRODEMSTAT,2.0,,2,KDM1A,9.162,6.601,2.561,7,True,6.007,6.61,6.296,6.105,6.86,6.113,6.367,9.162,6.793,7.018,6.81,6.497,6.345,4.826,6.601,5.248
CHEMBL1339,VARDENAFIL HYDROCHLORIDE,4.0,,4,PDE5A,9.108,6.511,2.597,6,True,6.044,6.828,6.168,6.139,6.006,5.43,5.925,6.455,7.033,6.868,6.511,9.108,6.25,5.507,4.972,5.25
CHEMBL193240,ROFLUMILAST,4.0,,2,PDE4B,9.105,5.486,3.619,2,False,5.35,6.317,6.027,5.706,5.711,5.78,6.68,5.587,6.747,5.72,9.105,5.486,5.3,4.839,3.994,4.975
CHEMBL203665,RELACATIB,2.0,,1,CTSK,9.1,,,7,True,6.042,9.1,6.343,7.187,6.486,6.128,5.833,5.377,6.345,6.626,7.106,5.887,6.574,5.807,4.33,5.139
CHEMBL1520,VARDENAFIL,4.0,,4,PDE5A,9.088,6.176,2.912,7,True,6.272,6.859,6.333,5.745,5.966,5.324,6.112,6.161,6.844,6.638,6.176,9.088,6.705,5.406,5.482,5.274
CHEMBL5095231,TULMIMETOSTAT,1.0,,1,EZH2,8.988,,,9,True,5.939,6.957,8.988,5.292,6.134,5.767,6.603,5.515,7.02,6.765,8.151,6.462,6.398,4.959,6.1,5.223
CHEMBL5314543,TEGEPROTAFIB,2.0,,1,PTP1B,8.98,,,1,False,5.312,5.927,6.171,5.275,6.061,5.067,5.932,5.616,5.693,6.756,6.171,4.711,5.917,8.98,5.109,5.012
