chembl_id,BRD4,CTSK,EZH2,HDAC1,HDAC6,HSP90AA1,IDO1,KDM1A,NAMPT,PARP1,PDE4B,PDE5A,PRMT5,PTP1B,PTPN11,SIRT1
CHEMBL1000,borderline,borderline,out_of_domain,high,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,out_of_domain,borderline,borderline,borderline,out_of_domain
CHEMBL100014,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain
CHEMBL100116,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,borderline,out_of_domain,borderline,out_of_domain,borderline,out_of_domain,out_of_domain
CHEMBL100259,out_of_domain,out_of_domain,borderline,borderline,borderline,borderline,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,borderline,out_of_domain,out_of_domain
CHEMBL1003,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL1004,out_of_domain,borderline,out_of_domain,borderline,high,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain
CHEMBL100424,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL1005,borderline,out_of_domain,out_of_domain,borderline,borderline,borderline,out_of_domain,high,borderline,out_of_domain,borderline,out_of_domain,borderline,borderline,borderline,out_of_domain
CHEMBL1006,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL100622,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL1008,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain
CHEMBL10085,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,high,borderline,borderline,borderline,borderline,borderline,borderline
CHEMBL1009,out_of_domain,borderline,out_of_domain,borderline,borderline,borderline,borderline,high,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,high,out_of_domain,borderline
CHEMBL101,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline
CHEMBL101253,borderline,out_of_domain,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,borderline
CHEMBL101284,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,borderline,high,borderline,borderline,high,borderline,borderline
CHEMBL101309,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,borderline,borderline,out_of_domain,borderline,borderline,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain
CHEMBL1014,borderline,out_of_domain,out_of_domain,borderline,borderline,borderline,borderline,out_of_domain,out_of_domain,borderline,out_of_domain,borderline,out_of_domain,borderline,out_of_domain,out_of_domain
CHEMBL1016,borderline,out_of_domain,out_of_domain,borderline,borderline,borderline,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,borderline
CHEMBL1017,borderline,out_of_domain,out_of_domain,borderline,borderline,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline
CHEMBL1018,borderline,out_of_domain,out_of_domain,borderline,borderline,borderline,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,borderline,borderline,borderline
CHEMBL10188,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,high,borderline,borderline,out_of_domain,borderline,borderline,borderline
CHEMBL1020,borderline,out_of_domain,out_of_domain,borderline,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,borderline,borderline
CHEMBL1021,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline
CHEMBL1023,borderline,out_of_domain,out_of_domain,borderline,borderline,borderline,out_of_domain,borderline,out_of_domain,borderline,borderline,borderline,out_of_domain,borderline,borderline,borderline
CHEMBL102358,high,borderline,out_of_domain,high,high,borderline,borderline,borderline,high,high,out_of_domain,borderline,out_of_domain,borderline,borderline,borderline
CHEMBL1024,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL1025,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL1027,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain
CHEMBL10272,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain
CHEMBL1029,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain
CHEMBL102970,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL103,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,high,borderline,out_of_domain
CHEMBL10316,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,borderline
CHEMBL103667,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline
CHEMBL1037,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL10372,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain
CHEMBL103735,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL104,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,borderline,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL10413,borderline,out_of_domain,out_of_domain,high,high,high,borderline,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,out_of_domain
CHEMBL104186,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain
CHEMBL1042,out_of_domain,out_of_domain,out_of_domain,out_of_domain,high,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,out_of_domain,out_of_domain
CHEMBL1043,borderline,out_of_domain,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,out_of_domain,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain
CHEMBL10445,borderline,out_of_domain,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline,borderline
CHEMBL104515,borderline,borderline,out_of_domain,borderline,borderline,out_of_domain,borderline,borderline,borderline,high,high,borderline,borderline,borderline,borderline,out_of_domain
CHEMBL1046,borderline,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,out_of_domain,out_of_domain,borderline,borderline,out_of_domain,out_of_domain,high,out_of_domain,borderline
CHEMBL104943,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
CHEMBL105,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,high,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain,out_of_domain
