leachate_ng_per_mg	dose_mg	ug_ligand_per_dose	nmol_per_dose	exposure_band	basis
1	1	0.001	7e-05	negligible	Below the exposure at which protein impurities have shown measurable ADA induction in the clinic
1	10	0.01	0.00074	negligible	Below the exposure at which protein impurities have shown measurable ADA induction in the clinic
1	100	0.1	0.00741	low	Comparable to well-controlled rProtein A leachate exposure in approved mAb products
1	1000	1.0	0.07407	moderate	Above typical qualified leachate exposure; justify with ligand-specific data
10	1	0.01	0.00074	negligible	Below the exposure at which protein impurities have shown measurable ADA induction in the clinic
10	10	0.1	0.00741	low	Comparable to well-controlled rProtein A leachate exposure in approved mAb products
10	100	1.0	0.07407	moderate	Above typical qualified leachate exposure; justify with ligand-specific data
10	1000	10.0	0.74074	elevated	Immunologically meaningful protein dose; treat the ligand as a co-administered antigen
100	1	0.1	0.00741	low	Comparable to well-controlled rProtein A leachate exposure in approved mAb products
100	10	1.0	0.07407	moderate	Above typical qualified leachate exposure; justify with ligand-specific data
100	100	10.0	0.74074	elevated	Immunologically meaningful protein dose; treat the ligand as a co-administered antigen
100	1000	100.0	7.40741	elevated	Immunologically meaningful protein dose; treat the ligand as a co-administered antigen
