puzzle,round,length,n_designs_here,our_gRNAde_best_simulated,our_gRNAde_best_rnet_F1,released_gRNAde_simulated_padded,released_gRNAde_experimental,released_gRNAde_simulated,released_gRNAde_no3d_experimental,released_gRNAde_no3d_simulated,released_Eterna_experimental,released_Eterna_simulated,released_Starting_sequence_experimental,released_Starting_sequence_simulated
P01,3,52,8,95.1923076923077,0.8666666666666667,91.34615384615384,97.1153846153846,98.07692307692308,99.0384615384615,100.0,99.0384615384615,93.65384615384616,94.6153846153846,97.11538461538461
P02,3,75,8,84.33333333333333,0.926829268292683,82.33333333333333,87.0,95.66666666666667,94.0,98.66666666666666,96.0,93.0,95.0,84.66666666666667
P03,3,73,8,90.32534246575342,0.7619047619047619,89.14811643835617,94.3279109589041,96.19006849315068,94.1352739726027,97.94520547945206,96.3827054794521,92.38013698630138,91.5881849315068,89.14811643835617
P04,3,93,8,84.94623655913978,0.75,93.54838709677419,97.8494623655914,93.11155913978494,95.7997311827957,98.38709677419355,100.0,87.3991935483871,92.0362903225806,86.86155913978494
P05,3,59,8,90.40556900726392,0.972972972972973,92.37288135593221,98.3050847457627,94.0677966101695,99.1525423728814,100.0,99.1525423728814,95.58111380145279,95.6719128329298,85.8958837772397
P06,3,75,8,96.66666666666666,1.0,96.66666666666666,90.5,93.5,96.1666666666667,98.0,100.0,95.22222222222223,97.3333333333333,81.33333333333334
P07,3,80,8,93.125,1.0,91.25,94.375,93.125,97.5,92.5,98.125,95.625,92.5,86.875
P08,3,96,8,92.1326754385965,0.96875,91.66666666666666,96.875,98.4375,97.9166666666667,99.47916666666666,97.9166666666667,96.32675438596492,94.2708333333333,81.63377192982456
P09,3,68,8,91.61764705882354,0.9047619047619048,91.1764705882353,92.3529411764706,94.85294117647058,96.3235294117647,95.58823529411765,92.7941176470588,84.55882352941177,84.8529411764706,78.8235294117647
P10,3,76,8,92.30263157894736,0.84,94.93421052631578,93.6842105263158,96.11842105263159,87.8947368421053,91.71052631578948,98.6842105263158,88.55263157894737,96.0526315789474,93.02631578947368
P11,3,100,8,91.0,0.9444444444444444,93.5,95.5,94.0,97.5,99.5,98.5,73.0,85.5,77.5
P12,3,100,8,91.75,1.0,92.75,95.25,98.0,98.0,100.0,98.5,81.5,97.5,94.25
P13,3,100,8,90.25,0.8928571428571429,92.0,95.5,94.25,96.0,100.0,98.5,94.75,95.75,78.75
P14,3,100,8,94.0,1.0,94.0,94.3333333333333,98.5,98.1666666666667,99.5,98.6666666666667,89.33333333333334,94.6666666666667,87.66666666666666
P15,3,100,8,86.42307692307692,0.9863013698630136,91.61538461538461,96.0384615384615,94.65384615384616,97.5,99.5,97.5384615384615,92.73076923076923,96.5769230769231,67.8076923076923
P16,3,100,8,85.8409090909091,0.7,90.95454545454545,88.1136363636364,88.54545454545455,95.3636363636364,98.29545454545455,83.7045454545455,80.43181818181819,78.4318181818182,78.29545454545455
P17,3,100,8,80.16666666666666,0.7714285714285715,93.16666666666666,93.3333333333333,89.16666666666666,88.6666666666667,95.16666666666666,93.8333333333333,77.16666666666666,78.1666666666667,75.16666666666667
P18,3,100,8,80.32051282051282,0.96,89.7948717948718,92.6538461538462,92.23076923076923,94.0769230769231,96.2948717948718,91.5128205128205,89.02564102564102,85.8076923076923,89.16666666666666
P19,3,100,8,86.33333333333334,0.9782608695652174,87.94444444444444,80.3888888888889,93.5,85.5,97.22222222222223,92.3888888888889,83.11111111111111,77.0555555555556,76.72222222222223
P20,3,100,8,95.0,0.9041095890410958,95.25,95.0,95.25,87.25,98.0,92.0,89.75,84.75,89.75
Q01,4,174,8,88.8453500522466,0.8809523809523809,88.55799373040753,91.11807732,91.11807732497388,84.53500522,93.9655172413793,95.11494253,91.69278996865204,84.508881922675,83.15047021943573
Q02,4,134,8,91.14045158821278,0.9523809523809524,94.82395713738998,94.9866054343666,94.07768848067356,95.4649827784156,96.21125143513203,97.7611940298507,96.21125143513203,91.4657481821661,88.84424033677766
Q03,4,140,8,91.42857142857144,0.8505747126436781,86.1904761904762,84.64285714,90.11904761904762,84.64285714,97.85714285714286,93.0952381,79.04761904761905,81.1904761904762,82.61904761904762
Q04,4,166,8,87.34939759036145,0.8723404255319149,95.48192771084337,96.08433735,96.0843373493976,87.75100402,97.59036144578313,95.78313253,79.11646586345381,84.13654618,78.5140562248996
Q05,4,137,8,84.78710462287104,0.8958333333333334,86.86739659367396,94.787104622871,94.42214111922141,94.0571776155718,96.71532846715328,96.1435523114355,86.61192214111921,94.4768856447689,78.7956204379562
Q06,4,201,8,83.39986115931968,0.56,90.45759574221914,85.39280342,89.29769755871803,86.13907208,91.37163022098808,93.7753095,93.61043619113734,84.56554437,77.92143931505265
Q07,4,116,8,95.25862068965516,1.0,93.51179673321235,96.551724137931,96.12068965517241,96.9827586206897,97.39110707803992,98.2758620689655,96.9600725952813,97.4137931034483,90.83484573502722
Q08,4,128,8,94.140625,0.9382716049382716,94.53125,95.703125,96.55539772727272,96.1292613636364,98.828125,98.046875,94.921875,86.1860795454545,83.91335227272728
Q09,4,175,8,87.57142857142857,0.5686274509803921,89.57142857142857,94.28571429,93.0,89.57142857,94.14285714285714,95.71428571,95.0,85.28571429,78.71428571428572
Q10,4,206,8,86.3857016769638,0.8264462809917356,89.93086201824066,89.26154751,93.87319799941159,92.57134451,93.87319799941159,94.57193292,87.51103265666373,83.26713739,79.05266254780818
Q11,4,240,8,86.66666666666667,0.935064935064935,88.125,91.04166667,93.125,91.04166667,95.83333333333333,96.25,94.375,88.95833333,85.20833333333334
Q12,4,240,8,89.6969696969697,0.7777777777777778,89.88636363636363,88.10606061,93.39015151515152,83.78787879,95.45454545454545,91.13636364,92.23484848484848,86.11742424,85.09469696969697
Q13,4,204,8,88.8515406162465,0.7941176470588235,94.18067226890756,92.28291317,94.62885154061624,92.05882353,94.69187675070029,94.22268908,92.03781512605042,87.28291317,79.48179271708683
Q14,4,240,8,91.1951754385965,0.9392265193370166,93.34429824561403,85.96491228,89.81359649122808,92.02850877,96.80921052631578,96.53508772,79.73684210526315,80.46052632,69.89035087719299
Q15,4,240,8,95.4319105691057,0.9777777777777776,90.52337398373984,89.31910569,94.03455284552845,91.56504065,98.5569105691057,91.43292683,91.64126016260163,86.2703252,88.78556910569105
Q16,4,240,8,93.0654761904762,0.9710982658959536,88.80952380952381,88.60119048,93.27380952380952,91.25,95.92261904761905,94.91071429,88.00595238095238,90.92261905,89.64285714285714
Q17,4,240,8,90.11904761904762,0.8979591836734694,92.94642857142857,91.39880952,90.98214285714286,94.82142857,99.16666666666666,94.85119048,94.25595238095238,89.91071429,90.44642857142857
Q18,4,240,8,82.72865853658536,0.7831325301204819,89.22256097560975,88.08434959,92.59146341463415,,,91.59552846,88.94817073170731,75.7317073170732,84.45630081300813
Q19,4,240,8,89.52380952380952,0.953846153846154,94.25324675324676,89.10714286,90.93885281385282,91.44751082,94.76190476190476,95.71158009,88.24945887445887,88.04112554,88.66612554112555
Q20,4,240,8,86.25,0.6382978723404256,84.13690476190476,84.31547619,86.9047619047619,88.75,94.58333333333334,87.61904762,88.75,64.13690476,74.07738095238095
