cell_type	n_cells	MPO_pct	MPO_mean	APOA1_pct	APOA1_mean	CD68_pct	CD68_mean	LYZ_pct	LYZ_mean	ELANE_pct	ELANE_mean
B cell	9517	0.011	8.927388250867807e-08	0.158	3.3121000342362095e-07	6.094	1.7504878996987827e-05	4.865	3.233861571061425e-05	0.0	0.0
T cell	99417	0.029	5.416575277195079e-08	0.459	1.5350271951319883e-06	1.762	6.02172440267168e-06	3.919	1.7010690498864278e-05	0.001	2.688794964456065e-09
dendritic cell	7036	0.469	5.027633847021207e-07	0.981	1.2653017620323226e-06	58.982	0.00018731718591880053	76.364	0.0038492009043693542	0.043	3.6460299668306106e-08
endothelial cell	10111	0.129	1.781958758328983e-07	0.94	2.588783672763384e-06	11.839	2.163511271646712e-05	5.242	1.805560168577358e-05	0.02	3.0176842358287104e-08
fibroblast	7577	0.119	2.09171830078958e-07	0.462	5.949895012236084e-07	26.448	4.829757381230593e-05	5.517	4.441083365236409e-05	0.172	1.9589337796332984e-07
macrophage	35966	0.601	6.977659836593375e-07	0.606	7.595018018946575e-07	85.681	0.0007932577864266932	85.15	0.0019974817987531424	0.306	5.212830274103908e-07
mast cell	2917	0.034	3.789719826841065e-08	0.549	1.2102410664738272e-06	29.825	0.00010612920596031472	11.073	8.890750905266032e-05	0.034	3.468083065172323e-08
monocyte	12823	1.755	8.561916729377117e-06	0.522	8.557797741559625e-07	66.654	0.0004374616255518049	90.494	0.0068227872252464294	0.92	5.750513082602993e-06
natural killer cell	11339	0.0	0.0	0.785	3.222731265850598e-06	1.72	5.941997187619563e-06	4.877	2.6011377485701814e-05	0.009	2.48354883325419e-08
neutrophil	3852	0.052	5.522288120118901e-07	0.104	1.3410658539214637e-06	7.295	8.278238965431228e-05	24.091	0.0005961514543741941	0.13	1.5639642469977844e-06
plasma cell	1956	0.0	0.0	0.102	6.684143727397895e-08	8.436	1.4197154996509198e-05	15.031	6.494584522442892e-05	0.102	6.943447772300715e-08
smooth muscle cell	21210	0.028	3.345893873074601e-08	0.335	5.159844249646994e-07	7.341	1.4568066944775637e-05	3.847	1.9362159946467727e-05	0.014	1.7292213883024488e-08
