ds	disease	n_cells	GFAP_pct	GFAP_mean	AQP4_pct	AQP4_mean	VIM_pct	VIM_mean	S100B_pct	S100B_mean	CAPN1_pct	CAPN1_mean	CAPN2_pct	CAPN2_mean
0a2d7e87	Alzheimer disease	2727	63.256	0.00021095345437061042	15.768	2.1294454199960455e-05	51.522	0.00011391015141271055	59.773	0.00013847636000718921	25.779	4.0040366002358496e-05	63.806	0.00014516455121338367
0a2d7e87	normal	12475	49.619	0.0002238692541141063	4.826	7.327246748900507e-06	23.238	5.1702416385523975e-05	35.904	9.50900066527538e-05	18.253	3.6298635677667335e-05	54.18	0.00016005449288059026
203025fe	Alzheimer disease	297	73.401	0.000997978844679892	50.168	0.00027787385624833405	20.202	5.299207987263799e-05	16.835	4.52255189884454e-05	9.428	1.4082491361477878e-05	40.067	0.00014066703442949802
203025fe	normal	644	61.335	0.0010102980304509401	42.702	0.0003172832657583058	13.509	6.72945607220754e-05	13.665	3.4626544220373034e-05	5.745	2.1363954147091135e-05	32.298	0.0001493945310357958
2727d83a	Alzheimer disease	4913	66.863	0.0015803092392161489	58.335	0.0008092374773696065	9.872	7.544782420154661e-05	22.369	0.00020099745597690344	4.498	3.3424388675484806e-05	17.891	0.00014743713836651295
2727d83a	normal	1003	42.473	0.0017267756629735231	19.043	0.00048603041796013713	1.894	3.8720467273378745e-05	5.882	0.00015736851491965353	2.193	4.922856533084996e-05	4.586	9.69933025771752e-05
6c600df6	Alzheimer disease	6181	62.32	0.0014009252190589905	45.09	0.0004935282631777227	8.073	5.106028766022064e-05	18.994	0.0001401991758029908	5.129	4.0341885323869064e-05	14.658	0.00010449713590787724
6c600df6	normal	1844	45.824	0.0018006451427936554	20.553	0.00041239577694796026	2.603	4.0255257772514597e-05	6.128	0.0001365093485219404	2.169	4.340313171269372e-05	4.718	8.698785677552223e-05
ac0c6561	Alzheimer disease	16772	79.508	0.0013925168896093965	80.163	0.0008531695930287242	30.503	0.00011810706200776622	30.366	0.00014258628652896732	11.448	2.8898984965053387e-05	36.352	0.00012117042933823541
ac0c6561	normal	15619	74.499	0.0011698566377162933	74.96	0.0007599462405778468	22.991	8.368941053049639e-05	29.656	0.00012165346561232582	10.903	2.818694156303536e-05	34.362	0.00011851155431941152
cff99df2	Alzheimer disease	11241	27.978	0.00024022017896641046	1.334	4.6766640480200294e-06	13.513	7.176462531788275e-05	16.778	0.00010697344987420365	7.01	3.327406739117578e-05	33.894	0.0002461872063577175
cff99df2	normal	3345	29.955	0.0002679472090676427	1.913	3.82681400878937e-06	13.662	6.479547300841659e-05	26.009	0.00017383894009981304	8.43	3.5160453990101814e-05	31.958	0.0001817931915866211
