cell_type	disease	n_cells	C4A_pct	C4A_mean	C4B_pct	C4B_mean	C3_pct	C3_mean	CR1_pct	CR1_mean	C1QA_pct	C1QA_mean	PADI4_pct	PADI4_mean	IFI44L_pct	IFI44L_mean	ISG15_pct	ISG15_mean	MS4A1_pct	MS4A1_mean
B cell	normal	59735	0.0	0.0	0.0	0.0	0.027	1.092167707383851e-07	2.928	1.1664837984426413e-05	0.455	2.0684094579337398e-06	0.889	3.995507995568914e-06	4.532	2.456795482430607e-05	13.799	7.345980702666566e-05	74.881	0.0008100492414087057
B cell	systemic lupus erythematosus	91835	0.0	0.0	0.0	0.0	0.019	9.426256042388559e-08	2.026	1.0123276297235861e-05	0.412	2.158731149393134e-06	1.152	6.2017766140343156e-06	28.696	0.0002403660473646596	25.973	0.00021336750069167465	72.788	0.0009030546061694622
CD4-positive, alpha-beta T cell	normal	185152	0.0	0.0	0.0	0.0	0.031	1.1737420635427043e-07	0.44	1.7024486851369147e-06	0.401	1.6361387906727032e-06	1.6	7.571361038571922e-06	3.813	1.936222724907566e-05	16.737	9.118721209233627e-05	2.655	1.0818862392625306e-05
CD4-positive, alpha-beta T cell	systemic lupus erythematosus	195325	0.001	4.298697842131105e-09	0.001	1.476689215351712e-09	0.017	8.646247806609608e-08	0.472	2.0232405404385645e-06	0.397	1.8561913748271763e-06	1.524	7.6565829658648e-06	19.965	0.00013873809075448662	33.358	0.0002939781697932631	1.576	7.781402018736117e-06
CD8-positive, alpha-beta T cell	normal	88781	0.001	3.0360061131773364e-09	0.001	1.203391963855438e-08	0.025	9.602026551647214e-08	0.375	1.3829226190864574e-06	0.433	1.894529532364686e-06	3.051	1.195471213577548e-05	2.993	1.4614121027989313e-05	19.595	0.00010673327778931707	3.567	1.5282286767615005e-05
CD8-positive, alpha-beta T cell	systemic lupus erythematosus	160146	0.0	0.0	0.0	0.0	0.016	7.232305421212004e-08	0.29	1.2322964266786585e-06	0.421	2.116663381457329e-06	2.492	1.051043454936007e-05	20.049	0.00014213919348549098	38.53	0.00033399247331544757	2.008	1.0712779840105213e-05
classical monocyte	normal	86207	0.0	0.0	0.0	0.0	0.224	8.654531029606005e-07	3.68	1.6093672456918284e-05	1.683	8.507514394295868e-06	5.632	2.691353438422084e-05	8.187	4.2460647819098085e-05	28.058	0.00021471716172527522	3.381	1.3687933460460044e-05
classical monocyte	systemic lupus erythematosus	221222	0.0	0.0	0.001	2.568173895767245e-09	0.212	8.917483569348406e-07	3.877	1.7861984815681353e-05	2.078	1.2587867786351126e-05	6.275	2.9981863917782903e-05	38.921	0.0002815790940076113	62.481	0.0009594348957762122	1.891	8.496816917613614e-06
conventional dendritic cell	normal	7496	0.0	0.0	0.0	0.0	0.12	2.756384276381141e-07	1.668	3.0125893317745067e-06	3.802	9.765478353074286e-06	3.989	7.1793028837419115e-06	9.085	2.1289592041284777e-05	40.342	0.00013037545431870967	6.844	1.261231409444008e-05
conventional dendritic cell	systemic lupus erythematosus	10707	0.0	0.0	0.0	0.0	0.121	1.563581548680304e-07	1.438	2.9822981559846085e-06	4.857	2.017798033193685e-05	4.035	7.69369762565475e-06	38.741	0.0001665086456341669	63.93	0.0004904874949716032	3.988	9.078637049242388e-06
