gene	mean_ctrl	mean_dis	sd_ctrl	sd_dis	delta	sd_pool	d	cell_type
ISG15	-9.548755	-8.723536	0.39641342	0.74976885	0.82521915	0.599707	1.3760372	B cell
WNT4	-13.80951	-13.815519	0.05975297	8.610017e-06	-0.006009102	0.042251732	-0.14222144	B cell
C1QA	-12.898146	-12.935652	0.661147	0.6896522	-0.037506104	0.6755499	-0.055519365	B cell
C1QB	-13.406486	-13.330653	0.5230233	0.53036284	0.07583237	0.52670586	0.1439748	B cell
IFI6	-10.106857	-9.202751	0.37837598	0.7136512	0.90410614	0.5711683	1.5829067	B cell
IFI44L	-10.783867	-9.050585	0.6758675	1.3507419	1.7332821	1.0680124	1.6229045	B cell
EFNA1	-13.765504	-13.767708	0.18904792	0.20053789	-0.0022039413	0.1948776	-0.011309362	B cell
CFH	-13.67241	-13.716696	0.2957397	0.28790423	-0.044285774	0.29184827	-0.15174246	B cell
CFHR1	-13.812404	-13.815519	0.030952934	8.610017e-06	-0.003115654	0.02188703	-0.14235161	B cell
IL10	-13.603794	-13.572492	0.3959789	0.38548228	0.031302452	0.39076585	0.080105394	B cell
CR1	-11.456448	-11.559606	0.6100866	0.63099337	-0.103158	0.62062806	-0.1662155	B cell
IGFBP2	-13.799726	-13.732782	0.070773855	0.29716158	0.06694317	0.21600224	0.30991885	B cell
LAMB2	-13.706933	-13.697069	0.22569804	0.31820142	0.009863853	0.27585483	0.035757408	B cell
MST1	-13.389397	-13.487053	0.49063486	0.44819295	-0.09765625	0.46989334	-0.20782642	B cell
TF	-13.779921	-13.807408	0.13602857	0.07349984	-0.027487755	0.109329775	-0.2514206	B cell
CXCL8	-11.2140875	-11.296646	0.74097824	0.8785434	-0.08255863	0.81267685	-0.10158851	B cell
FGF2	-13.758239	-13.751448	0.17575753	0.26043683	0.006791115	0.22216892	0.030567348	B cell
LNPEP	-10.078643	-10.0057	0.4411543	0.59208196	0.072942734	0.5221006	0.1397101	B cell
EDN1	-13.642709	-13.600148	0.2999414	0.4366567	0.042560577	0.37458906	0.11361938	B cell
TNF	-12.590213	-12.423525	0.69577146	0.8212498	0.16668797	0.7611009	0.21900903	B cell
CCN2	-13.499229	-13.404628	0.506314	0.57090855	0.09460163	0.53957874	0.17532498	B cell
