gene	mean_ctrl	mean_dis	sd_ctrl	sd_dis	delta	sd_pool	d	cell_type
ISG15	-8.523398	-7.312257	0.5019598	0.9391263	1.2111416	0.7529681	1.60849	classical monocyte
WNT4	-13.803555	-13.812027	0.0735973	0.036201116	-0.008472443	0.05799605	-0.14608654	classical monocyte
C1QA	-11.6807785	-11.378668	0.5777709	0.5688591	0.30211067	0.5733323	0.52693814	classical monocyte
C1QB	-12.765392	-12.331603	0.64269704	0.7243726	0.43378925	0.68475366	0.6334968	classical monocyte
IFI6	-8.720424	-7.4007115	0.5001804	0.99316823	1.3197122	0.78630894	1.6783634	classical monocyte
IFI44L	-10.223292	-8.701319	0.68192774	1.2060807	1.5219736	0.97970814	1.553497	classical monocyte
EFNA1	-13.754925	-13.772721	0.15425816	0.13751271	-0.017796516	0.14612551	-0.121789254	classical monocyte
CFH	-13.58602	-13.490132	0.32055104	0.29583967	0.09588814	0.30844292	0.31087807	classical monocyte
CFHR1	-13.815515	-13.809139	3.8341104e-06	0.057314534	0.006375313	0.040527496	0.15730833	classical monocyte
IL10	-12.8623295	-12.585833	0.65620834	0.76162714	0.2764969	0.71087456	0.38895312	classical monocyte
CR1	-11.01622	-10.960472	0.3263493	0.34968027	0.055747986	0.338216	0.16482954	classical monocyte
IGKC	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
COL3A1	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
IGFBP2	-13.525391	-13.290221	0.465577	0.59144706	0.23516941	0.532246	0.44184345	classical monocyte
LAMB2	-12.842368	-12.845483	0.49583882	0.40633398	-0.0031147003	0.45330092	-0.0068711536	classical monocyte
MST1	-13.474474	-13.41387	0.3364014	0.3190824	0.060604095	0.3278563	0.18484956	classical monocyte
TF	-13.788157	-13.791129	0.11300933	0.09889337	-0.0029716492	0.106186174	-0.027985275	classical monocyte
BCHE	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
CXCL8	-7.477432	-7.738384	0.48025224	0.81904393	-0.260952	0.6713699	-0.38868588	classical monocyte
FGF2	-13.807229	-13.807578	0.047742065	0.053550504	-0.0003490448	0.050729483	-0.0068805115	classical monocyte
LNPEP	-10.053068	-10.104755	0.3039384	0.25118038	-0.05168724	0.27881008	-0.18538512	classical monocyte
EDN1	-13.63855	-13.612941	0.27908322	0.26993915	0.025609016	0.27454928	0.093276575	classical monocyte
TNF	-11.750039	-11.714019	0.6870102	0.66901386	0.03602028	0.67807174	0.053121634	classical monocyte
LAMA4	-13.815515	-13.814648	3.8341104e-06	0.0110855615	0.00086688995	0.007838676	0.110591374	classical monocyte
CCN2	-13.811259	-13.8074875	0.04234684	0.06922607	0.003771782	0.057382505	0.06573052	classical monocyte
BMPER	-13.814172	-13.815518	0.013356116	7.653051e-06	-0.0013465881	0.009444201	-0.1425836	classical monocyte
SEMA3C	-11.916369	-12.033619	0.50482607	0.51260704	-0.11724949	0.5087314	-0.23047423	classical monocyte
PON3	-13.815515	-13.813194	3.8341104e-06	0.029574487	0.0023202896	0.020912321	0.110953234	classical monocyte
SERPINE1	-13.360259	-13.388823	0.44913283	0.37042218	-0.0285635	0.41166303	-0.06938563	classical monocyte
PGK1	-8.333476	-8.315453	0.13788466	0.10214989	0.01802349	0.12133998	0.14853713	classical monocyte
CLU	-11.283467	-10.626012	0.44734678	0.56927323	0.65745544	0.5119527	1.2842113	classical monocyte
PLAT	-13.64238	-13.687066	0.28776866	0.18927124	-0.044686317	0.24355122	-0.1834781	classical monocyte
ANGPT1	-12.978433	-13.180659	0.47703055	0.40948713	-0.20222664	0.4445435	-0.45490855	classical monocyte
AMBP	-13.811786	-13.810466	0.037110653	0.048874523	0.0013198853	0.043393087	0.030416949	classical monocyte
ANGPTL2	-13.813859	-13.815518	0.016467147	7.653051e-06	-0.0016593933	0.011644032	-0.1425102	classical monocyte
LCN2	-12.994264	-12.670282	0.5530662	0.46118346	0.32398129	0.5092015	0.63625354	classical monocyte
EGFL7	-12.993729	-12.783226	0.49909574	0.4258351	0.21050262	0.46391383	0.4537537	classical monocyte
MDK	-13.325579	-13.371688	0.40568343	0.33872223	-0.0461092	0.37370563	-0.123383746	classical monocyte
SERPING1	-12.090269	-10.915156	0.60811037	0.91075724	1.1751127	0.7743633	1.5175213	classical monocyte
PLAU	-13.597499	-13.584509	0.2940092	0.28947583	0.012989998	0.29175133	0.04452421	classical monocyte
HABP2	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
VWF	-13.539373	-13.561837	0.33433512	0.28064373	-0.022463799	0.3086591	-0.072778665	classical monocyte
LRP1	-9.357518	-9.516143	0.5427986	0.22580686	-0.15862465	0.41570362	-0.3815811	classical monocyte
NTS	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
OAS1	-10.358803	-9.417452	0.47461283	0.60451025	0.94135094	0.54345655	1.732155	classical monocyte
BMP4	-13.801143	-13.797127	0.075403586	0.083480634	0.0040159225	0.07954469	0.050486367	classical monocyte
SERPINA1	-7.532069	-7.3449697	0.24348368	0.20060706	0.18709946	0.2230779	0.83871806	classical monocyte
IGHM	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
CES4A	-12.73892	-12.767284	0.4898771	0.4070787	-0.028364182	0.45038465	-0.06297769	classical monocyte
VTN	-13.794198	-13.814534	0.09010096	0.012528668	-0.020336151	0.064323984	-0.31615192	classical monocyte
CCL5	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
DHRS11	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
GRN	-7.8667817	-7.5462904	0.21096237	0.25321585	0.3204913	0.23304869	1.3752118	classical monocyte
APOH	-13.815515	-13.812731	3.8341104e-06	0.03549177	0.0027837753	0.02509647	0.110922985	classical monocyte
LGALS3BP	-11.717951	-10.4553795	0.5306505	1.0394343	1.2625713	0.8252314	1.5299604	classical monocyte
LIPG	-13.815515	-13.814097	3.8341104e-06	0.018088676	0.00141716	0.012790626	0.11079677	classical monocyte
SIGLEC1	-11.959172	-10.452358	0.68654406	1.0956675	1.506814	0.9142839	1.6480812	classical monocyte
CD40	-11.626002	-11.365342	0.49347237	0.47416276	0.26066017	0.48391387	0.5386499	classical monocyte
C3	-13.275457	-13.26056	0.43293342	0.3529231	0.0148973465	0.39495954	0.037718665	classical monocyte
ANGPTL4	-13.792767	-13.801348	0.10348366	0.06427991	-0.0085811615	0.08614167	-0.09961685	classical monocyte
USP18	-12.715871	-11.395133	0.7069353	1.0629554	1.3207378	0.9026715	1.4631433	classical monocyte
APOL1	-11.957588	-11.565951	0.51350015	0.41786745	0.39163685	0.46813226	0.83659446	classical monocyte
FBLN1	-13.802043	-13.8105	0.09261942	0.030486638	-0.008457184	0.0689485	-0.12265943	classical monocyte
MX1	-10.498322	-9.357538	0.6622336	0.8485679	1.1407833	0.76112443	1.4988132	classical monocyte
PON1	-13.814579	-13.813076	0.0093039535	0.031108307	0.0015029907	0.022959642	0.06546229	classical monocyte
CCL26	-13.76953	-13.71634	0.14041784	0.20091268	0.05319023	0.17332496	0.30688155	classical monocyte
CYP46A1	-13.649678	-13.679557	0.26550528	0.22877727	-0.029878616	0.24782261	-0.12056453	classical monocyte
ITIH4	-13.027147	-13.119927	0.51359504	0.4344486	-0.09278011	0.4756708	-0.19505109	classical monocyte
ITIH1	-13.532034	-13.485442	0.38234326	0.31076252	0.04659176	0.34839612	0.13373214	classical monocyte
AFM	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
AVP	-13.798084	-13.796278	0.074554674	0.09138669	0.0018062592	0.08339642	0.021658713	classical monocyte
OXT	-13.467636	-13.556079	0.36668697	0.28224802	-0.0884428	0.32720274	-0.2702997	classical monocyte
FGF21	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
WNT2	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
APOA4	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
IL17A	-13.815515	-13.813184	3.8341104e-06	0.029716933	0.00233078	0.021013046	0.110920615	classical monocyte
IL12B	-13.807534	-13.813188	0.055968557	0.021604795	-0.0056533813	0.042421967	-0.13326542	classical monocyte
CFHR3	-13.811859	-13.815518	0.0363807	7.653051e-06	-0.0036592484	0.02572504	-0.1422446	classical monocyte
NPPB	-13.815515	-13.815518	3.8341104e-06	7.653051e-06	-3.8146973e-06	6.0526686e-06	-0.63025045	classical monocyte
