Gene	Ensembl
TNF	ENSG00000232810
EDN1	ENSG00000078401
IL10	ENSG00000136634
OXT	ENSG00000101405
LEP	ENSG00000174697
EPO	ENSG00000130427
IL6	ENSG00000136244
IL12B	ENSG00000113302
CXCL8	ENSG00000169429
CCL5	ENSG00000271503
BMP4	ENSG00000125378
LRP1	ENSG00000123384
AVP	ENSG00000101200
CD40	ENSG00000101017
FGF2	ENSG00000138685
IGFBP2	ENSG00000115457
CLU	ENSG00000120885
MDK	ENSG00000110492
PLAT	ENSG00000104368
SFRP2	ENSG00000145423
CCN2	ENSG00000118523
WNT4	ENSG00000162552
REN	ENSG00000143839
FGF21	ENSG00000105550
ANGPT1	ENSG00000154188
IL17A	ENSG00000112115
ACE2	ENSG00000130234
SERPINE1	ENSG00000106366
UMOD	ENSG00000169344
PLAU	ENSG00000122861
CCL25	ENSG00000131142
VTN	ENSG00000109072
MST1	ENSG00000173531
CCL26	ENSG00000006606
ITIH4	ENSG00000055955
GDF2	ENSG00000263761
TF	ENSG00000091513
PON1	ENSG00000005421
AMBP	ENSG00000106927
EFNA1	ENSG00000169242
PGK1	ENSG00000102144
GRN	ENSG00000030582
TAC4	ENSG00000176358
CFHR1	ENSG00000244414
ANGPTL4	ENSG00000167772
ITIH1	ENSG00000055957
COL3A1	ENSG00000168542
APOH	ENSG00000091583
NPPB	ENSG00000120937
FGFBP1	ENSG00000137440
LCN2	ENSG00000148346
CYP46A1	ENSG00000036530
APOA4	ENSG00000110244
WNT2	ENSG00000105989
CFH	ENSG00000000971
FBLN1	ENSG00000077942
LAMA4	ENSG00000112769
IHH	ENSG00000163501
PON3	ENSG00000105852
RNLS	ENSG00000184719
SERPINA1	ENSG00000197249
SEMA3C	ENSG00000075223
SEMA3E	ENSG00000170381
CFHR3	ENSG00000116785
LGALS3BP	ENSG00000108679
VWF	ENSG00000110799
BCHE	ENSG00000114200
SERPINA10	ENSG00000140093
SERPINA3	ENSG00000196136
LNPEP	ENSG00000113441
AFM	ENSG00000079557
ANGPTL2	ENSG00000136859
IGHG1	ENSG00000211896
HABP2	ENSG00000148702
BMPER	ENSG00000164619
IGHA1	ENSG00000211895
NTS	ENSG00000133636
PROZ	ENSG00000126231
IGHA2	ENSG00000211890
IGHM	ENSG00000211899
LAMB2	ENSG00000172037
PRSS1	ENSG00000204983
TAC3	ENSG00000166863
APOL1	ENSG00000100342
DHRS11	ENSG00000278535
EGFL7	ENSG00000172889
IGLC3	ENSG00000211679
IGHG2	ENSG00000211893
ERVMER34-1	ENSG00000226887
SHBG	ENSG00000129214
CES4A	ENSG00000172824
CES5A	ENSG00000159398
IGKV3-20	ENSG00000239951
LIPG	ENSG00000101670
IGKV3-11	ENSG00000241351
IGKV3-15	ENSG00000244437
IGKC	ENSG00000211592
