leiden,CD8 T,CD4 T,Treg,B,Plasma,NK,Myeloid,pDC
0,0.2417418,0.27358177,0.07300718,0.10061625,0.047268923,2.2278206,0.2817858,0.022576781
1,0.76950043,1.291404,0.09706768,0.076487556,0.019486297,0.2690689,0.02857538,0.027179293
2,1.3329456,0.8028441,0.0335946,0.07184463,0.14310773,0.88603073,0.060294878,0.009099166
3,0.049752176,1.5219767,0.11470576,0.08839047,0.038834024,0.100875914,0.020185009,0.0
4,0.19169512,1.5533355,0.5410976,0.22120157,0.08286449,0.17625925,0.04610152,0.012116284
5,0.12693244,0.95377755,0.05059467,0.103081964,0.09982054,1.433451,0.10252711,0.012449129
6,0.91303146,1.2894608,0.36770806,0.15899143,0.06775014,0.50505006,0.0463209,0.014027465
7,1.4456222,1.0183342,0.07575926,0.0923654,0.07193814,1.0055969,0.060316134,0.017532654
8,1.9386507,0.81140596,0.030278414,0.09197198,0.08833499,1.3382983,0.08585083,0.011655517
9,1.2344136,0.98902035,0.11897851,0.08287535,0.066832416,1.0573106,0.032255553,0.015239144
10,1.4480621,1.0455973,0.21960157,0.2028891,0.1573561,1.0889602,0.11805822,0.009974526
11,1.1384871,1.1299999,0.22042371,0.1326072,0.083119184,0.76453763,0.06478292,0.019315533
12,0.04527793,0.75834215,0.0070417575,0.077828795,0.6392282,0.24855784,0.62373805,2.2285519
13,0.97637886,1.1273593,0.22841215,0.14616,0.0852355,0.7967786,0.06654868,0.009586105
14,1.3485475,0.9645181,0.024128977,0.048428636,0.042744786,1.4894465,0.038735524,0.011057239
15,1.1271172,1.1250708,0.18540895,0.114571854,0.0732652,0.74568015,0.05779385,0.018902402
16,0.13493404,1.0458333,0.3838787,0.044042394,0.03996031,0.17087351,2.0394516,0.2873014
17,0.11971787,0.613663,0.06098673,0.05622593,0.037628606,0.16317034,1.9548719,0.28604665
18,0.03392447,0.67803323,0.035184465,0.039060343,0.055197146,0.08734426,1.6663427,0.29798162
19,0.02668543,0.035630252,0.0,0.96501184,1.9415869,0.043487545,0.060868748,0.014524661
20,0.026616596,0.04700562,0.05328396,2.0833936,0.4149751,0.034506664,0.055926982,0.055501122
21,0.061572462,0.0171038,0.01418102,1.0014486,2.0508788,0.021973182,0.039885856,0.0070258193
22,0.17121248,0.8746951,0.024644965,0.16203879,0.34279025,1.6336901,0.24699415,0.009252333
23,0.045086198,0.027632406,0.20250012,1.6222359,0.6190865,0.03762411,0.08261313,0.037721366
