group,names,scores,logfoldchanges,pvals,pvals_adj
B,MS4A1,58.25047,7.4971166,0.0,0.0
B,CD79A,57.14889,5.9569573,0.0,0.0
B,CD74,56.65764,0.65432614,0.0,0.0
B,CTA-250D10.23,55.972527,5.9057407,0.0,0.0
B,BCL11A,55.09436,5.7143197,0.0,0.0
B,HLA-DRA,54.36829,2.5251315,0.0,0.0
B,BANK1,52.32945,7.6149282,0.0,0.0
B,IGHM,51.1681,5.7832103,0.0,0.0
B,IRF8,50.11301,3.8749852,0.0,0.0
B,CD22,49.862167,7.863258,0.0,0.0
B,CD19,48.57906,7.7748127,0.0,0.0
B,CD37,47.018257,1.3120949,0.0,0.0
B,HLA-DPA1,46.973495,1.7930454,0.0,0.0
B,HLA-DQB1,45.969364,2.5405614,0.0,0.0
B,CD79B,45.276306,4.258703,0.0,0.0
B,CD83,44.825726,3.5150082,0.0,0.0
B,HLA-DQA1,44.5082,2.8045623,0.0,0.0
B,FGD2,44.43666,3.6574597,0.0,0.0
B,FCRL1,44.264084,8.501066,0.0,0.0
B,PAX5,44.226883,8.688454,0.0,0.0
B,ADAM28,44.06586,4.6947107,0.0,0.0
B,HLA-DPB1,42.811543,1.6584066,0.0,0.0
B,NCF1C,41.450466,4.155401,0.0,0.0
B,HLA-DRB1,41.383057,1.6250328,0.0,0.0
B,IGKC,40.87719,4.430789,0.0,0.0
B,LINC00926,40.221153,7.64715,0.0,0.0
B,IGHD,40.085213,8.872804,0.0,0.0
B,HLA-DRB6,39.928093,1.7245852,0.0,0.0
B,NCF1,39.893913,3.610229,0.0,0.0
B,KIAA0226L,39.269745,5.3863163,0.0,0.0
CD4 T,IL7R,29.188927,2.239696,2.680259617471178e-187,4.0993677429349174e-183
CD4 T,RPL13,27.58443,0.124481395,1.7108150645797383e-167,1.3083173070529451e-163
CD4 T,TCF7,26.506384,2.1830847,8.181650871512554e-155,4.1711874287609114e-151
CD4 T,RPL3,25.128138,0.15355423,2.4505849312256482e-139,1.0222058089487058e-135
CD4 T,CCR7,24.101936,2.5583758,2.3855794706511575e-128,9.121660702613142e-125
CD4 T,RPS6,23.909824,0.1359143,2.4207185750371417e-126,8.54401931515417e-123
CD4 T,RPS3,23.833925,0.11870156,1.4865636968405323e-125,4.872106333273642e-122
CD4 T,EEF1A1,23.155397,0.075986736,1.2827016809730903e-118,3.923698928651285e-115
CD4 T,RPL13A,22.906578,0.106104985,3.9952543150090487e-116,1.14573905618672e-112
CD4 T,MALAT1,22.577543,0.08059687,7.204216229993858e-113,1.9444603382178716e-109
CD4 T,RPL10,22.52,0.08181275,2.6436915602394758e-112,6.739063530557117e-109
CD4 T,RPS14,22.517143,0.14268163,2.8196759265041722e-112,6.809368958511444e-109
CD4 T,RPS12,22.013073,0.21102686,2.1585090504565363e-107,4.952051463557386e-104
CD4 T,RPS27,20.630646,0.13556461,1.4568970830770145e-94,2.673930630396229e-91
CD4 T,RPS3A,19.870695,0.104847156,7.298403674666192e-88,1.1162665140279453e-84
CD4 T,RPL4,19.79504,0.20041463,3.2849021886650655e-87,4.710139125772121e-84
CD4 T,RPS18,19.546095,0.21419607,4.453403185722945e-85,6.192119750718533e-82
CD4 T,RPLP2,19.296785,0.1864143,5.715640957788135e-83,7.713425579622081e-80
CD4 T,RPL41,19.108597,0.065823905,2.1415217572737697e-81,2.6557184948851257e-78
CD4 T,RPL32,19.022678,0.22208878,1.1068223832455313e-80,1.3364589008641567e-77
CD4 T,RPS4X,18.76447,0.102926075,1.4746437145401716e-78,1.6915638049490307e-75
CD4 T,RPS25,18.729189,0.18777199,2.8624538968460266e-78,3.2034349903142214e-75
CD4 T,RPL23A,18.410002,0.10884438,1.0921937036398563e-75,1.1931956166145515e-72
CD4 T,EEF1A1P5,18.208477,0.14035708,4.420723561985866e-74,4.717220463213011e-71
CD4 T,TMEM66,18.105942,0.26506636,2.860720061242103e-73,2.9832108929552874e-70
CD4 T,RPL13AP5,18.093357,0.273085,3.595016604257654e-73,3.6656387082168485e-70
CD4 T,PABPC1,17.97403,0.13076282,3.112621287659542e-72,3.1047720687602263e-69
CD4 T,RPL9,17.658463,0.112621374,8.759436709205898e-70,8.551446680110711e-67
CD4 T,RPL11,17.437508,0.14048894,4.283491157602477e-68,3.930874165508641e-65
CD4 T,RPL3P4,17.422972,0.41812623,5.523201995384728e-68,4.969149026592801e-65
CD8 T,CD8A,64.86765,3.1421807,0.0,0.0
CD8 T,CCL5,59.716675,2.0179634,0.0,0.0
CD8 T,TRBC2,50.09951,1.2870601,0.0,0.0
CD8 T,NKG7,50.004787,2.1877182,0.0,0.0
CD8 T,CD8B,48.090355,2.9891622,0.0,0.0
CD8 T,KLRK1,45.41206,2.0066261,0.0,0.0
CD8 T,TRAC,45.23045,1.5271487,0.0,0.0
CD8 T,CD3G,43.739372,1.5085161,0.0,0.0
CD8 T,CST7,42.304417,1.6865288,0.0,0.0
CD8 T,GZMA,41.737602,1.972131,0.0,0.0
CD8 T,PRF1,41.28176,1.8931515,0.0,0.0
CD8 T,CD2,40.326828,1.4823973,0.0,0.0
CD8 T,CD3E,39.30247,1.3845272,0.0,0.0
CD8 T,IL32,37.93573,1.4659634,0.0,0.0
CD8 T,CBLB,36.42676,1.2326427,1.605283046046906e-290,4.910453818987749e-287
CD8 T,CD3D,36.257477,1.468433,7.576219100954397e-288,2.1726702326761972e-284
CD8 T,CCL4,35.76914,1.7718241,3.335223512496246e-280,9.00196444984575e-277
CD8 T,HLA-A,35.390137,0.118453965,2.4215223393465036e-274,6.172729501031943e-271
CD8 T,FYN,35.253212,1.2066566,3.063525774543963e-272,7.398253507325011e-269
CD8 T,LYST,34.694424,1.1676615,9.5620979695349e-264,2.193736516170697e-260
CD8 T,DUSP4,34.689335,1.4827611,1.1409310659812231e-263,2.4928800491182116e-260
CD8 T,PRKCH,34.606674,1.2397141,2.0050711118681634e-262,4.181849222589037e-259
CD8 T,PDCD1,34.399185,1.9610664,2.5933615274483074e-259,5.173643492410353e-256
CD8 T,APOBEC3G,32.699905,1.1631559,1.566517827974663e-234,2.994921000782893e-231
CD8 T,GZMK,31.481617,1.769758,1.550651562038566e-217,2.8460038509031022e-214
CD8 T,APOBEC3C,31.307308,0.586149,3.711329122304909e-215,6.549639440301478e-212
CD8 T,GAPDH,30.965178,0.30511153,1.5873514327211692e-210,2.6012154692492188e-207
CD8 T,CTSW,30.688566,1.5792824,8.087344963452618e-207,1.2795852975967584e-203
CD8 T,CCL4L1,30.632078,1.5201643,4.579315312162793e-206,7.003910126109253e-203
CD8 T,RP5-940J5.9,30.265114,0.3309459,3.3008431791329126e-201,4.885673820365631e-198
Myeloid,IFI30,60.32807,4.8406825,0.0,0.0
Myeloid,LYZ,60.18249,8.05618,0.0,0.0
Myeloid,RP11-1143G9.4,59.044006,8.000763,0.0,0.0
Myeloid,CST3,58.60544,6.679154,0.0,0.0
Myeloid,TYROBP,58.431114,5.9382234,0.0,0.0
