rank,gene,protein_name,final_score,tier,multiplicative_score,tumour_quality,safety_score,consensus_multiplier,score_specificity,score_intensity,score_uniformity,score_accessibility,score_druggability,epi_mean,epi_detection,caf_mean,immune_mean,endothelial_mean,tme_max_mean,log2fc_mean,log2fc_sd,n_datasets_reproducible,n_datasets,topology_class,max_ecd_segment,surface_confirmation,ab_tractability_bucket,ot_n_drugs,ot_drugs,depmap_mean_gene_effect,safety_source,safety_is_default,protein_worst_tissue,rna_worst_tissue,rna_max_ntpm,n_normal_tissues_medium_high,almen_class,uniprot,ensembl_gene
1,LY6K,Lymphocyte antigen 6K,0.632704285831263,Tier 1,0.2532808347920749,0.4690385829482868,0.6,0.9,0.7650089281852398,0.2006128323936055,0.120816690069969,0.4683333333333334,0.7,0.5554337520000001,0.120816690069969,0.01112338728,0.01150042226,0.0399956334,0.0461666104,2.2950267845557195,1.2939394099694632,4,5,no TM (GPI/peripheral),148,experimental (CSPA/GPI),UniProt loc high conf,0.0,,-0.0675597914063516,protein+RNA (min),False,Testis,esophagus,35.1,1.0,Unclassified,Q17RY6,ENSG00000160886
2,ITGB6,Integrin beta-6,0.5548432179191631,Tier 1,0.1708090375215306,0.7127867659831582,0.2396355343185012,1.0,1.0,0.3994045306064069,0.2770292993093838,0.95,0.9,1.409691452,0.2770292993093838,0.0536366311,0.042026985,0.0517571988,0.0846236448,3.2640614024309125,0.8392338810210191,5,5,type I,688,Open Targets confirmed,Advanced Clinical,4.0,ABITUZUMAB; STX-100; SIGVOTATUG VEDOTIN; SIGVOTATUG,-0.0350649206120341,protein+RNA (min),False,Heart muscle,kidney,74.9,11.0,Receptors,P18564,ENSG00000115221
3,CDCP1,CUB domain-containing protein 1,0.5514115812788326,Tier 1,0.1676593005500195,0.4494887414209638,0.373,1.0,0.4521549721168917,0.1435977308212396,0.1506135181082422,1.0,0.7,0.3719125319999999,0.1506135181082422,0.0944875728,0.0713099904,0.0070975241999999,0.1093995936,1.3564649163506752,0.9791240817381296,5,5,type I,637,experimental (CSPA/GPI),UniProt loc high conf,0.0,,0.0667081538638781,protein+RNA (min),False,Heart muscle,esophagus,35.8,27.0,Unclassified,Q9H5V8,ENSG00000163814
4,IGSF3,Immunoglobulin superfamily member 3,0.5482328912620984,Tier 2,0.1647764957131821,0.4201624096887311,0.4902166754852411,0.8,0.5466281125040197,0.0891587231011368,0.1042111565864894,1.0,0.45,0.216928092,0.1042111565864894,0.00987274352,0.00417172804,0.022588103,0.0284192991,1.6398843375120589,1.0341883442843152,3,5,type I,1105,unconfirmed (ML prediction only),UniProt SigP or TMHMM,0.0,,-0.1637200240319677,protein+RNA (min),False,Placenta,kidney,22.1,3.0,Receptors,O75054,ENSG00000143061
5,SLC6A14,Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+),0.5427124382093363,Tier 2,0.1598487797618901,0.4361739990318897,0.4580992336678784,0.8,0.7762650937594943,0.1454419323770024,0.1147804221432046,0.3583333333333334,0.65,0.377495166,0.1147804221432046,0.02391542572,0.013291830548,0.0093087449999999,0.035598921148,2.3287952812784827,0.7347742049868591,3,5,multi-pass (12 TM),100,Open Targets confirmed,GO CC high conf,0.0,,0.0628762046051312,RNA only,False,,lung,20.2,,Transporters,Q9UN76,ENSG00000268104
6,CRB3,Protein crumbs homolog 3,0.5312815062090823,Tier 2,0.1499595385774383,0.5374561976343873,0.2790172282643405,1.0,0.9724100081309588,0.2239613465443699,0.236579629431129,0.3241666666666666,0.7,0.637496344,0.236579629431129,0.0076792113999999,0.0185503872,0.03384307082,0.03838459,2.917230024392876,0.5664747312861061,5,5,type I,29,Open Targets confirmed,UniProt loc high conf,0.0,,0.0779554146774764,protein+RNA (min),False,Kidney,kidney,52.7,5.0,Miscellaneous,Q9BUF7,ENSG00000130545
7,CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5,0.5279428392247388,Tier 2,0.1471501506465911,0.7007150030790052,0.3,0.7,1.0,0.4343228689772577,0.1030021464177684,0.955,1.0,1.602284624,0.1030021464177684,0.1799899002,0.03491108142,0.0054895923,0.1808617532,3.1864673578656126,1.906275451625948,2,5,no TM (GPI/peripheral),668,experimental (CSPA/GPI),Approved Drug,5.0,ARCITUMOMAB; LABETUZUMAB; LABETUZUMAB GOVITECAN; MEDI-565; TUSAMITAMAB RAVTANSINE,-0.0288366765108045,protein+RNA (min),False,Colon,colon,920.3,6.0,Miscellaneous,P06731,ENSG00000105388
8,CDH3,Cadherin-3,0.523211104867672,Tier 2,0.1432289668423573,0.4799898352625916,0.373,0.8,0.5187389398056832,0.1680414542105773,0.1262993123938559,0.97,0.8,0.447780164,0.1262993123938559,0.035722184602,0.02877611726,0.09860736616,0.1126967164,1.5562168194170496,0.4740957998043432,3,5,type I,630,experimental (CSPA/GPI),Phase 1 Clinical,1.0,PF-03732010,0.0024557552062259,protein+RNA (min),False,Kidney,esophagus,51.8,16.0,Miscellaneous,P22223,ENSG00000062038
9,MSLN,Mesothelin,0.5146040896968893,Tier 2,0.1362761011784912,0.7767862780247146,0.1754357730481889,1.0,1.0,0.7288308663153921,0.3063505238081803,0.8983333333333333,0.9,3.97738024,0.3063505238081803,0.2469092601999999,0.0986208774,0.331050468,0.3348460172,3.516014247103153,0.7095409488453991,5,5,no TM (GPI/peripheral),592,experimental (CSPA/GPI),Advanced Clinical,5.0,SS1(DSFV)-PE38; ANETUMAB RAVTANSINE; LMB-100; AMATUXIMAB; RG-7600,0.0821116115162709,protein+RNA (min),False,Colon,lung,261.5,8.0,,Q13421,ENSG00000102854
10,MUC4,Mucin-4,0.5115422787733365,Tier 2,0.1338580830897719,0.5577420128740495,0.3,0.8,0.8227722422212147,0.1566317460905456,0.1229199549478797,1.0,0.7,0.4118586119999999,0.1229199549478797,0.0002716547799999,0.00688536912,0.00543539154,0.00832893752,2.468316726663644,1.527096949902658,3,5,type I,2097,experimental (CSPA/GPI),UniProt loc high conf,0.0,,0.0522256785157751,protein+RNA (min),False,Colon,colon,31.2,10.0,Unclassified,Q99102,ENSG00000145113
11,CELSR1,Cadherin EGF LAG seven-pass G-type receptor 1,0.505770186592967,Tier 2,0.129377774643372,0.4492096689871947,0.3600149984946675,0.8,0.4064898800150047,0.291064223554367,0.2089993013590991,0.865,0.65,0.8982466800000001,0.2089993013590991,0.2264499754,0.063405854,0.240224093,0.252783563,1.219469640045014,0.5511725710612518,3,5,multi-pass (7 TM),2444,experimental (CSPA/GPI),GO CC high conf,0.0,,0.0726754232889528,RNA only,False,,kidney,32.9,,Receptors,Q9NYQ6,ENSG00000075275
12,EFNA4,Ephrin-A4,0.504146694585674,Tier 2,0.1281358848559642,0.2936539096528118,0.545437505869834,0.8,0.2447477786339774,0.1025105404987965,0.1255123398142967,0.4641666666666666,0.7,0.253238198,0.1255123398142967,0.130720671,0.0971660674,0.0752482944,0.139271395,0.7342433359019325,0.292093502809922,3,5,no TM (GPI/peripheral),179,experimental (CSPA/GPI),UniProt loc high conf,0.0,,-0.0958253103368364,RNA only,False,,liver,29.2,,Unclassified,P52798,ENSG00000243364
13,SLC44A4,Choline transporter-like protein 4,0.5028759108108087,Tier 2,0.1271693631888584,0.4864146460600259,0.2904914430036054,0.9,0.8520190508686211,0.3496990261965001,0.2443456278006982,0.4466666666666666,0.3,1.159865506,0.2443456278006982,0.02667426466,0.0166794194,0.0662304746,0.0698438033999999,2.556057152605863,1.5181060202953771,4,5,multi-pass (10 TM),170,unconfirmed (ML prediction only),not in Open Targets,,,-0.0812508221312161,protein+RNA (min),False,Cerebellum,kidney,123.7,19.0,Transporters,Q53GD3,ENSG00000204385;ENSG00000206378;ENSG00000229077;ENSG00000235336;ENSG00000228263;ENSG00000232180;ENSG00000231479
14,FZD5,Frizzled-5,0.5010560898785358,Tier 2,0.1257937415755335,0.4345373208340237,0.3618611553723765,0.8,0.5912593883306789,0.1360534654128976,0.1378690562612024,0.4491666666666667,0.9,0.349309682,0.1378690562612024,0.0116175574,0.0277351196,0.0447795602,0.0501991602,1.7737781649920368,0.871396841189801,3,5,multi-pass (7 TM),209,Open Targets confirmed,Advanced Clinical,1.0,VANTICTUMAB,-0.0798455953562179,protein+RNA (min),False,Cerebellum,liver,21.2,9.0,Receptors,Q13467,ENSG00000163251
15,EGFR,Epidermal growth factor receptor,0.4999897841905985,Tier 2,0.1249923382994919,0.4977483890591492,0.2790172282643405,0.9,0.343232840045324,0.243047064228114,0.2308456209996458,1.0,1.0,0.70778239,0.2308456209996458,0.29444533,0.00872983794,0.2472369147999999,0.313248098,1.029698520135972,0.5304134334312226,4,5,type I,621,experimental (CSPA/GPI),Approved Drug,82.0,RUSERONTINIB; TESEVATINIB; AFATINIB; CETUXIMAB SAROTALOCAN; MDX-447; ALLITINIB,-0.3472297029897933,protein+RNA (min),False,Kidney,liver,61.8,21.0,Receptors,P00533,ENSG00000146648
16,ROS1,Proto-oncogene tyrosine-protein kinase ROS,0.4974430878862846,Tier 2,0.1230921058974704,0.5313137588670412,0.3309642610098858,0.7,0.7597061631674126,0.1387377445303792,0.1032718050537081,1.0,0.7,0.357308866,0.1032718050537081,0.0022778611,0.001773665424,0.00111229326,0.00368263184,2.279118489502238,1.3469089745003204,2,5,type I,1834,Open Targets confirmed,UniProt loc high conf,4.0,CRIZOTINIB; ENTRECTINIB; TALETRECTINIB; REPOTRECTINIB,0.1100824093958999,RNA only,False,,lung,55.3,,Receptors,P08922,ENSG00000047936
17,SLC39A4,Zinc transporter ZIP4,0.4926131492839663,Tier 2,0.1195413072405543,0.4045606007372844,0.3283158925255323,0.9,0.4473082757118778,0.2451951742984153,0.2228954158201903,0.4783333333333334,0.7,0.715879664,0.2228954158201903,0.192818502,0.130268842,0.1442209659999999,0.196625752,1.3419248271356334,0.8829991381671767,4,5,multi-pass (6 TM),304,Open Targets confirmed,UniProt loc high conf,0.0,,-0.0787001731773216,RNA only,False,,duodenum,82.8,,Transporters,Q6P5W5,ENSG00000147804
18,ABCC3,Canalicular multispecific organic anion transporter 2,0.4812056063688668,Tier 2,0.1114274098953655,0.5758587774406956,0.1934978058172272,1.0,0.9439998131715668,0.4646537287060427,0.3055154387400847,0.2241666666666666,0.7,1.782024968,0.3055154387400847,0.1904981734,0.1219635394,0.0618821101999999,0.1927517834,2.831999439514701,0.8809913086587894,5,5,multi-pass (17 TM),35,Open Targets confirmed,UniProt loc high conf,0.0,,-0.0694809485028379,protein+RNA (min),False,Adrenal gland,liver,58.1,18.0,Transporters,O15438,ENSG00000108846
19,TMEM184A,Transmembrane protein 184A,0.4626621227649077,Tier 2,0.0990357143160642,0.357981302255467,0.3458131531314907,0.8,0.641328961785237,0.1202314042989643,0.1201816643005154,0.2333333333333333,0.55,0.3031084724,0.1201816643005154,0.0110332102,0.0122494711999999,0.00220854088,0.0221781902199999,1.923986885355711,1.2021551399645638,3,5,multi-pass (7 TM),46,Open Targets confirmed,UniProt loc med conf,0.0,,0.0223027982650311,RNA only,False,,liver,88.1,,Unclassified,Q6ZMB5,ENSG00000164855
20,TMEM63B,CSC1-like protein 2,0.4623455618202716,Tier 2,0.0988325678391414,0.3942583882392161,0.2506796831401208,1.0,0.5110147182847363,0.2362283899743882,0.2204164737945881,0.2975,0.7,0.6823317720000001,0.2204164737945881,0.183964768,0.0963584736,0.2454886319999999,0.245682678,1.533044154854209,0.6053487752920294,5,5,multi-pass (10 TM),99,Open Targets confirmed,UniProt loc high conf,0.0,,-0.037998105667577,RNA only,False,,liver,46.4,,Miscellaneous,Q5T3F8,ENSG00000137216
21,SCNN1B,Amiloride-sensitive sodium channel subunit beta,0.4587755964637869,Tier 2,0.096560815645977,0.4221009891655776,0.2859529417262842,0.8,0.4985790213509939,0.1447642646822819,0.1353721491191152,0.7433333333333334,0.7,0.375441144,0.1353721491191152,0.0030080222599999,0.0127503128,0.0953657733999999,0.100656179,1.4957370640529817,0.8533554164234614,3,5,multi-pass (2 TM),454,experimental (CSPA/GPI),UniProt loc high conf,5.0,IDREVLORIDE; TRIAMTERENE; AMILORIDE; AMILORIDE HYDROCHLORIDE; COFIRASERSEN,0.1073935706875472,RNA only,False,,kidney,89.1,,Unclassified,P51168,ENSG00000168447
22,OPN3,Opsin-3,0.4586775554620954,Tier 2,0.0964989233207554,0.28517251573036,0.4834112585880589,0.7,0.2362199434733184,0.2001691365993733,0.135738526842449,0.2808333333333334,0.7,0.55391479,0.135738526842449,0.2049294039999999,0.1925010979999999,0.0468541948,0.260271718,0.7086598304199552,0.4582361717075013,2,5,multi-pass (7 TM),43,Open Targets confirmed,UniProt loc high conf,0.0,,0.0201758492495597,RNA only,False,,cerebral cortex,17.6,,Receptors,Q9H1Y3,ENSG00000054277
23,PTPRU,Receptor-type tyrosine-protein phosphatase U,0.4526196465470319,Tier 2,0.0927257176946145,0.3551348820169074,0.373,0.7,0.1018129637626727,0.1897646886229688,0.1581902758175592,1.0,0.7,0.51871801,0.1581902758175592,0.31113226,0.0248366058799999,0.0400502951,0.31113226,0.3054388912880184,0.7810061944084377,2,5,type I,727,experimental (CSPA/GPI),UniProt loc high conf,0.0,,-0.0946979648664121,protein+RNA (min),False,Cerebellum,hypothalamus,26.6,41.0,Receptors,Q92729,ENSG00000060656
24,DUOXA1,Dual oxidase maturation factor 1,0.4371874347900062,Tier 2,0.0835608817676134,0.4226828020107261,0.2471146252287459,0.8,0.7900200579860774,0.1056476146030601,0.1064863084714547,0.305,0.65,0.261925432,0.1064863084714547,0.002560802,0.00180856088,0.0048555028,0.005827042,2.3700601739582323,0.6724613537146491,3,5,multi-pass (5 TM),108,Open Targets confirmed,GO CC high conf,0.0,,-0.060264896778218,protein+RNA (min),False,Cerebral cortex,lung,137.2,13.0,Unclassified,Q1HG43,ENSG00000140254
25,EPHA2,Ephrin type-A receptor 2,0.4317723330614014,Tier 2,0.0804941708185289,0.3285476359939955,0.35,0.7,0.04891003582186,0.1773703457625422,0.1745027804746455,0.9233333333333332,0.7,0.477828696,0.1745027804746455,0.130220522,0.01509725054,0.50647204,0.50647204,0.1467301074655801,0.7328004837866575,2,5,type I,508,experimental (CSPA/GPI),UniProt loc high conf,3.0,DASATINIB ANHYDROUS; VANDETANIB; REGORAFENIB,0.1411180501403877,RNA only,False,,esophagus,142.7,,Receptors,P29317,ENSG00000142627
26,SLC26A9,Solute carrier family 26 member 9,0.4316961130501327,Tier 2,0.0804515498596134,0.3831026183791116,0.3,0.7,0.532654683778735,0.2849525379721976,0.1140785282552578,0.2566666666666667,0.7,0.872871054,0.1140785282552578,9.2391524e-05,0.02356463938,0.29937325016,0.3013626375,1.5979640513362052,0.7001260191550479,2,5,multi-pass (10 TM),38,Open Targets confirmed,UniProt loc high conf,0.0,,0.0100404657824226,protein+RNA (min),False,Stomach,stomach,68.3,2.0,Transporters,Q7LBE3,ENSG00000174502
