gene,epi_mean,epi_detection,caf_mean,immune_mean,endothelial_mean,tme_max_mean,log2fc_mean,log2fc_sd,n_datasets,n_datasets_reproducible,consensus_fraction
ABCA1,0.323565576,0.10612062393237873,0.730202394,0.3110426388,0.1233903226,0.730202394,-0.8007586363744927,0.9204108454423018,5,0,0.0
ABCA12,0.10201922220000001,0.039805106165897344,0.0,0.00445649796348,7.781875200000001e-07,0.00445667489152,0.9915128771000269,0.9790800785716399,5,1,0.2
ABCA13,0.0714548546,0.03503939087854456,0.00110313854,0.0053312800600000005,0.0011747232180000001,0.005609936,1.0645521659019788,0.409006546090452,5,0,0.0
ABCA2,0.129973114,0.06660488456907324,0.23288967600000002,0.38625534899999997,0.20335035240000005,0.43157477,-0.9924771349213923,0.6253279277847436,5,0,0.0
ABCA3,0.873125806,0.16702350236168137,0.0103128656,0.052471345,0.1367155488,0.1367155488,2.2634936207943346,0.9252947189520443,5,4,0.8
ABCA4,0.0960132774,0.04398516257279248,0.0,0.00234172518,0.0111907386,0.012099410799999998,0.930342152801242,0.8007731503247872,5,1,0.2
ABCA5,0.32272472999999996,0.12038383908299852,0.158307302,0.37216887000000004,0.129834494,0.37368952800000005,0.10452653289314692,0.5736532634876674,5,1,0.2
ABCA6,0.0509144124,0.01007034195334222,0.819232626,0.023665002999999997,0.0271653958,0.819232626,-3.2801973468519776,0.7552053268229699,5,0,0.0
ABCA7,0.697151928,0.16884638980585231,0.022557448999999997,0.36186705100000005,0.07013081539999999,0.36373438300000005,1.183480447468024,2.08274447415372,5,4,0.8
ABCA8,0.11911248420000001,0.02203827424051526,0.679575268,0.004358083706,0.006500481799999999,0.679575268,-2.195758686534433,1.3945524364034614,5,0,0.0
ABCA9,0.02017959917,0.0044890235509969,0.31257995,0.003862664354,0.0035596186000000003,0.31257995,-2.198800923827044,1.1561350097943894,5,0,0.0
ABCB1,0.08658415538799999,0.02302932530850174,0.02884995432,0.196948525,0.4723467612,0.48842709500000003,-2.3200054599884745,0.5919189753286538,5,0,0.0
ABCB11,1.683841e-05,3.70851103282e-05,0.0,0.0,0.0,0.0,0.0004854452203893537,0.0010854885121429618,5,0,0.0
ABCB4,0.0019228820599999999,0.0025444546037413198,0.00428114672,0.0324714726,0.006328067,0.0332537252,-0.6307075321877876,0.3938433069166675,5,0,0.0
ABCB5,0.001499325452,0.0013252420303589,0.004387482,0.0026808342999999997,0.0025001043200000004,0.0048796097999999994,-0.08955275601779977,0.09023109867320117,5,0,0.0
ABCB9,0.0712089872,0.0342947769919704,0.0102064038,0.028108750999999998,0.02336696338,0.0335144628,0.48838000898189476,0.39550286925889483,5,0,0.0
ABCC1,0.333246728,0.11224589419534295,0.2781233736,0.39488484879999997,0.354471066,0.4129448,-0.42219037022767336,0.21765170069774825,5,0,0.0
ABCC10,0.053133761,0.0344231042621425,0.055421915,0.0630566212,0.0369560608,0.07798673599999999,-0.2522043154098942,0.459419860973092,5,0,0.0
ABCC11,0.001147814426,0.00206096918649902,0.0,0.000503189375,6.743684200000001e-06,0.000503189375,0.01797496965547386,0.03974170491142028,5,0,0.0
ABCC12,0.000851119103,0.0009305235631707201,0.00010994472,9.75068432e-05,0.0,0.00019213950319999998,0.01855600527121385,0.025344387513630075,5,0,0.0
ABCC2,0.02726937794,0.00802104033734948,0.00171067164,0.01556190432,0.002192755586,0.01637999252,0.17226149640706398,0.8752999149780536,5,0,0.0
ABCC3,1.782024968,0.30551543874008474,0.19049817340000003,0.1219635394,0.06188211019999999,0.19275178340000002,2.831999439514701,0.8809913086587894,5,5,1.0
ABCC4,0.489141654,0.12712547650583947,0.15083852739999998,0.15854080899999998,0.245996354,0.286100442,-0.00922469316576463,0.9945899396105944,5,1,0.2
ABCC5,0.44112479800000004,0.13570345806235334,0.192437498,0.17515738679999998,0.370206102,0.389117174,0.27379905864760606,0.1854097110190103,5,1,0.2
ABCC9,0.0462690082,0.025576664676082484,0.32173044,0.0029547806419999998,0.101612251808,0.39581508000000004,-2.3089362615021827,0.6003844713679061,5,0,0.0
ABCG2,0.009410524704,0.00301758002722254,0.026209860600000003,0.0265085698,0.413524262,0.413524262,-2.8177018478428146,0.9676336455113936,5,0,0.0
ABCG4,6.2515134e-05,0.00018814675446848,0.00039962254,0.00036395744,1.0876400799999999e-06,0.00076357998,-0.019823041805829507,0.031511209323896644,5,0,0.0
ABCG5,0.00044095721999999995,0.00041337861926516,0.000177295548,0.0,0.0005179237599999999,0.0005179237599999999,-0.0019885698424026966,0.022278306179197172,5,0,0.0
ACE,0.0347697166,0.02466561645595864,0.072757576,0.1120544716,3.03833476,3.03833476,-4.869692729683072,0.9341150510495968,5,0,0.0
ACE2,0.07516244720000001,0.02776187577841724,0.0040573207,0.0031722120521999997,0.0224800841,0.0246135421942,0.4875185859446409,0.40023765317175214,5,0,0.0
