gene,protein_name,topology_class,max_ecd_segment,uniprot_subcellular,exclusion_reason
ABCA2,ATP-binding cassette sub-family A member 2,multi-pass (14 TM),632,Endosome membrane (Multi-pass membrane protein);Lysosome membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (endosome membrane; lysosome membrane)
ABCA5,ATP-binding cassette sub-family A member 5,multi-pass (15 TM),446,Golgi apparatus membrane (Multi-pass membrane protein);Late endosome membrane (Multi-pass membrane protein);Lysosome membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (golgi apparatus membrane; late endosome membrane; lysosome membrane)
ABCB9,ATP-binding cassette sub-family B member 9,multi-pass (8 TM),335,Lysosome membrane (Multi- pass membrane protein),localisation: no plasma-membrane entry (lysosome membrane)
ACP2,Lysosomal acid phosphatase,type I,348,Lysosome lumen;Lysosome membrane (Single-pass membrane protein|Lumenal side,localisation: no plasma-membrane entry (lysosome lumen; lysosome membrane)
ADIPOR2,Adiponectin receptor protein 2,multi-pass (7 TM),20,Membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
ADRA2B,Alpha-2B adrenergic receptor,multi-pass (7 TM),19,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
ANKH,Progressive ankylosis protein homolog,multi-pass (8 TM),23,Membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
AQP1,Aquaporin-1,multi-pass (6 TM),21,Cell membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
AQP2,Aquaporin-2,multi-pass (6 TM),22,"Apical cell membrane (Multi-pass membrane protein);Basolateral cell membrane (Multi-pass membrane protein);Cytoplasmic vesicle membrane (Multi- pass membrane protein);Golgi apparatus, trans-Golgi network membrane (Multi-pass membrane protein)",no extracellular segment >= 25 aa
AQP4,Aquaporin-4,multi-pass (6 TM),21,Membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
AQP5,Aquaporin-5,multi-pass (6 TM),23,Membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
AQP8,Aquaporin-8,multi-pass (6 TM),22,Membrane (Multi-pass membrane protein),no extracellular segment >= 25 aa
ART1,GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1,no TM (GPI/peripheral),303,"Sarcoplasmic reticulum membrane (Lipid- anchor, GPI-anchor)",localisation: no plasma-membrane entry (sarcoplasmic reticulum membrane)
ATG9A,Autophagy-related protein 9A,multi-pass (6 TM),57,"Cytoplasmic vesicle, autophagosome membrane (Multi-pass membrane protein);Endoplasmic reticulum membrane (Multi-pass membrane protein);Golgi apparatus, trans-Golgi network membrane (Multi-pass membrane protein);Late endosome membrane (Multi-pass membrane protein)","localisation: no plasma-membrane entry (cytoplasmic vesicle, autophagosome membrane; endoplasmic reticulum membrane; golgi apparatus, trans-golgi network membrane)"
ATP13A1,Manganese-transporting ATPase 13A1,multi-pass (10 TM),179,Endoplasmic reticulum membrane (Multi-pass membrane protein),localisation: no plasma-membrane entry (endoplasmic reticulum membrane)
ATP1B4,Protein ATP1B4,type II,222,Nucleus inner membrane (Single-pass type II membrane protein),localisation: no plasma-membrane entry (nucleus inner membrane)
C1orf85,Lysosomal protein NCU-G1,type I,333,Lysosome membrane (Single-pass type I membrane protein),localisation: no plasma-membrane entry (lysosome membrane)
CD1E,"T-cell surface glycoprotein CD1e, membrane-associated",type I,281,Early endosome;Golgi apparatus membrane (Single-pass type I membrane protein);Late endosome;Lysosome lumen,localisation: no plasma-membrane entry (early endosome; golgi apparatus membrane; late endosome)
CD46,Membrane cofactor protein,type I,311,"Cytoplasmic vesicle, secretory vesicle, acrosome inner membrane (Single- pass type I membrane protein)","localisation: no plasma-membrane entry (cytoplasmic vesicle, secretory vesicle, acrosome inner membrane)"
