gene,depmap_mean_gene_effect,depmap_n_cell_lines
A1BG,-0.03801513970733574,1100.0
A1CF,-0.08651554969839535,1100.0
A2M,0.04804608233094279,1100.0
A2ML1,0.07408751137691272,1100.0
A3GALT2,-0.12281420846163844,1100.0
A4GALT,0.06428492485030218,1100.0
A4GNT,0.07385426804549873,1100.0
AAAS,-0.1484153158690161,1100.0
AACS,-0.02123181993709874,1100.0
AADAC,0.14525894980814924,1100.0
AADACL2,-0.013397907285070043,1100.0
AADACL3,0.0655272611726481,1100.0
AADACL4,-0.026907497936320572,1100.0
AADAT,-0.0570992289660579,1100.0
AAGAB,-0.014910784744068512,1100.0
AAK1,-0.14960191631140698,1100.0
AAMDC,-0.010623336955693653,1100.0
AAMP,-1.1162139867879752,1100.0
AANAT,-0.07154129895972709,1100.0
AAR2,-0.0038161863014110767,1100.0
AARD,-0.13466601837478193,1100.0
AARS1,-2.0594640201926473,1100.0
AARS2,-0.3626350253762999,1100.0
AARSD1,-0.16723195328728147,1100.0
AASDH,-0.13704016402458363,1100.0
AASDHPPT,-0.32472561328127325,1100.0
AASS,-0.015267862693125215,1100.0
AATF,-0.8608642216559333,1100.0
AATK,-0.14394658070256933,1100.0
ABAT,-0.025102685575304914,1100.0
ABCA1,0.061242909300455055,1100.0
ABCA10,0.006522242159580269,1100.0
ABCA12,-0.015951964065594983,1100.0
ABCA13,0.08670710843295705,1100.0
ABCA2,0.0757177158059157,1100.0
ABCA3,-0.02549694453382391,1100.0
ABCA4,-0.2080816059590031,1100.0
ABCA5,0.00421258756403046,1100.0
ABCA6,-0.03722466707300567,1100.0
ABCA7,0.028858412155359888,1100.0
ABCA8,-0.07015120098126208,1100.0
ABCA9,-0.024550616534341176,1100.0
ABCB1,-0.13320388329049618,1100.0
ABCB10,-0.052831162034440535,1100.0
ABCB11,-0.08408398689179108,1100.0
ABCB4,-0.12649202460448086,1100.0
ABCB5,-0.053372680215628236,1100.0
ABCB6,0.03399576347682929,1100.0
ABCB7,-1.1929836894850825,1100.0
ABCB8,0.09939694870683558,1100.0
ABCB9,0.06472099206607322,1100.0
ABCC1,-0.024390681280650334,1100.0
ABCC10,-0.16557990410044013,1100.0
ABCC11,-0.031738092023634104,1100.0
ABCC12,0.25002571300543686,1100.0
ABCC2,-0.07561719981158181,1100.0
ABCC3,-0.06948094850283795,1100.0
ABCC4,0.1270263888389551,1100.0
ABCC5,0.05113937919901923,1100.0
ABCC6,-0.028168772337300307,324.0
ABCC8,0.15955370865908866,1100.0
ABCC9,-0.12941094357823502,1100.0
ABCD1,-0.14079052075602802,1100.0
ABCD2,-0.08691044006139471,1100.0
ABCD3,-0.17222838249269773,1100.0
ABCD4,-0.11418468512985316,1100.0
ABCE1,-2.152828649957916,1100.0
ABCF1,-1.043051480110588,1100.0
ABCF3,0.03865414947837831,1100.0
ABCG1,0.03930724818358711,1100.0
ABCG2,0.018062471217785127,1100.0
ABCG4,0.013228364911426514,1100.0
ABCG5,0.046566445040814995,1100.0
ABCG8,-0.029041756398591353,1100.0
ABHD1,0.003939677661381744,1100.0
ABHD10,-0.008146858850324007,1100.0
ABHD11,-0.308066680790926,1100.0
ABHD12,-0.011582361402040362,1100.0
ABHD12B,0.06645997219641236,1100.0
ABHD13,-0.10689359534069331,1100.0
ABHD14A,0.07393579376017437,1100.0
ABHD14B,-0.005478703606369541,1100.0
ABHD15,-0.2444630434037668,1100.0
ABHD16A,0.043593124784003436,1100.0
ABHD16B,0.03745841990747104,1100.0
ABHD17A,-0.27715270641520456,1100.0
ABHD17B,-0.00253123400105522,1100.0
ABHD17C,0.06470608845693746,1100.0
ABHD18,0.04902489176322338,1100.0
ABHD2,-0.05726177154181148,1100.0
ABHD3,-0.07005521910889796,1100.0
ABHD4,0.03883419290472309,1100.0
ABHD5,-0.01023273910710089,1100.0
ABHD6,0.06584854527873314,1100.0
ABHD8,-0.03876187566021042,1100.0
ABI1,-0.16072121932465647,1100.0
ABI2,-0.0019115518323201202,1100.0
ABI3,0.031089204561022626,1100.0
ABI3BP,0.016605262771717734,1100.0
ABITRAM,0.014007972037251976,1100.0
ABL1,0.027444435730880748,1100.0
ABL2,0.04481195986417432,1100.0
ABLIM1,0.1292369139611902,1100.0
ABLIM2,0.01714141412890511,1100.0
ABLIM3,-0.002229381723913909,1100.0
ABR,-0.09021572274753174,1100.0
ABRA,0.18488569984905284,1100.0
ABRACL,0.1141468184781148,1100.0
ABRAXAS1,-0.29723531180895035,1100.0
ABRAXAS2,0.17282692154555554,1100.0
ABT1,-1.3065803829200033,1100.0
ABTB1,0.006004352043363258,1100.0
ABTB2,0.03937279256738254,1100.0
ABTB3,0.02573017551708573,1100.0
ACAA1,0.009495144517636157,1100.0
ACAA2,-0.009522853457577083,1100.0
ACACA,-0.373983685364411,1100.0
ACACB,-0.16517455919466661,1100.0
ACAD10,-0.07892207889091499,1100.0
ACAD11,0.06581062233812356,1100.0
ACAD8,-0.011799882199227202,1100.0
ACAD9,-0.24440194247964458,1100.0
ACADL,0.01798962122005087,1100.0
ACADM,0.030233596617878757,1100.0
ACADS,-0.07327401916990765,1100.0
ACADSB,0.009416705358480736,1100.0
ACADVL,-0.004642444319191901,1100.0
ACAN,-0.022162062539548694,1100.0
ACAP1,-0.05759372802546118,1100.0
ACAP2,-0.06618483695286262,1100.0
ACAP3,-0.12291427041066684,1100.0
ACAT1,0.007989707268973335,1100.0
ACAT2,0.17349988699839566,1100.0
ACBD3,-0.06229542031560403,1100.0
ACBD4,-0.04588227994610539,1100.0
ACBD5,0.03391835086066165,1100.0
ACBD6,0.056601453388234774,1100.0
ACBD7,0.17469177818688714,1100.0
ACCS,0.0598000167794854,1100.0
ACCSL,-0.09054530313837536,1100.0
ACD,-0.3531218901632363,1100.0
ACE,-0.15642001880425066,1100.0
ACE2,0.22635139814750557,1100.0
ACER1,-0.13624899913756466,1100.0
ACER2,0.06298883596752998,1100.0
ACER3,0.08206642860978904,1100.0
ACHE,-0.14363371205807982,1100.0
ACIN1,-0.6940693805639336,1100.0
ACKR1,0.029051472745753194,1100.0
ACKR2,0.06333109913486376,1100.0
ACKR3,0.04323636549695829,1100.0
ACKR4,-0.12852072363367037,1100.0
ACLY,-0.5544360223747624,1100.0
ACMSD,-0.014899446029330625,1100.0
ACO1,0.020007521401788162,1100.0
ACO2,-0.7791096414430235,1100.0
ACOD1,0.101377562186702,1100.0
ACOT1,0.2554916247191153,315.0
ACOT11,0.010804279789387233,1100.0
ACOT12,-0.1984784818891752,1100.0
ACOT13,0.09998846952395063,1100.0
ACOT2,0.040636458394575414,1100.0
ACOT4,-0.14710965162764567,1098.0
ACOT6,-0.0761859268676323,1100.0
ACOT7,0.08041679654667343,1100.0
ACOT8,0.08335873407055698,1100.0
ACOT9,-0.0029261723328196385,1100.0
ACOX1,-0.23046022743737868,1100.0
ACOX2,-0.05109075904520483,1100.0
ACOX3,0.038813285988506335,1100.0
ACOXL,-0.2823074836610168,1100.0
ACP1,0.13705950470191208,1100.0
ACP2,-0.02885695777731986,1100.0
ACP3,-0.007968124464154588,1100.0
ACP4,0.07824224176738216,1100.0
ACP5,-0.017235292038886765,1100.0
ACP6,-0.027399475765919726,1100.0
ACP7,-0.2071232693230169,1100.0
ACR,-0.2082822848658681,1100.0
ACRBP,-0.001911800956501493,1100.0
ACRV1,0.20299544505671707,1100.0
ACSBG1,0.10085568263060579,1100.0
ACSBG2,0.15492156340995653,1100.0
ACSF2,-0.17219393167853436,1100.0
ACSF3,0.10164830676835744,1100.0
ACSL1,0.13962695377495443,1100.0
ACSL3,-0.3880140338945375,1100.0
ACSL4,-0.17712172039393442,1100.0
ACSL5,0.06312978453476487,1100.0
ACSL6,-0.031305797345164005,1100.0
ACSM1,-0.007347576651904155,1100.0
ACSM2A,0.04173564603643275,1098.0
ACSM2B,0.11974516336066797,975.0
ACSM3,0.01040480957473422,1100.0
ACSM4,0.07558630915507453,1100.0
ACSM5,0.044549721785573475,1100.0
ACSM6,0.09249385870636571,1100.0
ACSS1,0.1358929236600573,1100.0
ACSS2,0.05284429408719345,1100.0
ACSS3,0.025793476240187588,1100.0
ACTA1,-0.047205888737559314,1100.0
ACTA2,0.08273069190917888,1100.0
ACTB,-0.709456387411093,1100.0
ACTBL2,0.024465009095313874,1100.0
ACTC1,-0.02668713303859238,1100.0
ACTG1,-0.707445762784597,1100.0
ACTG2,-0.022114353965873787,1100.0
ACTL10,0.14580329374577833,1100.0
ACTL6A,-1.541485090217778,1100.0
ACTL6B,0.0679629125030262,1100.0
ACTL7A,-0.07118141000286798,1100.0
ACTL7B,0.021388943608385277,1100.0
ACTL8,0.052900475868492974,1100.0
ACTL9,0.056451220729406566,1100.0
ACTMAP,0.13261191142129425,1100.0
ACTN1,-0.048393747390384566,1100.0
ACTN2,0.022888681466716406,1100.0
ACTN3,-0.6757282078064045,15.0
ACTN4,-0.012194189035289914,1100.0
ACTR10,-1.586473915138478,1100.0
ACTR1A,-0.808451309978285,1100.0
ACTR1B,-0.18465532420089828,1100.0
ACTR2,-1.2862949821967045,1100.0
ACTR3,-0.593480296763567,1100.0
ACTR3B,0.02808322720890027,1100.0
ACTR3C,-0.1461238305725372,975.0
ACTR5,-0.1791674117553114,1100.0
ACTR6,-0.6837426317477153,1100.0
ACTR8,-0.5674065159535968,1100.0
ACTRT1,0.1185768727326087,1100.0
ACTRT2,0.12091315515805119,1100.0
ACTRT3,-0.1472292722731742,1100.0
ACVR1,0.013171223347369827,1100.0
ACVR1B,-0.10690860751792061,1100.0
ACVR1C,0.06992903559944963,1100.0
ACVR2A,-0.0673810001998508,1100.0
ACVR2B,-0.0032959894161459754,1100.0
ACVRL1,0.00465692213574047,1100.0
ACY1,0.09431021233685051,1100.0
ACY3,-0.07786788580081506,1100.0
ACYP1,0.005603038473825414,1100.0
ACYP2,0.07301951109156286,1100.0
ADA,-0.02031955021858924,1100.0
ADA2,-0.014759947553586401,1100.0
ADAD1,0.07749943335317439,1100.0
ADAD2,-0.035797959730900185,1100.0
ADAL,-0.10537119448478077,1100.0
ADAM10,-0.00971142059999462,1100.0
ADAM11,-0.264535840939817,1100.0
