ensembl_gene,ot_symbol,ab_tractability_bucket,ab_druggability,ot_surface_localisation,ot_locations,ot_is_essential,ot_n_drugs,ot_drugs,ot_max_clinical_stage
ENSG00000000003,TSPAN6,UniProt SigP or TMHMM,0.45,False,uniprot:Membrane; Multi-pass membrane protein; HPA_main:Cell Junctions; HPA_main:Cytosol; HPA_additional:Nucleoli fibrillar center,False,0,,
ENSG00000001461,NIPAL3,UniProt SigP or TMHMM,0.45,False,uniprot:Membrane ; Multi-pass membrane protein; HPA_main:Nucleoplasm,False,0,,
ENSG00000001561,ENPP4,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein,False,0,,
ENSG00000003989,SLC7A2,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Plasma membrane; HPA_additional:Cell Junctions,False,0,,
ENSG00000004399,PLXND1,GO CC high conf,0.65,True,"uniprot:Cell membrane ; Single-pass membrane protein; uniprot:Cell projection, lamellipodium membrane",False,0,,
ENSG00000004468,CD38,Approved Drug,1.0,True,uniprot:Cell surface; uniprot:Cell membrane ; Single-pass type II membrane protein; HPA_main:Plasma membrane,False,4,ISATUXIMAB; FELZARTAMAB; DARATUMUMAB; MEZAGITAMAB,PHASE_3
ENSG00000004809,SLC22A16,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Cytosol; HPA_main:Plasma membrane,False,0,,
ENSG00000004846,ABCB5,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein,False,0,,
ENSG00000004939,SLC4A1,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Basolateral cell membrane ; Multi-pass membrane protein,False,0,,
ENSG00000004948,CALCR,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Cell Junctions; HPA_additional:Centriolar satellite; HPA_additional:Vesicles,False,7,CALCITONIN SALMON; PRAMLINTIDE ACETATE; CALCITONIN; DAVALINTIDE; CALCITONIN HUMAN; PRAMLINTIDE,PHASE_2
ENSG00000005108,THSD7A,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Cell projection; uniprot:Secreted,False,0,,
ENSG00000005471,ABCB4,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Apical cell membrane ; Multi-pass membrane protein; uniprot:Membrane raft; uniprot:Cytoplasm; uniprot:Cytoplasmic vesicle, clathrin-coated vesicle; HPA_main:Nucleoplasm",False,0,,
ENSG00000005844,ITGAL,Approved Drug,1.0,True,uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Membrane raft,False,4,EFALIZUMAB; LIFITEGRAST; ODULIMOMAB; ROVELIZUMAB,UNKNOWN
ENSG00000005884,ITGA3,UniProt loc high conf,0.7,True,"uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Cell membrane ; Lipid- anchor; uniprot:Cell projection, invadopodium membrane ; Single-pass type I membrane protein; uniprot:Cell projection, filopodium membrane ; Single-pass type I membrane protein; HPA_main:Plasma membrane",False,0,,
ENSG00000005893,LAMP2,UniProt loc high conf,0.7,True,"uniprot:Lysosome membrane ; Single-pass type I membrane protein; uniprot:Endosome membrane ; Single-pass type I membrane protein; uniprot:Cell membrane ; Single-pass type I membrane protein; uniprot:Cytoplasmic vesicle, autophagosome membrane; HPA_main:Endoplasmic reticulum; HPA_main:Plasma membrane",False,0,,
ENSG00000005961,ITGA2B,Advanced Clinical,0.9,True,uniprot:Cell membrane ; Single-pass type I membrane protein; HPA_main:Plasma membrane,False,6,EPTIFIBATIDE; TIROFIBAN; TADOCIZUMAB; ZALUNFIBAN; ABCIXIMAB; TIROFIBAN HYDROCHLORIDE,PHASE_3
ENSG00000006116,CACNG3,GO CC high conf,0.65,False,uniprot:Membrane ; Multi-pass membrane protein,False,10,TERODILINE; GABAPENTIN; BEPRIDIL; TERODILINE HYDROCHLORIDE; ATAGABALIN; IMAGABALIN,PHASE_3
