gene,uniprot,protein_name,ensembl_gene,surface_evidence,cspa_confirmed,topology,topology_class,n_tm,ecd_length,max_ecd_segment,cyto_length,has_signal_peptide,accessible_sites,almen_class,uniprot_subcellular,ml_score,loc_pass,loc_reason,ecd_pass,ecd_reason,antibody_accessible,exclusion_reason,accessibility_score,surface_confirmation,ot_symbol,ab_tractability_bucket,ab_druggability,ot_surface_localisation,ot_locations,ot_is_essential,ot_n_drugs,ot_drugs,ot_max_clinical_stage,depmap_mean_gene_effect,rna_risk,rna_max_ntpm,rna_worst_tissue,safety_rna,protein_risk,protein_worst_tissue,level_score,safety_protein,n_normal_tissues_medium_high,safety_source,safety_score,safety_is_default,epi_mean,epi_detection,caf_mean,immune_mean,endothelial_mean,tme_max_mean,log2fc_mean,log2fc_sd,n_datasets,n_datasets_reproducible,consensus_fraction
SGCB,Q16585,Beta-sarcoglycan,ENSG00000163069,experimental,True,CY:1-63;TM:64-90;NC:91-318,type II,1,228,228,63,False,6.0,Miscellaneous,"Cell membrane, sarcolemma (Single-pass type II membrane protein);Cytoplasm, cytoskeleton",0.8684,True,,True,,True,,0.55,experimental (CSPA/GPI),SGCB,GO CC high conf,0.65,True,"uniprot:Cell membrane, sarcolemma ; Single- pass type II membrane protein; uniprot:Cytoplasm, cytoskeleton; HPA_main:Cytosol",False,0.0,,,0.006815371673259325,0.8230100715084714,98.9,heart muscle,0.17698992849152861,0.95,Heart muscle,1.0,0.050000000000000044,5.0,protein+RNA (min),0.050000000000000044,False,0.224628824,0.0996608881538152,0.8682370199999999,0.0814058366,0.4552724599999999,0.8682370199999999,-1.7115489474147505,0.3734106763297867,5,0,0.0
FGFRL1,Q8N441,Fibroblast growth factor receptor-like 1,ENSG00000127418,experimental,True,SP:1-24;NC:25-375;TM:376-398;CY:399-504,type I,1,351,351,106,True,17.0,Unclassified,Membrane (Single-pass type I membrane protein),0.8634,True,,True,,True,,0.7625,experimental (CSPA/GPI),FGFRL1,GO CC high conf,0.65,False,uniprot:Membrane ; Single- pass type I membrane protein; HPA_main:Vesicles,False,0.0,,,-0.06002249062553132,0.8105543941739183,67.8,liver,0.18944560582608172,0.627,Cerebral cortex,0.66,0.373,34.0,protein+RNA (min),0.18944560582608172,False,0.21179331,0.0993751943236641,0.0638168582,0.1201018452,0.0645208498,0.1370230432,0.6013723534479571,0.3423242512146665,5,1,0.2
ATP6V0A2,Q9Y487,V-type proton ATPase 116 kDa subunit a isoform 2,ENSG00000185344,experimental,True,CY:1-393;TM:394-410;NC:411-415;TM:416-432;CY:433-450;TM:451-468;NC:469-553;TM:554-572;CY:573-583;TM:584-607;NC:608-650;TM:651-673;CY:674-741;TM:742-764;NC:765-784;TM:785-808;CY:809-856,multi-pass (8 TM),8,153,85,538,False,10.0,Unclassified,Cell membrane (Multi-pass membrane protein);Endosome membrane,0.5988,True,,True,,True,,0.3358333333333333,experimental (CSPA/GPI),ATP6V0A2,GO CC high conf,0.65,True,uniprot:Cell membrane; Multi-pass membrane protein; uniprot:Endosome membrane; HPA_main:Connecting piece; HPA_main:Mid piece; HPA_main:Plasma membrane; HPA_additional:End piece,False,0.0,,,-0.16863949533564615,0.46222397866678455,9.7,bone marrow,0.5377760213332154,0.85,Pancreas,1.0,0.15000000000000002,32.0,protein+RNA (min),0.15000000000000002,False,0.212543584,0.0990802029969603,0.137211744,0.483494414,0.364896966,0.495382822,-0.8023566570777054,0.3245027900681262,5,0,0.0
DCBLD1,Q8N8Z6,"Discoidin, CUB and LCCL domain-containing protein 1",ENSG00000164465,machine_learning,True,SP:1-34;NC:35-457;TM:458-480;CY:481-715,type I,1,423,423,235,True,17.0,Unclassified,Membrane (Single-pass type I membrane protein),0.9621,True,,True,,True,,0.8225,unconfirmed (ML prediction only),DCBLD1,UniProt SigP or TMHMM,0.45,False,uniprot:Membrane ; Single-pass type I membrane protein; HPA_main:Cytosol,False,0.0,,,0.058274825887712,0.4739758865152042,9.4,liver,0.5260241134847958,0.9,Lung,1.0,0.09999999999999998,11.0,protein+RNA (min),0.09999999999999998,False,0.256392172,0.0982452610647779,0.655009776,0.076438736,0.394045048,0.655009776,-0.7293717652760578,0.8438877177498939,5,0,0.0
NT5E,P21589,5'-nucleotidase,ENSG00000135318,experimental,True,SP:1-26;NC:27-574,no TM (GPI/peripheral),0,548,548,0,True,24.0,Enzymes,"Cell membrane (Lipid-anchor, GPI-anchor)",0.6607,True,,True,,True,,0.9116666666666667,experimental (CSPA/GPI),NT5E,Advanced Clinical,0.9,True,"uniprot:Cell membrane ; Lipid-anchor, GPI-anchor; HPA_main:Plasma membrane; HPA_additional:Cytosol; HPA_additional:Nucleoplasm",False,1.0,OLECLUMAB,PHASE_3,-0.06717935783329432,0.814134399401514,105.8,liver,0.185865600598486,0.95,Cerebellum,1.0,0.050000000000000044,38.0,protein+RNA (min),0.050000000000000044,False,0.2525465754,0.0981693764082565,0.153022692,0.042131431,0.336607858,0.339559832,-0.5286810615321171,0.6078554420328639,5,0,0.0
SLC7A6,Q92536,Y+L amino acid transporter 2,ENSG00000103064,machine_learning,False,CY:1-45;TM:46-65;NC:66-76;TM:77-99;CY:100-110;TM:111-130;NC:131-163;TM:164-185;CY:186-195;TM:196-214;NC:215-235;TM:236-256;CY:257-268;TM:269-292;NC:293-314;TM:315-338;CY:339-363;TM:364-383;NC:384-388;TM:389-411;CY:412-423;TM:424-445;NC:446-450;TM:451-471;CY:472-515,multi-pass (12 TM),12,97,33,159,False,1.0,Transporters,Basolateral cell membrane (Multi- pass membrane protein),0.9102,True,,True,,True,,0.2025,Open Targets confirmed,SLC7A6,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Vesicles; HPA_additional:Plasma membrane,False,0.0,,,-0.05143517948637101,0.5983713744370659,67.0,heart muscle,0.4016286255629341,,,,,,RNA only,0.4016286255629341,False,0.2378314319999999,0.0978525879018487,0.257020614,0.550014964,0.294788804,0.5537564300000001,-0.6345789634537463,0.6608985056425277,5,0,0.0
ICAM3,P32942,Intercellular adhesion molecule 3,ENSG00000076662,machine_learning,True,SP:1-29;NC:30-485;TM:486-510;CY:511-547,type I,1,456,456,37,True,17.0,Receptors,Membrane (Single-pass type I membrane protein),0.9621,True,,True,,True,,0.8500000000000001,Open Targets confirmed,ICAM3,Advanced Clinical,0.9,True,uniprot:Cell membrane ; Single-pass type I membrane protein; HPA_main:Mitochondria; HPA_additional:Nuclear membrane; HPA_additional:Nucleoplasm,False,1.0,ICM3,UNKNOWN,-0.015058545200199634,0.9,167.4,bone marrow,0.09999999999999998,0.9,Bone marrow,1.0,0.09999999999999998,6.0,protein+RNA (min),0.09999999999999998,False,0.2096494754,0.0978156242259723,0.1716039879999999,1.74630318,0.248517504,1.74630318,-2.8329414696627744,0.3036698798991479,5,0,0.0
ADRB2,P07550,Beta-2 adrenergic receptor,ENSG00000169252,machine_learning,False,NC:1-31;TM:32-58;CY:59-69;TM:70-96;NC:97-107;TM:108-129;CY:130-149;TM:150-170;NC:171-197;TM:198-220;CY:221-273;TM:274-295;NC:296-306;TM:307-327;CY:328-413,multi-pass (7 TM),7,80,31,170,False,4.0,Receptors,Cell membrane (Multi-pass membrane protein),0.9441,True,,True,,True,,0.23083333333333333,Open Targets confirmed,ADRB2,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; uniprot:Golgi apparatus; HPA_main:Plasma membrane; HPA_additional:Basal body; HPA_additional:Cytokinetic bridge; HPA_additional:Microtubules,False,96.0,NADOLOL; TERBUTALINE; METIPRANOLOL; LEVALBUTEROL TARTRATE; EPHEDRINE SULFATE; BEDORADRINE,PHASE_3,0.02590052397725771,0.5782613367784666,36.9,lung,0.4217386632215334,,,,,,RNA only,0.4217386632215334,False,0.31810055,0.096849267598987,0.0632994982,0.38264138,0.360258612,0.44587265,-0.3808759107389557,0.8968605034336151,5,0,0.0
PIK3IP1,Q96FE7,Phosphoinositide-3-kinase-interacting protein 1,ENSG00000100100,machine_learning,False,SP:1-19;NC:20-168;TM:169-192;CY:193-263,type I,1,149,149,71,True,7.0,Unclassified,Cell membrane (Single-pass type I membrane protein),0.8902,True,,True,,True,,0.49416666666666664,Open Targets confirmed,PIK3IP1,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Single-pass type I membrane protein,False,0.0,,,-0.02735968523114427,0.7572689921301187,102.8,spinal cord,0.24273100786988133,,,,,,RNA only,0.24273100786988133,False,0.2355519989999999,0.096149116529147,0.25884852,2.57119874,0.56988598,2.57119874,-3.200274564741016,0.4931108350742442,5,0,0.0
TSPAN5,P62079,Tetraspanin-5,ENSG00000168785,machine_learning,False,CY:1-19;TM:20-41;NC:42-61;TM:62-84;CY:85-92;TM:93-115;NC:116-233;TM:234-257;CY:258-268,multi-pass (4 TM),4,138,118,38,False,5.0,Miscellaneous,Membrane (Multi-pass membrane protein),0.6547,True,,True,,True,,0.31333333333333335,Open Targets confirmed,TSPAN5,UniProt loc high conf,0.7,True,uniprot:Cell membrane ; Multi-pass membrane protein; HPA_main:Nucleoplasm; HPA_main:Plasma membrane,False,0.0,,,-0.05528059528059674,0.869471179269299,67.3,cerebellum,0.13052882073070105,,,,,,RNA only,0.13052882073070105,False,0.1663987349999999,0.0960584491806214,0.172898839,0.308678562,0.328255978,0.392494058,-1.0699934772018729,0.5362624596569036,5,0,0.0
