rank,gene,final_score,tier,evidence_class,evidence_note,hits_indication,hits_modality,hits_clinical,ot_n_drugs,ot_drugs,top_modality_papers,top_indication_papers
1,LY6K,0.632704285831263,Tier 1,preclinical surface-targeting evidence,10 papers pairing the gene with an antibody/CAR modality,19,10,2,0.0,,"Antibody-drug Conjugate Targeting of the Surface-Displayed Cancer Testis Antigen-LY6K on Epithelial-Lineage Solid Tumors (None, 2026, PMID PPR1291520); Lymphocyte antigen 6K signaling to aurora kinase promotes advancement of the cell cycle and the growth of cancer cells, which is inhibited by LY6K-NSC243928 interaction. (Cancer Lett, 2023, PMID 36805500); Long non-coding RNAs in the tumor immune microenvironment of non-small cell lung cancer: mechanisms and clinical translational perspectives. (J Transl Med, 2025, PMID 41454405)","Long non-coding RNAs in the tumor immune microenvironment of non-small cell lung cancer: mechanisms and clinical translational perspectives. (J Transl Med, 2025, PMID 41454405); Construction of a novel radioresistance-related signature for prediction of prognosis, immune microenvironment and anti-tumour drug sensitivity in non-small cell lung cancer. (Ann Med, 2025, PMID 39797413)"
2,ITGB6,0.5548432179191631,Tier 1,clinically validated target,"4 drug programmes in Open Targets (max stage n/a), 21 surface-modality papers",30,21,4,4.0,ABITUZUMAB; STX-100; SIGVOTATUG VEDOTIN; SIGVOTATUG,"Integrin β6-Targeted CAR-T Cells exhibit potent antitumor activity in β6-Positive pancreatic ductal adenocarcinoma and lung adenocarcinoma. (Mol Cancer Ther, 2026, PMID 42594406); Effect of TGFβ-ITGB6 feedback loop on liver metastasis in SMAD4 wild-type pancreatic cancer. (Chin Med J (Engl), 2026, PMID 41424019); Sex-based differences in tolerability of developmental antibody-drug conjugates (ADCs) in non-small-cell lung cancer (NSCLC). (ESMO Open, 2026, PMID 42330841)","Integrin β6-Targeted CAR-T Cells exhibit potent antitumor activity in β6-Positive pancreatic ductal adenocarcinoma and lung adenocarcinoma. (Mol Cancer Ther, 2026, PMID 42594406); Sex-based differences in tolerability of developmental antibody-drug conjugates (ADCs) in non-small-cell lung cancer (NSCLC). (ESMO Open, 2026, PMID 42330841)"
3,CDCP1,0.5514115812788326,Tier 1,preclinical surface-targeting evidence,70 papers pairing the gene with an antibody/CAR modality,67,70,3,0.0,,"CDCP1-targeted antibody-drug conjugates and immunocytokines for cancer therapy. (Cancer Chemother Pharmacol, 2026, PMID 42604889); Immunotherapy of cancer without induction of autoimmunity - CD6 as a therapeutic target. (Front Immunol, 2026, PMID 42643866); CD6 in Human Disease. (Cells, 2025, PMID 39996744)","Multi-omics analysis reveals differential benefits of immunotherapy±chemotherapy based on detailed smoking history in advanced non-small cell lung cancer. (J Immunother Cancer, 2025, PMID 41423267); Identification and validation of prognostic genes for lung adenocarcinoma prognosis based on PANoptosis-related genes. (Discov Oncol, 2025, PMID 41117866)"
4,IGSF3,0.5482328912620984,Tier 2,novel -- no surface-targeting literature,"5 indication papers, 2 modality papers",5,2,0,0.0,,"Seizures in brain tumors: pathogenesis, risk factors and management (Review). (Int J Mol Med, 2025, PMID 40116082); EWI2 and its relatives in Tetraspanin-enriched membrane domains regulate malignancy. (Oncogene, 2023, PMID 36788350)","Employing plasma proteins in proteomic Mendelian randomization analysis to identify therapeutic targets for duodenal ulcer. (Medicine (Baltimore), 2025, PMID 41261599); EWI2 and its relatives in Tetraspanin-enriched membrane domains regulate malignancy. (Oncogene, 2023, PMID 36788350)"
5,SLC6A14,0.5427124382093363,Tier 2,tumour-biology evidence only,12 lung-cancer papers but no established surface-targeting programme,12,1,0,0.0,,"Amino acid transporter SLC6A14 is a novel and effective drug target for pancreatic cancer. (Br J Pharmacol, 2016, PMID 27747870)","Altered carnitine transporter genes (<i>SLC22A5</i>, <i>SLC22A16</i>, <i>SLC6A14</i>) expression pattern among lung cancer patients. (Transl Lung Cancer Res, 2024, PMID 39670016); lncRNA NR_146969 promotes the progression of lung adenocarcinoma. (Exp Cell Res, 2025, PMID 40147711)"
6,CRB3,0.5312815062090823,Tier 2,preclinical surface-targeting evidence,11 papers pairing the gene with an antibody/CAR modality,5,11,0,0.0,,"Crumbs3 is expressed in oral squamous cell carcinomas and promotes cell migration and proliferation by affecting RhoA activity. (Oncol Lett, 2022, PMID 35497937); Crumbs3 is a critical factor that regulates invasion and metastasis of colon adenocarcinoma via the specific interaction with FGFR1. (Int J Cancer, 2019, PMID 30980524); CRB3 and the FERM protein EPB41L4B regulate proliferation of mammary epithelial cells through the release of amphiregulin. (PLoS One, 2018, PMID 30440051)","METTL3 promotes colorectal carcinoma progression by regulating the m6A-CRB3-Hippo axis. (J Exp Clin Cancer Res, 2022, PMID 35012593); Aberrant epithelial polarity cues drive the development of precancerous airway lesions. (Proc Natl Acad Sci U S A, 2021, PMID 33903236)"
7,CEACAM5,0.5279428392247388,Tier 2,clinically validated target,"5 drug programmes in Open Targets (max stage n/a), 147 surface-modality papers",111,147,43,5.0,ARCITUMOMAB; LABETUZUMAB; LABETUZUMAB GOVITECAN; MEDI-565; TUSAMITAMAB RAVTANSINE,"Advances in antibody-drug conjugate-based combination therapy strategies for non-small cell lung cancer. (Expert Opin Biol Ther, 2026, PMID 42467409); Expression characteristics of clinically relevant antibody-drug conjugate targets in gestational trophoblastic neoplasia. (Hum Pathol, 2026, PMID 41812828); Precemtabart tocentecan, an anti-CEACAM5 antibody-drug conjugate, in metastatic colorectal cancer: a phase 1 trial. (Nat Med, 2025, PMID 40739424)","CEACAM5 as a biomarker of semi-solid, lepidic lung adenocarcinoma. (Transl Lung Cancer Res, 2026, PMID 42291360); Prognostic impact of CEACAM5 in nonsquamous non-small cell lung cancer: a critical reappraisal driven by cut-off optimization. (Transl Lung Cancer Res, 2026, PMID 42723702)"
8,CDH3,0.523211104867672,Tier 2,clinically validated target,"1 drug programmes in Open Targets (max stage n/a), 22 surface-modality papers",42,22,6,1.0,PF-03732010,"CDH3 as a Novel Therapeutic Target in Basal-like Double-Negative Prostate Cancer (None, 2025, PMID PPR1122023); CDH3 in human tumors: tumor biology and potential therapeutic target. (Front Pharmacol, 2026, PMID 42440815); Preclinical Study of CDH3-Targeted &lt;sup&gt;89&lt;/sup&gt;Zr/&lt;sup&gt;177&lt;/sup&gt;Lu Theranostics in Triple-Negative Breast Cancer. (Mol Pharm, 2026, PMID 41570246)","CDH3 in human tumors: tumor biology and potential therapeutic target. (Front Pharmacol, 2026, PMID 42440815); Cadherin family genes in non-small cell lung cancer: implications for diagnosis, prognosis, and targeted therapy. (Am J Transl Res, 2025, PMID 40535673)"
9,MSLN,0.5146040896968893,Tier 2,clinically validated target,"5 drug programmes in Open Targets (max stage n/a), 295 surface-modality papers",100,295,104,5.0,SS1(DSFV)-PE38; ANETUMAB RAVTANSINE; LMB-100; AMATUXIMAB; RG-7600,"h3B7A-LDM, a novel anti-mesothelin antibody-drug conjugate with the potential to induce antitumor immunity, shows potent efficacy against solid tumors. (J Pharm Anal, 2026, PMID 42491052); Preclinical assessment of a novel human antibody VH domain targeting mesothelin as an antibody-drug conjugate. (Mol Ther Oncolytics, 2023, PMID 37771390); The Role of Mesothelin in Gynecological Tumors and Its Significance in Targeted Therapies-A Review. (Cancers (Basel), 2026, PMID 42279275)","Membrane-bound TRAIL-armoring augments CAR-T cells in mesothelin-positive solid malignancies. (J Immunother Cancer, 2026, PMID 42167810); Conformational epitope engagement by anti-MSLN ADC RC88 confers resistance to soluble mesothelin. (Antib Ther, 2026, PMID 42591971)"
10,MUC4,0.5115422787733365,Tier 2,preclinical surface-targeting evidence,157 papers pairing the gene with an antibody/CAR modality,102,157,12,0.0,,"MUC4-targeted CAR-T Cells Restrain Chemotherapy-resistant Colorectal Cancer (None, 2026, PMID PPR1221872); A conditional multi-signal validation framework for cancer immunotherapy: the adaptive anti-error biological system. (Front Immunol, 2026, PMID 42317319); Rapid Fc-mediated surface modification of liposomes with antibodies for selective targeting of pancreatic tumors. (J Control Release, 2026, PMID 42674288)","Co-Delivery of VEGF siRNA and THPP via Metal-Organic Framework Reverses Cisplatin-Resistant Non-Small Cell Lung Cancer and Inhibits Metastasis through a MUC4 Regulating Mechanism. (ACS Appl Mater Interfaces, 2024, PMID 39397733); Expression of Mucin Family Proteins in Non-Small-Cell Lung Cancer and its Role in Evaluation of Prognosis. (J Oncol, 2022, PMID 36059804)"
