smiles_std,molecule_chembl_id,pActivity_mers,pActivity_sars,value_nM_mers,value_nM_sars,n_measurements_sars,scaffold,delta_p
CC(C)C[C@H](NC(=O)OC1CCN(C(=O)OC(C)(C)C)CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-],CHEMBL4208240,6.3979400086720375,5.292429823902063,400.0,5100.0,1,O=C(CNC(=O)OC1CCNCC1)NCCC1CCNC1=O,1.1055101847699742
CCOC(=O)N1CCC(OC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(O)S(=O)(=O)[O-])CC1,CHEMBL4204431,6.301029995663981,5.055517327849831,500.0,8800.0,1,O=C(CNC(=O)OC1CCNCC1)NCCC1CCNC1=O,1.2455126678141504
CC(C)C[C@H](NC(=O)OC1CCN(S(C)(=O)=O)CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-],CHEMBL4213159,6.221848749616356,4.375717904164332,600.0,42100.0,1,O=C(CNC(=O)OC1CCNCC1)NCCC1CCNC1=O,1.8461308454520244
CCOC(=O)N1CCC(OC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)C[C@@H]2CCNC2=O)CC1,CHEMBL4217568,6.221848749616356,5.494850021680094,600.0,3200.0,1,O=C(CNC(=O)OC1CCNCC1)NCCC1CCNC1=O,0.7269987279362624
CC(C)C[C@H](NC(=O)OC1CCN(C(=O)OC(C)(C)C)CC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,CHEMBL4214066,6.221848749616356,5.6777807052660805,600.0,2100.0,1,O=C(CNC(=O)OC1CCNCC1)NCCC1CCNC1=O,0.5440680443502757
CC(C)C[C@H](NC(=O)OC1(Cc2ccccc2)CCN(S(C)(=O)=O)CC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,CHEMBL4214471,6.154901959985743,5.4089353929735005,700.0,3900.0,1,O=C(CNC(=O)OC1(Cc2ccccc2)CCNCC1)NCCC1CCNC1=O,0.7459665670122426
CC(C)C[C@H](NC(=O)OC1CCN(S(C)(=O)=O)CC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,CHEMBL4209146,6.154901959985743,4.540607512240769,700.0,28800.0,1,O=C(CNC(=O)OC1CCNCC1)NCCC1CCNC1=O,1.6142944477449737
CC(C)C[C@H](NC(=O)OC1(Cc2ccccc2)CCN(C(=O)OC(C)(C)C)CC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,CHEMBL4202812,6.096910013008056,5.2839966563652006,800.0,5200.0,1,O=C(CNC(=O)OC1(Cc2ccccc2)CCNCC1)NCCC1CCNC1=O,0.8129133566428557
CC(C)C[C@H](NC(=O)OC1(Cc2ccccc2)CCN(S(C)(=O)=O)CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-],CHEMBL4208764,6.045757490560675,5.366531544420414,900.0,4300.0,1,O=C(CNC(=O)OC1(Cc2ccccc2)CCNCC1)NCCC1CCNC1=O,0.679225946140261
N#CSc1cc(SC#N)c(N)nc1N,CHEMBL4303622,5.638272163982407,6.3872161432802645,2300.0,410.0,1,c1ccncc1,-0.7489439792978576
O=[N+]([O-])c1cnc(Sc2nnc(O)n2-c2ccc3c(c2)OCCO3)s1,CHEMBL508280,5.42021640338319,6.522878745280337,3800.0,300.0,1,c1csc(Sc2nncn2-c2ccc3c(c2)OCCO3)n1,-1.1026623418971475
CCC1(OC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)C[C@@H]2CCNC2=O)CCN(C(=O)OC(C)(C)C)CC1,CHEMBL4212620,5.214670164989233,5.259637310505756,6100.0,5500.0,1,O=C(CNC(=O)OC1CCNCC1)NCCC1CCNC1=O,-0.04496714551652303
CCC1(OC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(O)S(=O)(=O)[O-])CCN(C(=O)OC(C)(C)C)CC1,CHEMBL4216101,5.1249387366083,5.3872161432802645,7500.0,4100.0,1,O=C(CNC(=O)OC1CCNCC1)NCCC1CCNC1=O,-0.26227740667196464
CCC(C)SSc1ncc[nH]1,CHEMBL406050,5.119186407719209,4.6700000181810175,7600.0,21379.62,7,c1c[nH]cn1,0.4491863895381911
CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1,CHEMBL596674,5.091514981121351,6.236572006437063,8100.0,580.0,1,O=C(CCNCc1ccccc1)c1ccc2ccccc2c1,-1.1450570253157117
[O-][S+](c1ccccc1)c1ccc2nnnn2n1,CHEMBL271023,4.995678626217358,5.950781977329818,10100.0,1120.0,1,c1ccc([SH+]c2ccc3nnnn3n2)cc1,-0.9551033511124603
CCN(CC)C(=S)SSC(=S)N(CC)CC,CHEMBL964,4.571865205971212,5.1091941087534245,26800.0,7860.0,12,ACYCLIC,-0.5373289027822121
