smiles_std,molecule_chembl_id,standard_type,value_nM,pActivity,n_measurements,MW,n_documents,scaffold,dataset
CC(C)C[C@H](NC(=O)c1cc2c(F)cccc2[nH]1)C(=O)NN(C[C@@H]1CCNC1=O)C(=O)[C@H](F)Cl,CHEMBL5179778,EC50,4.72,8.326058001365912,1,497.9300000000003,1,O=C(CNC(=O)c1cc2ccccc2[nH]1)NNCC1CCNC1=O,MERS_cell_antiviral
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,CHEMBL590799,EC50,5.0,8.301029995663981,1,398.41900000000004,1,O=C(Oc1ccccc1)c1ccccc1,MERS_cell_antiviral
COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)NN(C[C@@H]3CCNC3=O)C(=O)[C@H](F)Cl)cc12,CHEMBL5198073,EC50,5.01,8.300162274132754,1,509.9660000000002,1,O=C(CNC(=O)c1cc2ccccc2[nH]1)NNCC1CCNC1=O,MERS_cell_antiviral
Nc1ccc2cc3ccc(N)cc3nc2c1,CHEMBL55400,IC50,21.0,7.6777807052660805,1,209.25199999999998,1,c1ccc2nc3ccccc3cc2c1,MERS_cell_antiviral
N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1,CHEMBL3989553,EC50,46.45,7.6448143678696185,2,347.37800000000004,2,O=C(Oc1ccc2ccccc2c1)c1ccccc1,MERS_cell_antiviral
O=C(/C=C/c1ccccc1)N[C@@H](CC1CCCCC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NCc1ccccc1,CHEMBL4441971,EC50,2500.2,7.349485002168009,2,572.7060000000004,1,O=C(C=Cc1ccccc1)NC(CC1CCCCC1)C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NCc1ccccc1,MERS_cell_antiviral
CN1CCN(C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)CC1,CHEMBL91704,IC50,46.0,7.337242168318426,1,574.7470000000001,1,O=C(NC(C=CS(=O)(=O)c1ccccc1)CCc1ccccc1)C(Cc1ccccc1)NC(=O)N1CCNCC1,MERS_cell_antiviral
CC(C)C[C@H](NC(=O)OCC1CCC(F)(F)CC1)C(=O)N[C@H](C=O)C[C@H]1CCNC1=O,CHEMBL5175540,EC50/IC50,55.0,7.309894379144197,2,445.5070000000002,1,O=C(CNC(=O)OCC1CCCCC1)NCCC1CCNC1=O,MERS_cell_antiviral
CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,CHEMBL4802135,EC50,95.15,7.197142819180817,2,499.5340000000003,2,O=C1NCCC1CCNC(=O)C1NCC2CC21,MERS_cell_antiviral
CC(C)C[C@H](NC(=O)OC1CCC(F)(F)CC1)C(=O)N[C@H](C=O)C[C@H]1CCNC1=O,CHEMBL5174145,IC50,70.0,7.154901959985743,1,431.48000000000013,1,O=C(CNC(=O)OC1CCCCC1)NCCC1CCNC1=O,MERS_cell_antiviral
