smiles_std,molecule_chembl_id,standard_type,value_nM,pActivity,n_measurements,MW,n_documents,scaffold,dataset
CC(C)C[C@H](NC(=O)OC1CCN(C(=O)OC(C)(C)C)CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-],CHEMBL4208240,IC50,400.0,6.3979400086720375,1,577.6770000000004,1,O=C(CNC(=O)OC1CCNCC1)NCCC1CCNC1=O,MERS_Mpro_IC50
CCOC(=O)N1CCC(OC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(O)S(=O)(=O)[O-])CC1,CHEMBL4204431,IC50,500.0,6.301029995663981,1,549.6230000000002,1,O=C(CNC(=O)OC1CCNCC1)NCCC1CCNC1=O,MERS_Mpro_IC50
CC(C)C[C@H](NC(=O)OC1CCN(S(C)(=O)=O)CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-],CHEMBL4213159,IC50,600.0,6.221848749616356,1,555.6520000000004,1,O=C(CNC(=O)OC1CCNCC1)NCCC1CCNC1=O,MERS_Mpro_IC50
CCOC(=O)N1CCC(OC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)C[C@@H]2CCNC2=O)CC1,CHEMBL4217568,IC50,600.0,6.221848749616356,1,468.55100000000033,1,O=C(CNC(=O)OC1CCNCC1)NCCC1CCNC1=O,MERS_Mpro_IC50
CC(C)C[C@H](NC(=O)OC1CCN(C(=O)OC(C)(C)C)CC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,CHEMBL4214066,IC50,600.0,6.221848749616356,1,496.6050000000003,1,O=C(CNC(=O)OC1CCNCC1)NCCC1CCNC1=O,MERS_Mpro_IC50
CC(C)C[C@H](NC(=O)OC1(Cc2ccccc2)CCN(S(C)(=O)=O)CC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,CHEMBL4214471,IC50,700.0,6.154901959985743,1,564.7050000000003,1,O=C(CNC(=O)OC1(Cc2ccccc2)CCNCC1)NCCC1CCNC1=O,MERS_Mpro_IC50
CC(C)C[C@H](NC(=O)OC1CCN(S(C)(=O)=O)CC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,CHEMBL4209146,IC50,700.0,6.154901959985743,1,474.5800000000003,1,O=C(CNC(=O)OC1CCNCC1)NCCC1CCNC1=O,MERS_Mpro_IC50
CC(C)C[C@H](NC(=O)OC1(Cc2ccccc2)CCN(C(=O)OC(C)(C)C)CC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,CHEMBL4202812,IC50,800.0,6.096910013008056,1,586.7300000000002,1,O=C(CNC(=O)OC1(Cc2ccccc2)CCNCC1)NCCC1CCNC1=O,MERS_Mpro_IC50
CC(C)C[C@H](NC(=O)OC1(Cc2ccccc2)CCN(S(C)(=O)=O)CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-],CHEMBL4208764,IC50,900.0,6.045757490560675,1,645.7770000000005,1,O=C(CNC(=O)OC1(Cc2ccccc2)CCNCC1)NCCC1CCNC1=O,MERS_Mpro_IC50
N#CSc1cc(SC#N)c(N)nc1N,CHEMBL4303622,IC50,2300.0,5.638272163982407,1,223.28599999999997,1,c1ccncc1,MERS_Mpro_IC50
O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1,CHEMBL1908397,IC50,3600.0,5.443697499232712,1,332.40700000000015,1,O=C(c1ccc(C=Cc2n[nH]c3ccccc23)cc1)N1CCNCC1,MERS_Mpro_IC50
O=[N+]([O-])c1cnc(Sc2nnc(O)n2-c2ccc3c(c2)OCCO3)s1,CHEMBL508280,IC50,3800.0,5.42021640338319,1,379.3790000000002,1,c1csc(Sc2nncn2-c2ccc3c(c2)OCCO3)n1,MERS_Mpro_IC50
CCC1(OC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)C[C@@H]2CCNC2=O)CCN(C(=O)OC(C)(C)C)CC1,CHEMBL4212620,IC50,6100.0,5.214670164989233,1,524.6590000000004,1,O=C(CNC(=O)OC1CCNCC1)NCCC1CCNC1=O,MERS_Mpro_IC50
CCC1(OC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(O)S(=O)(=O)[O-])CCN(C(=O)OC(C)(C)C)CC1,CHEMBL4216101,IC50,7500.0,5.1249387366083,1,605.7310000000001,1,O=C(CNC(=O)OC1CCNCC1)NCCC1CCNC1=O,MERS_Mpro_IC50
CCC(C)SSc1ncc[nH]1,CHEMBL406050,IC50,7600.0,5.119186407719209,1,188.32100000000003,1,c1c[nH]cn1,MERS_Mpro_IC50
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,CHEMBL5315124,IC50,7600.0,5.119186407719209,1,361.37300000000005,1,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,MERS_Mpro_IC50
CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1,CHEMBL596674,IC50,8100.0,5.0915149811213505,1,331.45900000000006,1,O=C(CCNCc1ccccc1)c1ccc2ccccc2c1,MERS_Mpro_IC50
[O-][S+](c1ccccc1)c1ccc2nnnn2n1,CHEMBL271023,IC50,10100.0,4.995678626217358,1,245.267,1,c1ccc([SH+]c2ccc3nnnn3n2)cc1,MERS_Mpro_IC50
CCN(CC)C(=S)SSC(=S)N(CC)CC,CHEMBL964,IC50,26800.0,4.5718652059712115,1,296.5520000000001,1,ACYCLIC,MERS_Mpro_IC50
