smiles_std,molecule_chembl_id,standard_type,value_nM,pActivity,n_measurements,MW,n_documents,scaffold,dataset
CC(C)(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,CHEMBL5563071,Ki,0.025,10.602059991327963,1,537.6610000000003,1,O=C(NCC(=O)N1CC2CC2C1C(=O)NCCC1CCNC1=O)OCc1ccccc1,SARS_Mpro_train
CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCCNC1=O)C2(C)C,CHEMBL5574604,Ki,0.04,10.397940008672037,1,513.5610000000003,1,O=C1NCCCC1CCNC(=O)C1NCC2CC21,SARS_Mpro_train
CC(C)(C)[C@H](NC(=O)OCc1cccnc1)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,CHEMBL5569828,Ki,0.09,10.045757490560675,1,538.6490000000002,1,O=C(NCC(=O)N1CC2CC2C1C(=O)NCCC1CCNC1=O)OCc1cccnc1,SARS_Mpro_train
CC(C)(C)[C@H](NC(=O)OCc1cccnc1)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCCNC1=O)C2(C)C,CHEMBL5569267,Ki,0.094,10.0268721464003,1,552.6760000000003,1,O=C(NCC(=O)N1CC2CC2C1C(=O)NCCC1CCCNC1=O)OCc1cccnc1,SARS_Mpro_train
COC(=O)N[C@H](C(=O)N1C[C@H](C(F)(F)F)C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCCNC1=O)C(C)(C)C,CHEMBL5592467,Ki,0.17,9.769551078621726,1,503.5220000000003,1,O=C1NCCCC1CCNC(=O)C1CCCN1,SARS_Mpro_train
C=CS(=O)(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(Cl)c1)c1cccnc1,CHEMBL5093164,IC50,0.17,9.769551078621726,1,512.0750000000003,1,O=C(NCCc1ccccc1)C(Nc1ccccc1)c1cccnc1,SARS_Mpro_train
CC(C)(C)[C@H](NC(=O)C(Cl)(Cl)Cl)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,CHEMBL5589941,Ki,0.2,9.698970004336019,1,548.8990000000002,1,O=C1NCCC1CCNC(=O)C1NCC2CC21,SARS_Mpro_train
C[C@H](NC(=O)[C@@H](c1ccccc1)N(C(=O)c1ccco1)c1ccc(-c2ccccc2)cc1)c1ccccc1,CHEMBL5283942,IC50,0.2,9.698970004336019,1,500.5980000000002,1,O=C(NCc1ccccc1)C(c1ccccc1)N(C(=O)c1ccco1)c1ccc(-c2ccccc2)cc1,SARS_Mpro_train
CO[C@H]1C[C@@H](C(=O)N[C@H](C=O)C[C@@H]2CCNC2=O)N(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C1,CHEMBL5409350,IC50,0.24,9.619788758288394,1,482.57800000000026,1,O=C1NCCC1CCNC(=O)C1CCCN1,SARS_Mpro_train
O=C(NCc1ccco1)[C@@H]1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1c1ccc(Cl)c(Cl)c1,CHEMBL5192350,IC50,0.35,9.455931955649724,1,492.3190000000002,1,O=C(NCc1ccco1)C1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1c1ccccc1,SARS_Mpro_train
Cn1cnc(Cn2c(=O)[nH]/c(=N\c3cc4cn(C)nc4cc3Cl)n(Cc3cc(F)c(F)cc3F)c2=O)n1,CHEMBL5183847,IC50,5.0065,9.443028323846582,2,531.8860000000001,2,O=c1[nH]c(=Nc2ccc3n[nH]cc3c2)n(Cc2ccccc2)c(=O)n1Cc1nc[nH]n1,SARS_Mpro_train
CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)OCc1ccccc1)C(=O)NC(C=O)C[C@@H]1CCNC1=O,CHEMBL5563979,IC50,0.3981,9.400007822415901,1,568.6460000000002,1,O=C(CNC(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1)NCCC1CCNC1=O,SARS_Mpro_train
O=C(NCc1cccs1)[C@@H]1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1c1ccc(Cl)c(Cl)c1,CHEMBL5204987,IC50,0.4,9.397940008672037,1,508.38700000000017,1,O=C(NCc1cccs1)C1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1c1ccccc1,SARS_Mpro_train
O=C(NCc1cccs1)[C@@H]1CN(C(=O)c2cccnc2)CCN1c1ccc(Cl)c(Cl)c1,CHEMBL5174111,IC50,0.4,9.397940008672037,1,475.4010000000002,1,O=C(NCc1cccs1)C1CN(C(=O)c2cccnc2)CCN1c1ccccc1,SARS_Mpro_train
O=C(NCc1cccs1)[C@@H]1CN(C(=O)c2cncc3ccccc23)CCN1c1ccc(Cl)c(Cl)c1,CHEMBL5188502,IC50,0.44,9.356547323513812,1,525.4610000000002,1,O=C(NCc1cccs1)C1CN(C(=O)c2cncc3ccccc23)CCN1c1ccccc1,SARS_Mpro_train
O=C(NCc1cccs1)[C@@H]1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1Cc1ccc(Cl)cc1Cl,CHEMBL5188908,IC50,0.44,9.356547323513812,1,522.4140000000002,1,O=C(NCc1cccs1)C1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1Cc1ccccc1,SARS_Mpro_train
CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@@H](C)C[C@H]1C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,CHEMBL5401358,IC50,0.47,9.327902142064282,1,466.57900000000024,1,O=C1NCCC1CCNC(=O)C1CCCN1,SARS_Mpro_train
O=C(NCc1ccco1)[C@@H]1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1Cc1ccc(Cl)cc1Cl,CHEMBL5188982,IC50,0.48,9.318758762624412,1,506.34600000000023,1,O=C(NCc1ccco1)C1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1Cc1ccccc1,SARS_Mpro_train
CC(C)(C)[C@H](NC(=O)OCc1ccncc1)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,CHEMBL5594793,Ki,0.49,9.309803919971486,1,538.6490000000002,1,O=C(NCC(=O)N1CC2CC2C1C(=O)NCCC1CCNC1=O)OCc1ccncc1,SARS_Mpro_train
O=C(NCc1ccco1)C1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1Cc1ccc(Cl)cc1Cl,CHEMBL5181886,IC50,0.59,9.229147988357855,1,506.34600000000023,1,O=C(NCc1ccco1)C1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1Cc1ccccc1,SARS_Mpro_train
O=C(NCc1cccs1)C1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1c1ccc(Cl)c(Cl)c1,CHEMBL5172248,IC50,0.61,9.214670164989233,1,508.38700000000017,1,O=C(NCc1cccs1)C1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1c1ccccc1,SARS_Mpro_train
COC(=O)N[C@H](C(=O)N1C[C@H](OC(F)(F)F)C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C(C)(C)C,CHEMBL5592186,Ki,0.63,9.200659450546418,1,505.49400000000026,1,O=C1NCCC1CCNC(=O)C1CCCN1,SARS_Mpro_train
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,CHEMBL5405842,IC50,0.7,9.154901959985743,1,468.59500000000025,1,O=C1CCCN1,SARS_Mpro_train
CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H](OC(F)(F)F)C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,CHEMBL5592632,Ki,0.71,9.148741651280925,1,543.4650000000003,1,O=C1NCCC1CCNC(=O)C1CCCN1,SARS_Mpro_train
O=C(NCc1ccco1)C1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1c1ccc(Cl)c(Cl)c1,CHEMBL5201620,IC50,0.79,9.102372908709558,1,492.3190000000002,1,O=C(NCc1ccco1)C1CN(C(=O)c2cc(=O)[nH]c(=O)[nH]2)CCN1c1ccccc1,SARS_Mpro_train
CC(C)(C)[C@H](NS(C)(=O)=O)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,CHEMBL6166999,Ki,1.0,9.0,1,481.61900000000026,1,O=C1NCCC1CCNC(=O)C1NCC2CC21,SARS_Mpro_train
CC(C)(C)[C@H](NC(=O)C(Cl)(Cl)Cl)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCCNC1=O)C2(C)C,CHEMBL5590149,Ki,1.1,8.958607314841775,1,562.9260000000002,1,O=C1NCCCC1CCNC(=O)C1NCC2CC21,SARS_Mpro_train
COC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C)C(C)(C)C,CHEMBL5088846,Ki,1.12,8.950781977329818,3,461.56300000000033,3,O=C1NCCC1CCNC(=O)C1NCC2CC21,SARS_Mpro_train
COC(=O)N[C@H](C(=O)N1C[C@H](C(F)(F)F)C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCCNC1=O)C(C)C,CHEMBL5590130,Ki,1.13,8.94692155651658,1,489.49500000000023,1,O=C1NCCCC1CCNC(=O)C1CCCN1,SARS_Mpro_train
CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)OCc1ccccc1)C(=O)NC(C=O)CC1CCCO1,CHEMBL5567825,IC50,1.259,8.899974269892137,1,555.6470000000002,1,O=C(CNC(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1)NCCC1CCCO1,SARS_Mpro_train
O[C@@H]([C@H](O)[C@H](Cc1ccccc1)NCc1ccccc1)[C@H](Cc1ccccc1)NCc1ccccc1,CHEMBL5279338,Ki,1.5,8.823908740944319,1,480.6520000000002,1,c1ccc(CNC(CCC(Cc2ccccc2)NCc2ccccc2)Cc2ccccc2)cc1,SARS_Mpro_train
CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)OCc1ccccc1)C(=O)N[C@H](/C=C1\CCOC1=O)C[C@@H]1CCNC1=O,CHEMBL5563746,IC50,1.585,8.79997073344623,1,636.7210000000001,1,O=C(CNC(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1)NC(C=C1CCOC1=O)CC1CCNC1=O,SARS_Mpro_train
CC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C)C(C)(C)C,CHEMBL5178656,Ki,3.72,8.755724641749778,2,445.56400000000036,2,O=C1NCCC1CCNC(=O)C1NCC2CC21,SARS_Mpro_train
CN1CCN(c2ccccc2N)CC1,CHEMBL1879790,IC50,1.81,8.742321425130816,1,191.27799999999993,1,c1ccc(N2CCNCC2)cc1,SARS_Mpro_train
COc1ccc(F)c2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]3CCNC3=O)cc12,CHEMBL5797422,Ki,2.0,8.698970004336019,1,457.50600000000026,1,O=C(CNC(=O)c1cc2ccccc2[nH]1)NCCC1CCNC1=O,SARS_Mpro_train
NC(=O)CCN(NC(=O)[C@H](CC1CCCCC1)NC(=O)c1cc2ccccc2[nH]1)C(=O)CCl,CHEMBL5208244,IC50,2.0,8.698970004336019,1,475.9770000000002,1,O=C(NCCC1CCCCC1)c1cc2ccccc2[nH]1,SARS_Mpro_train
NC(=O)CCN(NC(=O)[C@H](CC1CCCCC1)NC(=O)OCc1ccccc1)C(=O)[C@H](F)Cl,CHEMBL5169690,IC50,2.0,8.698970004336019,1,484.95600000000013,1,O=C(NCCC1CCCCC1)OCc1ccccc1,SARS_Mpro_train
COC(=O)N[C@H](C(=O)N1C[C@H](C(F)(F)F)C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C(C)(C)C,CHEMBL5591580,Ki,2.48,8.605548319173783,1,489.49500000000023,1,O=C1NCCC1CCNC(=O)C1CCCN1,SARS_Mpro_train
CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1C[C@H](OC(C)(C)C)C[C@H]1C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,CHEMBL5402990,IC50,2.5,8.602059991327963,1,524.6590000000003,1,O=C1NCCC1CCNC(=O)C1CCCN1,SARS_Mpro_train
CN1C(=O)[C@H](Cc2ccccc2)N(C(=O)CNC(=O)c2cccs2)CCCOc2c(Cl)cccc2CN1C#N,CHEMBL5559068,IC50/Ki,2.645,8.581521631470224,2,566.0830000000001,1,O=C(NCC(=O)N1CCCOc2ccccc2CNNC(=O)C1Cc1ccccc1)c1cccs1,SARS_Mpro_train
