cell_type,compound,split_half_r
A549,(+)-JQ1,0.45450843639718413
A549,2-Methoxyestradiol (2-MeOE2),0.4304356580096621
A549,A-366,0.17302376686195894
A549,ABT-737,0.16971978259094422
A549,AC480 (BMS-599626),0.11310732668667259
A549,AG-14361,0.17440581450158552
A549,AG-490 (Tyrphostin B42),0.1663849727023316
A549,AICAR (Acadesine),0.14468310868772835
A549,AMG-900,0.22006303413668307
A549,AR-42,0.5186426136726812
A549,AT9283,0.535478350157917
A549,AZ 960,0.17570342217735826
A549,AZD1480,0.1403324453621309
A549,Abexinostat (PCI-24781),0.7429308828606531
A549,Alendronate sodium trihydrate,0.17834533544710587
A549,Alisertib (MLN8237),0.5656660094516174
A549,Altretamine,0.1527684083131036
A549,Alvespimycin (17-DMAG) HCl,0.2253272964654799
A549,Aminoglutethimide ,0.2168233995323966
A549,Amisulpride,0.20287656080957922
A549,Anacardic Acid,0.19755038107634593
A549,Andarine,0.2361143570692007
A549,Aurora A Inhibitor I,0.4103222460551852
A549,Avagacestat (BMS-708163),0.18453656341439428
A549,Azacitidine ,0.20677123217306093
A549,BMS-265246,0.18251094791403383
A549,BMS-536924,0.14255169674126159
A549,BMS-754807,0.11340287126441911
A549,BMS-911543,0.4314533368770557
A549,BRD4770,0.18011384606923947
A549,Barasertib (AZD1152-HQPA),0.5924282724214909
A549,"Baricitinib (LY3009104, INCB028050)",0.22093771613775848
A549,Belinostat (PXD101),0.43805133358522674
A549,Bisindolylmaleimide IX (Ro 31-8220 Mesylate),0.2561307302316441
A549,Bosutinib (SKI-606),0.22712933012663739
A549,Busulfan ,0.18374850171245036
A549,CEP-33779,0.23419010699981974
A549,CUDC-101,0.1046537418883356
A549,CUDC-907,0.5765173220449408
A549,CYC116,0.1381841011899015
A549,Capecitabine ,0.2152304733312646
A549,Carmofur,0.19344622100865452
A549,Cediranib (AZD2171),0.1902757948342077
A549,Celecoxib,0.21538215437838612
A549,"Cerdulatinib (PRT062070, PRT2070)",0.2620958692804872
A549,Cimetidine ,0.16602813172914896
A549,Clevudine ,0.20174043716226647
A549,Costunolide,0.2070372699124759
A549,Crizotinib (PF-02341066),0.10582368132964459
A549,Curcumin,0.18127953833262675
A549,Cyclocytidine HCl,0.23761742972473032
A549,Dacinostat (LAQ824),0.7203369185958223
A549,Danusertib (PHA-739358),0.49777646058526903
A549,Daphnetin,0.20870144245925804
A549,Dasatinib,0.09665616656057738
A549,Decitabine,0.48055117418818083
A549,Disulfiram ,0.2234159145879339
A549,Divalproex Sodium,0.4393679477222081
A549,Droxinostat,0.16136536223928566
A549,EED226,0.3409283413356188
A549,ENMD-2076,0.11785790298189155
A549,ENMD-2076 L-(+)-Tartaric acid ,0.1543333787778577
A549,Ellagic acid,0.44510294382716
A549,Entacapone,0.17538064488321847
A549,Entinostat (MS-275),0.19586263412037747
A549,Enzastaurin (LY317615),0.15657725813869916
A549,Epothilone A,0.3054488623174504
A549,FLLL32,0.35742996854106984
A549,Fasudil (HA-1077) HCl,0.3847076647147225
A549,"Fedratinib (SAR302503, TG101348)",0.14958936990328542
A549,Filgotinib (GLPG0634),0.18558488754673885
A549,Flavopiridol HCl,0.18883055027119378
A549,"Fluorouracil (5-Fluoracil, 5-FU)",0.16898592099545195
A549,Fulvestrant,0.15294196414174327
A549,G007-LK,0.388078068537911
A549,GSK J1,0.20120905608890743
A549,GSK-LSD1 2HCl,0.2145798227222869
A549,GSK1070916,0.2475836334642437
A549,Gandotinib (LY2784544),0.20687680502253109
A549,Givinostat (ITF2357),0.4379595079395893
A549,Glesatinib?(MGCD265),0.12416604413881932
A549,Hesperadin,0.5079469909574665
A549,INO-1001 (3-Aminobenzamide),0.17244332842604587
A549,IOX2,0.1988209987618034
A549,ITSA-1 (ITSA1),0.45209429649055
A549,Iniparib (BSI-201),0.5071232698965672
A549,Ivosidenib (AG-120),0.14357519867639035
A549,JNJ-26854165 (Serdemetan),0.14545377739651674
A549,JNJ-7706621,0.40066560041240296
A549,KW-2449,0.21194719520641908
A549,Ki16425,0.1574628040306777
A549,Ki8751,0.1778696796277908
A549,Lapatinib (GW-572016) Ditosylate,0.1010145546840617
A549,Lenalidomide (CC-5013),0.18864492339018524
A549,Linifanib (ABT-869),0.19084505660025797
A549,Lomustine ,0.12866304077368423
A549,"Luminespib (AUY-922, NVP-AUY922)",0.17607712147329768
A549,M344,0.21025893945436766
A549,MC1568,0.4319628702527508
A549,MK-0752,0.1699124046431344
A549,MK-5108 (VX-689),0.190169255177856
A549,MLN8054,0.5759484168634654
A549,Maraviroc,0.16220874906278115
A549,Meprednisone,0.1888712082978529
A549,Mercaptopurine (6-MP),0.14550063114306075
