group,cell_type,perturbation,is_vehicle,product_name,dose,target,pathway,n_cells,total_umi
A549|(+)-JQ1__10.0,A549,(+)-JQ1__10.0,False,(+)-JQ1,10.0,Epigenetic Reader Domain,Epigenetics,663,1225324
A549|(+)-JQ1__100.0,A549,(+)-JQ1__100.0,False,(+)-JQ1,100.0,Epigenetic Reader Domain,Epigenetics,615,793434
A549|(+)-JQ1__1000.0,A549,(+)-JQ1__1000.0,False,(+)-JQ1,1000.0,Epigenetic Reader Domain,Epigenetics,656,819364
A549|(+)-JQ1__10000.0,A549,(+)-JQ1__10000.0,False,(+)-JQ1,10000.0,Epigenetic Reader Domain,Epigenetics,604,697089
A549|2-Methoxyestradiol (2-MeOE2)__10.0,A549,2-Methoxyestradiol (2-MeOE2)__10.0,False,2-Methoxyestradiol (2-MeOE2),10.0,HIF,Angiogenesis,621,1084476
A549|2-Methoxyestradiol (2-MeOE2)__100.0,A549,2-Methoxyestradiol (2-MeOE2)__100.0,False,2-Methoxyestradiol (2-MeOE2),100.0,HIF,Angiogenesis,607,988884
A549|2-Methoxyestradiol (2-MeOE2)__1000.0,A549,2-Methoxyestradiol (2-MeOE2)__1000.0,False,2-Methoxyestradiol (2-MeOE2),1000.0,HIF,Angiogenesis,582,1013268
A549|2-Methoxyestradiol (2-MeOE2)__10000.0,A549,2-Methoxyestradiol (2-MeOE2)__10000.0,False,2-Methoxyestradiol (2-MeOE2),10000.0,HIF,Angiogenesis,379,1019841
A549|A-366__10.0,A549,A-366__10.0,False,A-366,10.0,Histone Methyltransferase,Epigenetics,259,420136
A549|A-366__100.0,A549,A-366__100.0,False,A-366,100.0,Histone Methyltransferase,Epigenetics,228,357206
A549|A-366__1000.0,A549,A-366__1000.0,False,A-366,1000.0,Histone Methyltransferase,Epigenetics,185,286771
A549|A-366__10000.0,A549,A-366__10000.0,False,A-366,10000.0,Histone Methyltransferase,Epigenetics,262,440112
A549|ABT-737__10.0,A549,ABT-737__10.0,False,ABT-737,10.0,Bcl-2,Apoptosis,200,303746
A549|ABT-737__100.0,A549,ABT-737__100.0,False,ABT-737,100.0,Bcl-2,Apoptosis,216,325436
A549|ABT-737__1000.0,A549,ABT-737__1000.0,False,ABT-737,1000.0,Bcl-2,Apoptosis,189,258331
A549|ABT-737__10000.0,A549,ABT-737__10000.0,False,ABT-737,10000.0,Bcl-2,Apoptosis,149,249399
A549|AC480 (BMS-599626)__10.0,A549,AC480 (BMS-599626)__10.0,False,AC480 (BMS-599626),10.0,"EGFR,HER2",Protein Tyrosine Kinase,198,330836
A549|AC480 (BMS-599626)__100.0,A549,AC480 (BMS-599626)__100.0,False,AC480 (BMS-599626),100.0,"EGFR,HER2",Protein Tyrosine Kinase,176,294173
A549|AC480 (BMS-599626)__1000.0,A549,AC480 (BMS-599626)__1000.0,False,AC480 (BMS-599626),1000.0,"EGFR,HER2",Protein Tyrosine Kinase,225,318806
A549|AC480 (BMS-599626)__10000.0,A549,AC480 (BMS-599626)__10000.0,False,AC480 (BMS-599626),10000.0,"EGFR,HER2",Protein Tyrosine Kinase,222,280158
A549|AG-14361__10.0,A549,AG-14361__10.0,False,AG-14361,10.0,PARP,DNA Damage,245,382874
A549|AG-14361__100.0,A549,AG-14361__100.0,False,AG-14361,100.0,PARP,DNA Damage,232,387010
A549|AG-14361__1000.0,A549,AG-14361__1000.0,False,AG-14361,1000.0,PARP,DNA Damage,186,295933
A549|AG-14361__10000.0,A549,AG-14361__10000.0,False,AG-14361,10000.0,PARP,DNA Damage,208,397881
A549|AG-490 (Tyrphostin B42)__10.0,A549,AG-490 (Tyrphostin B42)__10.0,False,AG-490 (Tyrphostin B42),10.0,EGFR,Protein Tyrosine Kinase,195,321807
A549|AG-490 (Tyrphostin B42)__100.0,A549,AG-490 (Tyrphostin B42)__100.0,False,AG-490 (Tyrphostin B42),100.0,EGFR,Protein Tyrosine Kinase,244,353039
A549|AG-490 (Tyrphostin B42)__1000.0,A549,AG-490 (Tyrphostin B42)__1000.0,False,AG-490 (Tyrphostin B42),1000.0,EGFR,Protein Tyrosine Kinase,195,290825
A549|AG-490 (Tyrphostin B42)__10000.0,A549,AG-490 (Tyrphostin B42)__10000.0,False,AG-490 (Tyrphostin B42),10000.0,EGFR,Protein Tyrosine Kinase,202,287443
A549|AICAR (Acadesine)__10.0,A549,AICAR (Acadesine)__10.0,False,AICAR (Acadesine),10.0,AMPK,PI3K/Akt/mTOR,262,350791
A549|AICAR (Acadesine)__100.0,A549,AICAR (Acadesine)__100.0,False,AICAR (Acadesine),100.0,AMPK,PI3K/Akt/mTOR,216,338891
A549|AICAR (Acadesine)__1000.0,A549,AICAR (Acadesine)__1000.0,False,AICAR (Acadesine),1000.0,AMPK,PI3K/Akt/mTOR,241,370346
A549|AICAR (Acadesine)__10000.0,A549,AICAR (Acadesine)__10000.0,False,AICAR (Acadesine),10000.0,AMPK,PI3K/Akt/mTOR,262,361955
A549|AMG-900__10.0,A549,AMG-900__10.0,False,AMG-900,10.0,Aurora Kinase,Cell Cycle,157,409867
A549|AMG-900__100.0,A549,AMG-900__100.0,False,AMG-900,100.0,Aurora Kinase,Cell Cycle,149,347034
A549|AMG-900__1000.0,A549,AMG-900__1000.0,False,AMG-900,1000.0,Aurora Kinase,Cell Cycle,143,367839
A549|AMG-900__10000.0,A549,AMG-900__10000.0,False,AMG-900,10000.0,Aurora Kinase,Cell Cycle,171,473040
A549|AR-42__10.0,A549,AR-42__10.0,False,AR-42,10.0,HDAC,Epigenetics,203,303989
A549|AR-42__100.0,A549,AR-42__100.0,False,AR-42,100.0,HDAC,Epigenetics,210,351492
A549|AR-42__1000.0,A549,AR-42__1000.0,False,AR-42,1000.0,HDAC,Epigenetics,156,290603
A549|AR-42__10000.0,A549,AR-42__10000.0,False,AR-42,10000.0,HDAC,Epigenetics,115,266940
A549|AT9283__10.0,A549,AT9283__10.0,False,AT9283,10.0,"Aurora Kinase,Bcr-Abl,JAK",JAK/STAT,239,887120
A549|AT9283__100.0,A549,AT9283__100.0,False,AT9283,100.0,"Aurora Kinase,Bcr-Abl,JAK",JAK/STAT,242,999045
A549|AT9283__1000.0,A549,AT9283__1000.0,False,AT9283,1000.0,"Aurora Kinase,Bcr-Abl,JAK",JAK/STAT,270,1125001
A549|AT9283__10000.0,A549,AT9283__10000.0,False,AT9283,10000.0,"Aurora Kinase,Bcr-Abl,JAK",JAK/STAT,209,1044317
A549|AZ 960__10.0,A549,AZ 960__10.0,False,AZ 960,10.0,JAK,JAK/STAT,174,285566
A549|AZ 960__100.0,A549,AZ 960__100.0,False,AZ 960,100.0,JAK,JAK/STAT,235,371038
A549|AZ 960__1000.0,A549,AZ 960__1000.0,False,AZ 960,1000.0,JAK,JAK/STAT,205,353570
A549|AZ 960__10000.0,A549,AZ 960__10000.0,False,AZ 960,10000.0,JAK,JAK/STAT,123,339948
A549|AZD1480__10.0,A549,AZD1480__10.0,False,AZD1480,10.0,JAK,JAK/STAT,201,342732
A549|AZD1480__100.0,A549,AZD1480__100.0,False,AZD1480,100.0,JAK,JAK/STAT,204,313227
A549|AZD1480__1000.0,A549,AZD1480__1000.0,False,AZD1480,1000.0,JAK,JAK/STAT,162,251815
A549|AZD1480__10000.0,A549,AZD1480__10000.0,False,AZD1480,10000.0,JAK,JAK/STAT,126,310002
A549|Abexinostat (PCI-24781)__10.0,A549,Abexinostat (PCI-24781)__10.0,False,Abexinostat (PCI-24781),10.0,HDAC,Cytoskeletal Signaling,621,1263236
A549|Abexinostat (PCI-24781)__100.0,A549,Abexinostat (PCI-24781)__100.0,False,Abexinostat (PCI-24781),100.0,HDAC,Cytoskeletal Signaling,574,1166464
A549|Abexinostat (PCI-24781)__1000.0,A549,Abexinostat (PCI-24781)__1000.0,False,Abexinostat (PCI-24781),1000.0,HDAC,Cytoskeletal Signaling,392,787939
A549|Abexinostat (PCI-24781)__10000.0,A549,Abexinostat (PCI-24781)__10000.0,False,Abexinostat (PCI-24781),10000.0,HDAC,Cytoskeletal Signaling,198,493516
A549|Alendronate sodium trihydrate__10.0,A549,Alendronate sodium trihydrate__10.0,False,Alendronate sodium trihydrate,10.0,Others,Others,234,372255
A549|Alendronate sodium trihydrate__100.0,A549,Alendronate sodium trihydrate__100.0,False,Alendronate sodium trihydrate,100.0,Others,Others,156,256939
A549|Alendronate sodium trihydrate__1000.0,A549,Alendronate sodium trihydrate__1000.0,False,Alendronate sodium trihydrate,1000.0,Others,Others,170,253183
A549|Alendronate sodium trihydrate__10000.0,A549,Alendronate sodium trihydrate__10000.0,False,Alendronate sodium trihydrate,10000.0,Others,Others,184,299402
A549|Alisertib (MLN8237)__10.0,A549,Alisertib (MLN8237)__10.0,False,Alisertib (MLN8237),10.0,Aurora Kinase,Cell Cycle,448,987530
A549|Alisertib (MLN8237)__100.0,A549,Alisertib (MLN8237)__100.0,False,Alisertib (MLN8237),100.0,Aurora Kinase,Cell Cycle,316,918891
A549|Alisertib (MLN8237)__1000.0,A549,Alisertib (MLN8237)__1000.0,False,Alisertib (MLN8237),1000.0,Aurora Kinase,Cell Cycle,301,931587
A549|Alisertib (MLN8237)__10000.0,A549,Alisertib (MLN8237)__10000.0,False,Alisertib (MLN8237),10000.0,Aurora Kinase,Cell Cycle,231,649273
A549|Altretamine__10.0,A549,Altretamine__10.0,False,Altretamine,10.0,DNA alkylator,DNA Damage,256,423815
A549|Altretamine__100.0,A549,Altretamine__100.0,False,Altretamine,100.0,DNA alkylator,DNA Damage,306,391611
A549|Altretamine__1000.0,A549,Altretamine__1000.0,False,Altretamine,1000.0,DNA alkylator,DNA Damage,276,384119
A549|Altretamine__10000.0,A549,Altretamine__10000.0,False,Altretamine,10000.0,DNA alkylator,DNA Damage,231,347592
A549|Alvespimycin (17-DMAG) HCl__10.0,A549,Alvespimycin (17-DMAG) HCl__10.0,False,Alvespimycin (17-DMAG) HCl,10.0,HSP (e.g. HSP90),Cytoskeletal Signaling,227,355053
A549|Alvespimycin (17-DMAG) HCl__100.0,A549,Alvespimycin (17-DMAG) HCl__100.0,False,Alvespimycin (17-DMAG) HCl,100.0,HSP (e.g. HSP90),Cytoskeletal Signaling,120,214372
A549|Alvespimycin (17-DMAG) HCl__1000.0,A549,Alvespimycin (17-DMAG) HCl__1000.0,False,Alvespimycin (17-DMAG) HCl,1000.0,HSP (e.g. HSP90),Cytoskeletal Signaling,86,122695
A549|Alvespimycin (17-DMAG) HCl__10000.0,A549,Alvespimycin (17-DMAG) HCl__10000.0,False,Alvespimycin (17-DMAG) HCl,10000.0,HSP (e.g. HSP90),Cytoskeletal Signaling,94,161410
A549|Aminoglutethimide __10.0,A549,Aminoglutethimide __10.0,False,Aminoglutethimide ,10.0,Aromatase,Endocrinology & Hormones,247,407007
A549|Aminoglutethimide __100.0,A549,Aminoglutethimide __100.0,False,Aminoglutethimide ,100.0,Aromatase,Endocrinology & Hormones,199,307399
A549|Aminoglutethimide __1000.0,A549,Aminoglutethimide __1000.0,False,Aminoglutethimide ,1000.0,Aromatase,Endocrinology & Hormones,254,376411
