sciplex_compound,reference_set,nn_tanimoto
Navitoclax (ABT-263),MERS_Mpro_活性,0.1544
ABT-737,MERS_Mpro_活性,0.1667
Linifanib (ABT-869),MERS_Mpro_活性,0.1707
Veliparib (ABT-888),MERS_Mpro_活性,0.1944
Roxadustat (FG-4592),MERS_Mpro_活性,0.2
Nintedanib (BIBF 1120),MERS_Mpro_活性,0.172
BMS-536924,MERS_Mpro_活性,0.125
Bosutinib (SKI-606),MERS_Mpro_活性,0.1212
Cediranib (AZD2171),MERS_Mpro_活性,0.1111
Dasatinib,MERS_Mpro_活性,0.1304
Lapatinib (GW-572016) Ditosylate,MERS_Mpro_活性,0.1328
Lenalidomide (CC-5013),MERS_Mpro_活性,0.1515
Panobinostat (LBH589),MERS_Mpro_活性,0.2603
Motesanib Diphosphate (AMG-706),MERS_Mpro_活性,0.1481
Nilotinib (AMN-107),MERS_Mpro_活性,0.1237
Sorafenib Tosylate,MERS_Mpro_活性,0.1111
"Temsirolimus (CCI-779, NSC 683864)",MERS_Mpro_活性,0.1484
Trichostatin A (TSA),MERS_Mpro_活性,0.1846
Vandetanib (ZD6474),MERS_Mpro_活性,0.1613
"Tozasertib (VX-680, MK-0457)",MERS_Mpro_活性,0.2065
Entinostat (MS-275),MERS_Mpro_活性,0.1733
Enzastaurin (LY317615),MERS_Mpro_活性,0.1712
AC480 (BMS-599626),MERS_Mpro_活性,0.1429
Obatoclax Mesylate (GX15-070),MERS_Mpro_活性,0.1392
SL-327,MERS_Mpro_活性,0.1837
SB431542,MERS_Mpro_活性,0.1728
Crizotinib (PF-02341066),MERS_Mpro_活性,0.1182
"Luminespib (AUY-922, NVP-AUY922)",MERS_Mpro_活性,0.1512
Belinostat (PXD101),MERS_Mpro_活性,0.1884
Iniparib (BSI-201),MERS_Mpro_活性,0.1594
Abexinostat (PCI-24781),MERS_Mpro_活性,0.2
Dacinostat (LAQ824),MERS_Mpro_活性,0.25
Quisinostat (JNJ-26481585) 2HCl,MERS_Mpro_活性,0.1951
"Rucaparib (AG-014699,PF-01367338) phosphate",MERS_Mpro_活性,0.1333
MLN8054,MERS_Mpro_活性,0.1566
ZM 447439,MERS_Mpro_活性,0.15
Danusertib (PHA-739358),MERS_Mpro_活性,0.2235
Mocetinostat (MGCD0103),MERS_Mpro_活性,0.1688
BMS-754807,MERS_Mpro_活性,0.1462
