cell_line,drug,conc,shard,key,extracted
A549,4EGI-1,0.05,0,A549	4EGI-1	0.05,True
A549,9-ING-41,0.05,0,A549	9-ING-41	0.05,True
A549,APTO-253,0.05,0,A549	APTO-253	0.05,True
A549,AT7519,0.05,0,A549	AT7519	0.05,True
A549,AZD1390,0.05,0,A549	AZD1390	0.05,True
A549,AZD2858,0.05,0,A549	AZD2858	0.05,True
A549,AZD-7648,0.05,0,A549	AZD-7648	0.05,True
A549,AZD-8055,0.05,0,A549	AZD-8055	0.05,True
A549,Abemaciclib,0.05,0,A549	Abemaciclib	0.05,True
A549,Adagrasib,0.05,0,A549	Adagrasib	0.05,True
A549,Afatinib,0.05,0,A549	Afatinib	0.05,True
A549,Alpelisib,0.05,0,A549	Alpelisib	0.05,True
A549,Anastrozole,0.05,0,A549	Anastrozole	0.05,True
A549,BAY1125976,0.05,0,A549	BAY1125976	0.05,True
A549,BI-78D3,0.05,0,A549	BI-78D3	0.05,True
A549,BI-3406,0.05,0,A549	BI-3406	0.05,True
A549,Belumosudil (mesylate),0.05,0,A549	Belumosudil (mesylate)	0.05,True
A549,Belzutifan,0.05,0,A549	Belzutifan	0.05,True
A549,Bentamapimod,0.05,0,A549	Bentamapimod	0.05,True
A549,Bimiralisib,0.05,0,A549	Bimiralisib	0.05,True
A549,Binimetinib,0.05,0,A549	Binimetinib	0.05,True
A549,Bortezomib,0.05,0,A549	Bortezomib	0.05,True
A549,Brivudine,0.05,0,A549	Brivudine	0.05,True
A549,CP21R7,0.05,0,A549	CP21R7	0.05,True
A549,Capivasertib,0.05,0,A549	Capivasertib	0.05,True
A549,Capmatinib,0.05,0,A549	Capmatinib	0.05,True
A549,Celecoxib,0.05,0,A549	Celecoxib	0.05,True
A549,DT-061,0.05,0,A549	DT-061	0.05,True
A549,DTP3,0.05,0,A549	DTP3	0.05,True
A549,Dabrafenib,0.05,0,A549	Dabrafenib	0.05,True
A549,ERK5-IN-2,0.05,0,A549	ERK5-IN-2	0.05,True
A549,ETC-206,0.05,0,A549	ETC-206	0.05,True
A549,EX229,0.05,0,A549	EX229	0.05,True
A549,Elimusertib hydrochloride,0.05,0,A549	Elimusertib hydrochloride	0.05,True
A549,Encorafenib,0.05,0,A549	Encorafenib	0.05,True
A549,Erdafitinib ,0.05,0,A549	Erdafitinib 	0.05,True
A549,Everolimus,0.05,0,A549	Everolimus	0.05,True
A549,Futibatinib,0.05,0,A549	Futibatinib	0.05,True
A549,GSK1059615,0.05,0,A549	GSK1059615	0.05,True
A549,Gemcitabine,0.05,0,A549	Gemcitabine	0.05,True
