held_out,compound,method,n_sources,repro_r,source_repro_r,reproducible,source_reproducible,transfer_efficiency,pearson_delta,mae,top50_overlap,sign_match
A-172,Allantoin,weighted_consensus_gated,49,0.5950784087181091,0.4104659803667847,True,True,1.2587701686308734,0.749066948890686,0.16445918381214142,0.36,1.0
A-172,Allantoin,weighted_consensus,49,0.5950784087181091,0.4104659803667847,True,True,1.3445192336874316,0.8000943660736084,0.12686073780059814,0.56,1.0
A-172,Allantoin,unweighted_consensus,49,0.5950784087181091,0.4104659803667847,True,True,1.3543644232598162,0.8059530258178711,0.12040576338768005,0.52,0.96
A-172,Allantoin,generic_response,49,0.5950784087181091,0.4104659803667847,True,True,0.5019940885992941,0.29872584342956543,0.18626776337623596,0.1,0.54
A-172,Allantoin,shuffled_compound,49,0.5950784087181091,0.4104659803667847,True,True,0.4624038400766685,0.2751665413379669,0.21554741263389587,0.08,0.64
A-172,Allantoin,no_change,49,0.5950784087181091,0.4104659803667847,True,True,0.0,0.0,0.1992250233888626,0.04,0.0
A-172,Altretamine,weighted_consensus_gated,49,0.2178015410900116,0.2135426628650451,False,False,2.5318056809283043,0.5514311790466309,0.15767471492290497,0.06,0.86
A-172,Altretamine,weighted_consensus,49,0.2178015410900116,0.2135426628650451,False,False,2.6879583460074405,0.5854414701461792,0.14562198519706726,0.1,0.86
A-172,Altretamine,unweighted_consensus,49,0.2178015410900116,0.2135426628650451,False,False,2.87227222764763,0.6255853176116943,0.13392601907253265,0.16,0.9
A-172,Altretamine,generic_response,49,0.2178015410900116,0.2135426628650451,False,False,1.4238803033356882,0.3101233243942261,0.17315927147865295,0.1,0.76
A-172,Altretamine,shuffled_compound,49,0.2178015410900116,0.2135426628650451,False,False,1.5363762958547835,0.33462512493133545,0.18272842466831207,0.1,0.78
A-172,Altretamine,no_change,49,0.2178015410900116,0.2135426628650451,False,False,0.0,0.0,0.1764952391386032,0.02,0.0
A-172,Amsacrine,weighted_consensus_gated,49,0.7451043128967285,0.4957401655158218,True,True,0.8557153571906256,0.6375972032546997,0.18026705086231232,0.24,0.94
A-172,Amsacrine,weighted_consensus,49,0.7451043128967285,0.4957401655158218,True,True,0.9442249025180517,0.7035460472106934,0.14517520368099213,0.26,0.94
