cell_line,drug,conc,shard,key,extracted
A549,BI-3406,0.05,0,A549	BI-3406	0.05,True
A549,Bortezomib,0.05,0,A549	Bortezomib	0.05,True
A549,Celecoxib,0.05,0,A549	Celecoxib	0.05,True
A549,DT-061,0.05,0,A549	DT-061	0.05,True
A549,Everolimus,0.05,0,A549	Everolimus	0.05,True
A549,GSK1059615,0.05,0,A549	GSK1059615	0.05,True
A549,Gemcitabine,0.05,0,A549	Gemcitabine	0.05,True
A549,Hydroxyfasudil,0.05,0,A549	Hydroxyfasudil	0.05,True
A549,IQ 1,0.05,0,A549	IQ 1	0.05,True
A549,LJI308,0.05,0,A549	LJI308	0.05,True
A549,PH-797804,0.05,0,A549	PH-797804	0.05,True
A549,Ralimetinib dimesylate,0.05,1,A549	Ralimetinib dimesylate	0.05,True
A549,BI-3406,0.5,1,A549	BI-3406	0.5,True
A549,Bortezomib,0.5,1,A549	Bortezomib	0.5,True
A549,Celecoxib,0.5,1,A549	Celecoxib	0.5,True
A549,DT-061,0.5,1,A549	DT-061	0.5,True
A549,Everolimus,0.5,1,A549	Everolimus	0.5,True
A549,GSK1059615,0.5,2,A549	GSK1059615	0.5,True
A549,Gemcitabine,0.5,2,A549	Gemcitabine	0.5,True
A549,Hydroxyfasudil,0.5,2,A549	Hydroxyfasudil	0.5,True
A549,IQ 1,0.5,2,A549	IQ 1	0.5,True
A549,LJI308,0.5,2,A549	LJI308	0.5,True
A549,PH-797804,0.5,2,A549	PH-797804	0.5,True
A549,Ralimetinib dimesylate,0.5,2,A549	Ralimetinib dimesylate	0.5,True
A549,BI-3406,5.0,3,A549	BI-3406	5.0,True
A549,Bortezomib,5.0,3,A549	Bortezomib	5.0,True
A549,Celecoxib,5.0,3,A549	Celecoxib	5.0,True
A549,DT-061,5.0,3,A549	DT-061	5.0,True
A549,Everolimus,5.0,3,A549	Everolimus	5.0,True
A549,GSK1059615,5.0,3,A549	GSK1059615	5.0,True
A549,Gemcitabine,5.0,3,A549	Gemcitabine	5.0,True
A549,Hydroxyfasudil,5.0,3,A549	Hydroxyfasudil	5.0,True
A549,IQ 1,5.0,3,A549	IQ 1	5.0,True
A549,LJI308,5.0,3,A549	LJI308	5.0,True
A549,PH-797804,5.0,3,A549	PH-797804	5.0,True
A549,Ralimetinib dimesylate,5.0,3,A549	Ralimetinib dimesylate	5.0,True
A549,Allantoin,0.05,4,A549	Allantoin	0.05,True
A549,Amsacrine,0.05,4,A549	Amsacrine	0.05,True
A549,Anethole trithione,0.05,4,A549	Anethole trithione	0.05,True
A549,Bimatoprost,0.05,4,A549	Bimatoprost	0.05,True
A549,Elagolix sodium,0.05,4,A549	Elagolix sodium	0.05,True
A549,Furosemide,0.05,4,A549	Furosemide	0.05,True
A549,Megestrol,0.05,5,A549	Megestrol	0.05,True
A549,Pentamidine (isethionate),0.05,5,A549	Pentamidine (isethionate)	0.05,True
A549,Quinestrol,0.05,5,A549	Quinestrol	0.05,True
A549,Rapamycin,0.05,5,A549	Rapamycin	0.05,True
A549,S-Adenosyl-L-methionine (disulfate tosylate),0.05,5,A549	S-Adenosyl-L-methionine (disulfate tosylate)	0.05,True
A549,Terfenadine,0.05,5,A549	Terfenadine	0.05,True
A549,Allantoin,0.5,5,A549	Allantoin	0.5,True
A549,Amsacrine,0.5,5,A549	Amsacrine	0.5,True
A549,Anethole trithione,0.5,5,A549	Anethole trithione	0.5,True
A549,Bimatoprost,0.5,6,A549	Bimatoprost	0.5,True
A549,Elagolix sodium,0.5,6,A549	Elagolix sodium	0.5,True
A549,Furosemide,0.5,6,A549	Furosemide	0.5,True
A549,Megestrol,0.5,6,A549	Megestrol	0.5,True
A549,Pentamidine (isethionate),0.5,6,A549	Pentamidine (isethionate)	0.5,True
A549,Quinestrol,0.5,6,A549	Quinestrol	0.5,True
A549,Rapamycin,0.5,6,A549	Rapamycin	0.5,True
A549,S-Adenosyl-L-methionine (disulfate tosylate),0.5,6,A549	S-Adenosyl-L-methionine (disulfate tosylate)	0.5,True
A549,Terfenadine,0.5,7,A549	Terfenadine	0.5,True
A549,Allantoin,5.0,7,A549	Allantoin	5.0,True
A549,Amsacrine,5.0,7,A549	Amsacrine	5.0,True
A549,Anethole trithione,5.0,7,A549	Anethole trithione	5.0,True
A549,Bimatoprost,5.0,7,A549	Bimatoprost	5.0,True
A549,Elagolix sodium,5.0,7,A549	Elagolix sodium	5.0,True
A549,Furosemide,5.0,7,A549	Furosemide	5.0,True
A549,Megestrol,5.0,8,A549	Megestrol	5.0,True
A549,Pentamidine (isethionate),5.0,8,A549	Pentamidine (isethionate)	5.0,True
A549,Quinestrol,5.0,8,A549	Quinestrol	5.0,True
A549,Rapamycin,5.0,8,A549	Rapamycin	5.0,True
A549,S-Adenosyl-L-methionine (disulfate tosylate),5.0,8,A549	S-Adenosyl-L-methionine (disulfate tosylate)	5.0,True
A549,Terfenadine,5.0,8,A549	Terfenadine	5.0,True
A549,Altretamine,0.05,8,A549	Altretamine	0.05,True
A549,Betamethasone dipropionate,0.05,8,A549	Betamethasone dipropionate	0.05,True
A549,Fenofibrate,0.05,9,A549	Fenofibrate	0.05,True
A549,Mozavaptan,0.05,9,A549	Mozavaptan	0.05,True
A549,Nevirapine,0.05,9,A549	Nevirapine	0.05,True
A549,Pemetrexed,0.05,9,A549	Pemetrexed	0.05,True
A549,Pitavastatin (Calcium),0.05,9,A549	Pitavastatin (Calcium)	0.05,True
