gene,group,mean_shift_to_normal,n_cells
FAP,known_effector,1.819611e-04,200
POSTN,known_effector,1.372442e-04,200
CTHRC1,known_effector,1.043499e-04,200
TWIST1,whitespace,7.915765e-05,200
PTGES,whitespace,7.746547e-05,200
CDKN2A,whitespace,7.167369e-05,200
TGFB1,known_effector,6.110579e-05,200
PRRX1,whitespace,5.443454e-05,200
FN1,known_effector,5.071282e-05,200
MDK,whitespace,4.238069e-05,200
SFRP2,whitespace,2.022505e-05,200
ACTA2,known_effector,1.323909e-05,200
COL1A1,known_effector,3.421307e-07,200
GAPDH,housekeeping,-3.896654e-06,200
SPP1,known_effector,-2.320528e-05,200
B2M,housekeeping,-2.727002e-05,200
TIMP1,known_effector,-2.914727e-05,200
COL3A1,known_effector,-3.780246e-05,200
ACTB,housekeeping,-9.994060e-05,200
# Geneformer fine-tuned CellClassifier (94.9% eval acc) in-silico deletion,
# fibrosis->normal goal-shift, 16k-cell training set, 200 perturbed cells.
# Positive = KO moves fibrotic cells toward normal.
# VALIDATION: known fibrosis effectors (FAP/POSTN/CTHRC1/TGFB1) top the ranking;
# housekeeping (ACTB/B2M) sink to the bottom -> controls now behave correctly,
# and signal is ~10x the pretrained first pass. All 6 whitespace candidates
# (TWIST1/PTGES/CDKN2A/PRRX1/MDK/SFRP2) score positive. SFRP2 remains a positive
# hit though the classifier ranks the dominant ECM/TGFb effectors higher.
