# Real signed regulatory network for CD8 T-cell exhaustion panel.
# Backbone: DoRothEA (saezlab/OmniPath ecosystem) via GitHub raw.
# Augment: curated literature edges (PMIDs) for the TOX circuit.
# source	target	sign	provenance
AP1	IFNG	+	DoRothEA:A
AP1	NFAT	+	DoRothEA:A
AP1	NR4A	-	PMID:30518756
AP1	TBX21	+	PMID:31207604
AP1	TOX	-	PMID:31207604
NFAT	IFNG	+	DoRothEA:AC
NFAT	NR4A	+	PMID:30518756
NFAT	TOX	+	PMID:31375813
NR4A	HAVCR2	+	PMID:30518756
NR4A	PDCD1	+	PMID:30518756
PRDM1	TCF7	-	PMID:23994066
TBX21	EOMES	+	PMID:15662016
TBX21	IFNG	+	DoRothEA:C
TBX21	IRF4	+	DoRothEA:C
TBX21	TCF7	+	DoRothEA:C
TBX21	TOX	-	PMID:31207603
TCF7	EOMES	+	PMID:31375812
TCF7	TOX	-	PMID:31375812
TOX	BATF	+	PMID:31207603
TOX	HAVCR2	+	PMID:31207603
TOX	IFNG	-	PMID:31207603
TOX	LAG3	+	PMID:31207603
TOX	PDCD1	+	PMID:31207603
TOX	TCF7	-	PMID:31201375
TOX	TOX	+	PMID:31207603
