# Per-state node activity (RWR restart vectors), relative 0..1.
# source: scrnaseq-pseudobulk (simulated counts)
# pipeline: lib-norm -> log1p -> marker gating -> family collapse -> pseudobulk -> global min-max
# gene	exhausted	effector
ACTB	0.848	0.759
AP1	0.307	0.688
BATF	0.685	0.540
EOMES	0.565	0.756
GAPDH	0.851	0.780
HAVCR2	0.779	0.047
IFNG	0.000	1.000
IRF4	0.736	0.556
LAG3	0.752	0.205
NFAT	0.740	0.663
NR4A	0.684	0.224
PDCD1	0.869	0.188
PRDM1	0.551	0.689
TBX21	0.125	0.963
TCF7	0.102	0.969
TOX	0.764	0.112
TUBB	0.799	0.769
