dataset,lo,hi,n,spearman,rmse
NA_influenza,0.2,0.3,58,0.30751719030822344,1.0387721157999337
NA_influenza,0.3,0.4,98,0.22798404809913958,0.9301926970310742
NA_influenza,0.4,0.5,134,0.6278845614363399,0.9008675426883803
NA_influenza,0.5,0.6,318,0.26298880462620405,1.3689299440480955
NA_influenza,0.6,0.7,310,0.41718064979173264,1.1568150391102499
NA_influenza,0.7,1.01,285,0.7455975965541789,0.9089124525994359
MIC_E_cloacae,0.2,0.3,210,0.2796553128476188,1.055164552079949
MIC_E_cloacae,0.3,0.4,179,0.4412066568661246,1.2590188129130653
MIC_E_cloacae,0.4,0.5,412,0.7042223468547012,1.021466236229597
MIC_E_cloacae,0.5,0.6,470,0.5355861847539113,1.0878908908797995
MIC_E_cloacae,0.6,0.7,416,0.7292363493136007,0.737312905282407
MIC_E_cloacae,0.7,1.01,850,0.7643596083112525,0.5696765577740014
MIC_H_influenzae,0.0,0.2,66,0.061727621910487654,1.3293944243722426
MIC_H_influenzae,0.2,0.3,186,0.327263351846985,1.1991567653533854
MIC_H_influenzae,0.3,0.4,180,0.31233433217485485,1.0920541710661016
MIC_H_influenzae,0.4,0.5,510,0.6362116754696252,0.8523850462002702
MIC_H_influenzae,0.5,0.6,753,0.5187684012820809,0.7578965943856949
MIC_H_influenzae,0.6,0.7,754,0.5109521173935951,0.6926971340704713
MIC_H_influenzae,0.7,1.01,954,0.5872981003176666,0.5627922146987404
