model,page,endpoint,n,spearman,rmse_log,EF_top5,hit_rate_top5,EF_top1,hit_rate_top1,tests_for_10_hits,fold_error_1sd
NA pIC50 (RF+qRASAR),VC-AVI,antiviral potency,1143,0.809,1.07,10.4,52.2,40.7,40.7,19,11.7
PA pIC50 (Ridge+qRASAR),VC-AVI,antiviral potency,252,0.734,0.728,8.8,44.0,31.7,31.7,23,5.3
CC50 (RF_msl10+qRASAR),VC-AVI,cytotoxicity,33641,0.704,0.476,8.2,41.1,28.7,28.7,24,3.0
MIC E. coli,VC-MIC,antibacterial,31676,0.719,0.72,8.5,42.5,30.1,30.1,24,5.2
MIC S. aureus,VC-MIC,antibacterial,48610,0.714,0.73,8.4,42.1,29.6,29.6,24,5.4
MIC P. aeruginosa,VC-MIC,antibacterial,20022,0.698,0.68,8.1,40.6,28.1,28.1,25,4.8
MIC K. pneumoniae,VC-MIC,antibacterial,12015,0.754,0.7,9.2,46.0,33.9,33.9,22,5.0
MIC S. pyogenes,VC-MIC2,antibacterial,6453,0.824,0.753,10.8,54.1,42.8,42.8,18,5.7
MIC M. tuberculosis,VC-MIC2,antibacterial,19468,0.643,0.712,7.2,35.8,23.3,23.3,28,5.2
MIC E. cloacae,VC-MIC2,antibacterial,2440,0.785,0.746,9.9,49.4,37.6,37.6,20,5.6
logS solubility,VC-ADMET,ADMET,12930,0.599,1.898,6.5,32.3,19.9,19.9,31,79.1
hERG pIC50,VC-ADMET,ADMET,9716,0.606,0.704,6.6,32.8,20.4,20.4,30,5.1
CYP3A4 pIC50,VC-ADMET,ADMET,5490,0.573,0.652,6.1,30.4,18.2,18.2,33,4.5
CYP2D6 pIC50,VC-ADMET,ADMET,2993,0.579,0.695,6.2,30.8,18.6,18.6,32,5.0
HLM half-life,VC-ADMET,ADMET,601,0.449,0.488,4.5,22.4,11.3,11.3,45,3.1
