ensembl_id,symbol,baseline_K562,baseline_RPE1,baseline_HepG2,baseline_Jurkat,response_sd_K562,response_sd_RPE1,response_sd_HepG2,response_sd_Jurkat,shared_response_fraction
ENSG00000000419,DPM1,0.5913,0.4179,0.6422,0.5711,0.0599,0.0754,0.0791,0.0772,0.3391
ENSG00000001084,GCLC,0.1874,0.0957,0.4307,0.3287,0.0391,0.0602,0.1084,0.0658,0.3152
ENSG00000001461,NIPAL3,0.0848,0.2932,0.1156,0.2040,0.0287,0.0985,0.0595,0.0593,0.3037
ENSG00000001497,LAS1L,0.6379,0.3043,0.2623,0.6893,0.0650,0.0696,0.0620,0.0865,0.4103
ENSG00000001629,ANKIB1,0.1276,0.4138,0.1925,0.3001,0.0343,0.0813,0.0548,0.0637,0.2807
ENSG00000001631,KRIT1,0.3479,0.2470,0.1983,0.3262,0.0516,0.0597,0.0502,0.0679,0.2720
ENSG00000002330,BAD,0.2128,0.6140,0.2986,0.4837,0.0528,0.0907,0.0751,0.0860,0.4434
ENSG00000002549,LAP3,0.5407,0.2523,0.5387,0.5651,0.0629,0.0614,0.0892,0.0815,0.3168
ENSG00000002586,CD99,0.7421,0.9161,1.0058,1.9665,0.0716,0.0914,0.1006,0.1513,0.2927
ENSG00000002822,MAD1L1,0.3148,0.1571,0.2252,0.2885,0.0610,0.0495,0.0563,0.0690,0.2604
ENSG00000002834,LASP1,0.2592,0.4902,0.3982,0.2224,0.0535,0.0835,0.0830,0.0684,0.3490
ENSG00000003056,M6PR,0.5204,0.8814,0.5780,0.6527,0.0561,0.1113,0.0767,0.0751,0.3339
ENSG00000003393,ALS2,0.1286,0.1483,0.1083,0.1220,0.0405,0.0499,0.0462,0.0482,0.3110
ENSG00000003402,CFLAR,0.4866,0.2074,0.4925,0.3104,0.0816,0.0854,0.0861,0.0721,0.3363
ENSG00000003509,NDUFAF7,0.1996,0.1034,0.1894,0.0800,0.0381,0.0420,0.0496,0.0381,0.2691
ENSG00000003756,RBM5,0.4506,0.2749,0.2571,0.4190,0.0574,0.0602,0.0618,0.0751,0.3424
ENSG00000004059,ARF5,0.6907,0.4945,0.4094,0.7170,0.0597,0.0714,0.0652,0.0776,0.3075
ENSG00000004142,POLDIP2,0.5656,0.5262,0.5461,0.5875,0.0676,0.0742,0.0814,0.0848,0.4011
ENSG00000004455,AK2,1.3070,0.6383,0.5850,0.8048,0.0770,0.0853,0.0855,0.0870,0.3358
ENSG00000004478,FKBP4,0.9767,0.7351,0.5254,1.0632,0.1034,0.1143,0.0958,0.1135,0.4043
ENSG00000004487,KDM1A,0.9696,0.7240,1.1834,1.1657,0.0697,0.1216,0.1254,0.0893,0.3504
ENSG00000004534,RBM6,0.5845,0.3046,0.3481,0.5904,0.0507,0.0598,0.0639,0.0740,0.3001
ENSG00000004700,RECQL,0.2264,0.8071,0.2676,0.3265,0.0444,0.1282,0.0652,0.0723,0.2502
ENSG00000004766,VPS50,0.1115,0.1213,0.0827,0.1320,0.0345,0.0445,0.0384,0.0494,0.3179
ENSG00000004779,NDUFAB1,1.7036,1.2212,1.6111,1.7188,0.0719,0.0985,0.1007,0.0931,0.4760
ENSG00000004897,CDC27,0.5250,0.6257,0.5012,0.7139,0.0562,0.0847,0.0765,0.0848,0.2911
ENSG00000004961,HCCS,0.5360,0.3619,0.2423,0.3486,0.0644,0.0707,0.0568,0.0675,0.3385
ENSG00000004975,DVL2,0.1477,0.1313,0.1590,0.2865,0.0352,0.0422,0.0470,0.0684,0.2918
ENSG00000005007,UPF1,0.3688,0.2194,0.3466,0.3869,0.0494,0.0570,0.0692,0.0707,0.3250
ENSG00000005022,SLC25A5,1.5275,1.6870,1.9767,2.0960,0.0697,0.1861,0.1028,0.0941,0.3881
ENSG00000005059,MCUB,0.2441,0.4256,0.0710,0.7394,0.0535,0.1113,0.0332,0.0812,0.2024
ENSG00000005075,POLR2J,0.8952,0.8622,0.8363,0.9532,0.0667,0.0838,0.0833,0.0841,0.4065
ENSG00000005100,DHX33,0.2823,0.2183,0.4533,0.3290,0.0476,0.0542,0.0958,0.0653,0.3094
ENSG00000005156,LIG3,0.2926,0.1383,0.1668,0.3440,0.0468,0.0443,0.0489,0.0670,0.3391
ENSG00000005175,RPAP3,0.4072,0.3030,0.2686,0.4082,0.0519,0.0628,0.0601,0.0685,0.3106
ENSG00000005194,CIAPIN1,0.4840,0.3557,0.5393,0.4498,0.0551,0.0657,0.0785,0.0723,0.3345
ENSG00000005206,SPPL2B,0.1988,0.1520,0.1527,0.3849,0.0438,0.0492,0.0520,0.0707,0.3148
ENSG00000005302,MSL3,0.1581,0.2533,0.0857,0.3017,0.0364,0.0627,0.0369,0.0694,0.3257
ENSG00000005339,CREBBP,0.3370,0.3117,0.2759,0.2791,0.0551,0.0662,0.0638,0.0714,0.3567
ENSG00000005436,GCFC2,0.1862,0.1961,0.2882,0.3045,0.0398,0.0511,0.0614,0.0656,0.3363
ENSG00000005483,KMT2E,0.5440,0.4859,0.3607,0.6222,0.0742,0.0799,0.0755,0.0952,0.3759
ENSG00000005486,RHBDD2,0.0803,0.1916,0.2733,0.2181,0.0356,0.0738,0.0868,0.0688,0.4331
ENSG00000005700,IBTK,0.3219,0.3956,0.5443,0.4184,0.0537,0.0897,0.0979,0.0759,0.3846
ENSG00000005801,ZNF195,0.2236,0.1167,0.1618,0.4186,0.0406,0.0480,0.0503,0.0731,0.2554
ENSG00000005810,MYCBP2,0.8821,0.5396,0.4468,0.8808,0.0732,0.0836,0.0758,0.0909,0.3901
ENSG00000005812,FBXL3,0.1981,0.1644,0.1162,0.1960,0.0432,0.0496,0.0450,0.0581,0.2943
ENSG00000005889,ZFX,0.2720,0.3471,0.1707,0.2540,0.0457,0.0669,0.0586,0.0620,0.3001
ENSG00000005893,LAMP2,0.2015,0.7170,0.4251,0.4670,0.0499,0.1144,0.0800,0.0858,0.3125
ENSG00000006007,GDE1,0.1702,0.3769,0.3398,0.3932,0.0482,0.0767,0.0796,0.0681,0.3589
ENSG00000006015,REX1BD,0.7135,0.7282,0.2660,0.6284,0.0836,0.1000,0.0723,0.0958,0.4711
ENSG00000006042,TMEM98,0.3337,0.1186,0.4882,0.1346,0.0587,0.0454,0.0785,0.0479,0.2671
ENSG00000006125,AP2B1,0.6336,0.6790,0.3948,0.4964,0.0558,0.0899,0.0695,0.0702,0.2966
ENSG00000006194,ZNF263,0.1028,0.0868,0.0998,0.1627,0.0358,0.0498,0.0394,0.0590,0.3765
ENSG00000006451,RALA,0.6564,0.7354,0.4864,0.5693,0.0857,0.1224,0.0863,0.0797,0.3241
ENSG00000006530,AGK,0.1702,0.0945,0.1026,0.1577,0.0356,0.0359,0.0372,0.0469,0.2661
ENSG00000006576,PHTF2,0.2485,0.2754,0.1015,0.2258,0.0531,0.0665,0.0399,0.0592,0.2597
ENSG00000006607,FARP2,0.0843,0.0952,0.1369,0.1488,0.0254,0.0370,0.0460,0.0441,0.2643
ENSG00000006625,GGCT,0.8445,0.6067,0.7101,0.7140,0.0818,0.1355,0.1146,0.0891,0.2756
ENSG00000006634,DBF4,0.7420,0.4514,0.3956,0.8051,0.0630,0.1392,0.1044,0.0940,0.2851
ENSG00000006652,IFRD1,0.3680,0.1993,0.3612,0.2683,0.0881,0.1675,0.1537,0.0850,0.5492
ENSG00000006695,COX10,0.1475,0.0926,0.1240,0.1473,0.0360,0.0366,0.0444,0.0473,0.2905
ENSG00000006712,PAF1,0.2170,0.3613,0.2413,0.3471,0.0405,0.0712,0.0534,0.0647,0.2584
ENSG00000006715,VPS41,0.2975,0.3018,0.1913,0.3874,0.0490,0.0821,0.0552,0.0723,0.3464
ENSG00000006744,ELAC2,0.3430,0.2973,0.3378,0.4495,0.0492,0.0667,0.0619,0.0708,0.3248
ENSG00000006831,ADIPOR2,0.2529,0.3327,0.3657,0.3027,0.0444,0.0690,0.0722,0.0657,0.3462
ENSG00000007047,MARK4,0.1348,0.1370,0.1325,0.1574,0.0371,0.0558,0.0468,0.0515,0.3100
ENSG00000007080,CCDC124,0.8061,0.7858,0.6046,1.0128,0.0657,0.0883,0.0753,0.0903,0.3879
ENSG00000007168,PAFAH1B1,0.5246,0.8389,0.4306,0.7623,0.0617,0.0908,0.0783,0.0904,0.3779
ENSG00000007202,KIAA0100,0.3526,0.3176,0.2220,0.2207,0.0464,0.0658,0.0538,0.0536,0.2802
ENSG00000007341,ST7L,0.1380,0.1256,0.0960,0.1494,0.0399,0.0488,0.0412,0.0552,0.3382
ENSG00000007376,RPUSD1,0.3024,0.2693,0.2062,0.2038,0.0634,0.0616,0.0557,0.0564,0.3459
ENSG00000007392,LUC7L,0.5363,0.3161,0.2922,0.5841,0.0620,0.0720,0.0679,0.0840,0.3735
ENSG00000007520,TSR3,0.4768,0.5804,0.4807,0.6022,0.0666,0.0801,0.0756,0.0800,0.4181
ENSG00000007541,PIGQ,0.1358,0.1204,0.1015,0.1537,0.0348,0.0431,0.0384,0.0487,0.2712
ENSG00000007923,DNAJC11,0.3340,0.2309,0.3795,0.3202,0.0477,0.0563,0.0650,0.0621,0.3043
ENSG00000008018,PSMB1,1.9036,1.6644,1.9187,2.0023,0.0734,0.1039,0.1038,0.0935,0.4625
ENSG00000008083,JARID2,0.5014,0.3053,0.2114,0.8095,0.0684,0.0943,0.0570,0.1109,0.2844
ENSG00000008128,CDK11A,0.2043,0.1646,0.2393,0.1854,0.0428,0.0538,0.0601,0.0712,0.3340
ENSG00000008130,NADK,0.2929,0.2083,0.3817,0.2369,0.0464,0.0537,0.0733,0.0586,0.3313
ENSG00000008282,SYPL1,0.5343,0.6422,0.4781,0.7283,0.0643,0.0891,0.0785,0.0828,0.3763
ENSG00000008294,SPAG9,0.5203,0.7916,0.5760,0.4444,0.0592,0.1145,0.0939,0.0757,0.3329
ENSG00000008324,SS18L2,0.7816,0.3434,0.4104,0.5555,0.0672,0.0672,0.0733,0.0701,0.3334
ENSG00000008405,CRY1,0.1063,0.0893,0.1063,0.1650,0.0315,0.0420,0.0449,0.0560,0.2774
ENSG00000008710,PKD1,0.0891,0.1204,0.0827,0.1333,0.0275,0.0470,0.0417,0.0474,0.2913
ENSG00000008838,MED24,0.3452,0.1546,0.1666,0.1917,0.0468,0.0454,0.0457,0.0520,0.3002
ENSG00000008952,SEC62,0.7224,0.8782,0.6888,0.6480,0.0668,0.1178,0.0935,0.0848,0.4203
ENSG00000008988,RPS20,2.3780,2.5407,2.0834,2.4672,0.0749,0.1227,0.0968,0.0927,0.6100
ENSG00000009307,CSDE1,1.5340,1.5290,1.1580,1.7112,0.0604,0.0900,0.0876,0.0838,0.3521
ENSG00000009335,UBE3C,0.3107,0.3078,0.2383,0.2936,0.0465,0.0606,0.0534,0.0617,0.2987
ENSG00000009413,REV3L,0.3822,0.3879,0.4976,0.4930,0.0564,0.0875,0.0827,0.0882,0.3295
ENSG00000009780,FAM76A,0.0900,0.0866,0.0966,0.1867,0.0276,0.0359,0.0355,0.0532,0.2524
ENSG00000009844,VTA1,0.3689,0.3964,0.4742,0.4571,0.0497,0.0683,0.0740,0.0761,0.3265
ENSG00000009954,BAZ1B,0.9640,0.9901,0.7497,1.3185,0.0678,0.1475,0.0925,0.0865,0.2410
ENSG00000010017,RANBP9,0.4252,0.2384,0.2870,0.4436,0.0552,0.0596,0.0733,0.0740,0.3328
ENSG00000010072,SPRTN,0.2524,0.1136,0.0998,0.2736,0.0427,0.0446,0.0404,0.0622,0.3076
ENSG00000010165,EEF1AKNMT,0.3795,0.1759,0.1800,0.2817,0.0508,0.0530,0.0505,0.0589,0.2997
ENSG00000010219,DYRK4,0.0842,0.3718,0.1453,0.3068,0.0299,0.0861,0.0458,0.0674,0.3031
ENSG00000010244,ZNF207,1.2469,0.8187,0.8033,1.0554,0.0607,0.0885,0.0854,0.0844,0.3612
ENSG00000010256,UQCRC1,1.0158,0.9675,1.0539,1.0863,0.0786,0.1203,0.0967,0.0935,0.4264
ENSG00000010270,STARD3NL,0.2506,0.4408,0.2753,0.4292,0.0434,0.0729,0.0647,0.0698,0.3001
ENSG00000010292,NCAPD2,0.3291,0.6980,0.4487,0.4696,0.0519,0.1873,0.1144,0.0783,0.2667
ENSG00000010322,NISCH,0.1528,0.0900,0.0980,0.1909,0.0366,0.0438,0.0390,0.0545,0.2800
ENSG00000010404,IDS,0.0654,0.5288,0.1006,0.3665,0.0357,0.1336,0.0729,0.0739,0.3038
ENSG00000011007,ELOA,0.4742,0.3674,0.5298,0.4876,0.0549,0.0719,0.0844,0.0750,0.3123
ENSG00000011009,LYPLA2,0.3116,0.3535,0.7757,0.2853,0.0483,0.0729,0.1165,0.0628,0.3119
ENSG00000011114,BTBD7,0.2256,0.3815,0.2710,0.2198,0.0414,0.0694,0.0608,0.0642,0.2992
ENSG00000011198,ABHD5,0.4506,0.3428,0.1076,0.2687,0.0783,0.0828,0.0563,0.0648,0.3824
ENSG00000011243,AKAP8L,0.4688,0.2292,0.2979,0.4792,0.0735,0.1002,0.1016,0.0926,0.5295
ENSG00000011260,UTP18,0.6764,0.4761,0.6160,0.7378,0.0728,0.1012,0.0884,0.0987,0.3516
ENSG00000011275,RNF216,0.3968,0.4014,0.2909,0.4889,0.0496,0.0718,0.0612,0.0739,0.3046
ENSG00000011295,TTC19,0.3558,0.4563,0.2954,0.5265,0.0579,0.0786,0.0656,0.0839,0.3589
ENSG00000011304,PTBP1,1.1227,0.6649,0.9217,0.8125,0.0685,0.1085,0.0961,0.0886,0.3346
ENSG00000011376,LARS2,0.2291,0.1058,0.1323,0.1596,0.0397,0.0388,0.0437,0.0473,0.3069
ENSG00000011405,PIK3C2A,0.2042,0.3948,0.4404,0.2347,0.0396,0.0752,0.0725,0.0626,0.3056
ENSG00000011426,ANLN,0.3542,1.0744,0.4601,0.3820,0.0580,0.3203,0.1504,0.0893,0.2602
ENSG00000011451,WIZ,0.2020,0.2075,0.1241,0.2183,0.0407,0.0536,0.0429,0.0535,0.3090
ENSG00000011454,RABGAP1,0.1379,0.2442,0.2218,0.2631,0.0366,0.0633,0.0596,0.0655,0.3207
