cell_line,knockdown,n_cells,effect_l2,relative_effect,n_de_genes,on_target_residual,mean_cross_line_r
K562,AAAS,212,2.1615,0.5265,1,0.1257,0.0101
K562,AAMP,99,4.5400,1.1060,185,0.2470,0.1485
K562,AARS,40,10.5740,2.5759,1190,0.0917,0.4720
K562,AARS2,181,2.5368,0.6180,7,0.0533,0.0655
K562,AASDHPPT,49,4.4725,1.0895,3,0.1895,0.0167
K562,AATF,298,6.4479,1.5707,2134,0.1453,0.3450
K562,ABCB10,51,5.4275,1.3222,77,0.8412,0.3269
K562,ABCB7,199,2.9479,0.7181,38,0.0817,0.2595
K562,ABCE1,249,6.6353,1.6164,1956,0.2657,0.5283
K562,ABCF1,164,2.7202,0.6626,17,0.5549,0.4043
K562,ABCG1,144,2.9794,0.7258,8,,0.1483
K562,ABHD11,49,4.5698,1.1132,1,,0.0426
K562,ABHD17A,95,3.2501,0.7917,1,0.2842,0.0280
K562,ABT1,107,5.0610,1.2329,325,0.1687,0.2875
K562,ACD,77,3.4071,0.8300,0,0.1800,-0.0132
K562,ACIN1,96,2.3720,0.5778,1,0.6472,0.0435
K562,ACOT12,180,2.4732,0.6025,2,,0.0227
K562,ACTB,168,3.3157,0.8077,35,0.4324,0.1938
K562,ACTL6A,55,7.0131,1.7084,519,0.2040,0.1157
K562,ACTR10,116,3.2856,0.8004,4,0.1000,0.0439
K562,ACTR1A,143,2.6032,0.6341,1,0.6691,-0.0093
K562,ACTR1B,206,2.1856,0.5324,2,0.1724,0.0412
K562,ACTR2,236,2.3019,0.5608,1,0.0893,0.1211
K562,ACTR3,118,3.0642,0.7465,5,0.3756,0.0131
K562,ACTR6,108,4.4870,1.0930,216,0.1065,0.2597
K562,ACTR8,252,4.3556,1.0610,591,0.1494,0.3985
K562,ADAT2,85,3.4422,0.8385,0,,-0.0061
K562,ADAT3,62,3.5068,0.8543,15,,-0.0058
K562,ADRM1,105,3.1211,0.7603,1,0.3256,0.1261
K562,ADSL,133,3.1982,0.7791,21,0.1764,0.0275
K562,AFG3L2,15,9.0108,2.1951,81,0.2898,0.2159
K562,AHCTF1,290,2.2276,0.5426,5,0.3705,0.1328
K562,AHCY,147,3.6205,0.8820,62,0.0684,0.1197
K562,AIFM1,50,4.2718,1.0406,1,0.2017,0.0385
K562,AKIRIN2,169,3.0741,0.7489,13,0.2600,0.1514
K562,ALDOA,78,6.6105,1.6103,760,0.0598,0.2542
K562,ALG1,69,3.6786,0.8961,0,0.1326,0.0638
K562,ALG11,97,3.2681,0.7961,6,,0.2084
K562,ALG13,170,2.8775,0.7010,19,0.0362,0.1198
K562,ALG14,183,2.3479,0.5720,3,0.1559,0.0913
K562,ALG1L,216,2.1598,0.5261,1,,0.0597
K562,ALG2,247,2.7926,0.6803,37,0.3006,0.3805
K562,ALYREF,319,2.5002,0.6090,36,0.5904,0.0780
K562,ANAPC1,124,3.0658,0.7468,1,0.3318,0.0946
K562,ANAPC10,29,5.5518,1.3524,9,0.0000,0.0364
K562,ANAPC11,77,3.8062,0.9272,1,0.2003,0.0637
K562,ANAPC13,112,3.1030,0.7559,1,0.1137,0.1003
K562,ANAPC15,424,1.5419,0.3756,0,0.7853,-0.0260
K562,ANAPC2,237,2.5337,0.6172,12,,0.0906
K562,ANAPC4,63,4.7794,1.1643,42,0.1821,0.0958
K562,ANAPC5,40,5.0313,1.2256,2,0.1679,0.0435
K562,ANKLE2,126,2.9324,0.7143,3,0.1336,0.0813
K562,ANKRD11,260,3.1743,0.7733,70,0.2487,0.1933
K562,ANKRD49,144,2.7667,0.6740,2,,0.0450
K562,ANKS6,95,3.2753,0.7979,1,0.1587,-0.0033
K562,ANLN,96,3.1212,0.7603,1,0.0670,0.0594
K562,AP2M1,108,2.2883,0.5574,2,0.5770,0.1031
K562,AP2S1,123,4.0564,0.9881,106,0.1770,0.1769
K562,AQP7,108,2.9929,0.7291,1,,0.0439
K562,AQR,90,14.9759,3.6482,3533,0.1993,0.3023
K562,ARCN1,333,2.8729,0.6999,122,0.4651,0.1861
K562,ARF4,89,3.3553,0.8174,1,0.2715,0.1017
K562,ARFRP1,138,2.6199,0.6382,0,0.4674,-0.0059
K562,ARGFX,84,3.4950,0.8514,4,,-0.0050
K562,ARGLU1,498,2.8509,0.6945,190,0.1869,0.2675
K562,ARHGAP11B,212,2.1606,0.5263,1,,0.0330
K562,ARID3A,31,6.0915,1.4839,31,,0.0280
K562,ARIH1,59,5.1232,1.2480,67,0.0729,0.0817
K562,ARL2,74,4.7978,1.1688,83,0.0609,0.1379
K562,ARL4D,120,2.9470,0.7179,2,,0.0050
K562,ARMC6,86,3.4904,0.8503,1,0.2634,0.0047
K562,ARMC7,110,4.0454,0.9855,97,,0.2152
K562,ARPC2,114,2.3568,0.5741,1,0.3698,0.1007
K562,ARPC3,70,2.6207,0.6384,1,0.7088,0.0549
K562,ARPC4,220,2.6900,0.6553,13,0.1320,0.2428
K562,ASF1B,284,1.8896,0.4603,2,0.0919,0.0276
K562,ATF4,72,4.3634,1.0630,34,0.2351,0.1015
K562,ATF5,141,8.4060,2.0477,1785,0.2356,0.2486
K562,ATL2,120,3.1463,0.7664,5,0.1952,0.1146
K562,ATP1A1,84,6.4780,1.5781,718,0.1469,0.0566
K562,ATP2A2,158,2.6047,0.6345,1,0.3174,0.1273
K562,ATP6AP1,119,4.1069,1.0005,124,0.1658,0.2526
K562,ATP6AP2,175,2.8136,0.6854,11,0.0997,0.2772
K562,ATP6V0B,147,3.5643,0.8683,27,0.1526,0.3137
K562,ATP6V0C,53,6.5063,1.5850,341,0.1890,0.2411
K562,ATP6V0D1,101,3.1936,0.7780,3,0.2726,0.1043
K562,ATP6V1A,96,4.2933,1.0459,84,0.1040,0.3379
K562,ATP6V1B2,442,4.8324,1.1772,1036,0.2403,0.4740
K562,ATP6V1C1,59,4.0347,0.9829,2,0.1079,0.1263
K562,ATP6V1D,139,2.8899,0.7040,1,0.1838,0.1018
K562,ATP6V1E1,188,2.4306,0.5921,1,0.1687,0.2336
K562,ATP6V1F,72,3.7511,0.9138,3,0.1170,0.1767
K562,ATP6V1G1,67,4.1092,1.0010,4,0.0840,0.2922
K562,ATP6V1H,84,4.1793,1.0181,28,0.1755,0.2746
K562,ATR,141,3.7888,0.9230,105,0.1047,0.2856
K562,ATRIP,184,3.3249,0.8100,53,,0.2607
K562,AURKA,58,4.5496,1.1083,33,0.1729,0.1271
K562,AURKAIP1,76,4.0458,0.9856,6,0.2083,0.1510
K562,AURKB,33,5.6370,1.3732,20,0.5110,0.1278
K562,BANF1,162,2.7479,0.6694,1,0.3294,0.1069
K562,BANP,110,4.2411,1.0331,101,0.4532,0.1446
K562,BAP1,200,3.9723,0.9677,318,0.1348,0.1748
K562,BARD1,140,2.6294,0.6405,1,0.1033,0.0481
K562,BCAR1,123,1.9506,0.4752,0,,0.0285
K562,BCAS2,227,6.1238,1.4918,1485,0.1655,0.2691
K562,BCL2L1,86,2.5410,0.6190,3,0.5889,0.0328
K562,BCLAF1,51,4.7551,1.1584,6,0.1124,0.1425
K562,BCR,561,4.6120,1.1235,1145,0.8070,0.0139
K562,BCS1L,70,3.6382,0.8863,1,0.1087,0.0129
K562,BDP1,331,4.0335,0.9826,589,0.1717,0.3025
K562,BET1,131,3.2186,0.7841,3,0.1264,0.1958
K562,BGLAP,236,3.3981,0.8278,164,,0.1823
K562,BIRC5,46,4.9156,1.1975,28,0.5091,0.1192
K562,BMS1,28,8.7418,2.1295,465,0.3780,0.3107
K562,BNIP1,111,4.6879,1.1420,269,0.1977,0.3188
K562,BOP1,126,2.3029,0.5610,0,0.7905,0.1278
K562,BORA,55,4.7799,1.1644,43,,0.0872
K562,BPTF,56,4.6090,1.1228,11,0.4283,0.1365
K562,BRCA1,104,3.2573,0.7935,4,0.1882,0.1676
K562,BRCA2,147,2.9170,0.7106,6,0.0694,0.2298
K562,BRD4,116,3.2519,0.7922,5,0.6228,0.0125
K562,BRD8,77,5.6071,1.3659,279,0.2362,0.1581
K562,BRF1,166,2.8301,0.6894,4,,0.2272
K562,BRF2,174,2.4020,0.5851,2,,0.0578
K562,BRIP1,132,2.8740,0.7001,1,0.0507,0.0574
K562,BRIX1,132,4.5628,1.1115,325,0.3182,0.3067
K562,BRK1,180,2.5813,0.6288,1,0.1240,0.0824
K562,BTF3,79,4.9479,1.2053,124,0.2139,0.4076
K562,BTF3L4,141,2.7302,0.6651,2,0.1220,0.1009
K562,BUB1,648,1.5653,0.3813,6,0.1374,0.1548
K562,BUB1B,141,2.8653,0.6980,3,0.1243,0.1280
K562,BUB3,409,3.4362,0.8371,402,0.2992,0.1438
K562,BUD13,174,5.5733,1.3577,969,0.4002,0.5093
K562,BUD31,37,6.0875,1.4829,87,0.5963,0.2054
K562,BYSL,98,6.5391,1.5929,941,0.1904,0.2556
K562,C12orf45,100,5.4782,1.3345,444,0.0849,0.3054
K562,C12orf60,110,5.8200,1.4178,678,,0.1754
K562,C14orf178,143,6.0171,1.4658,1082,,0.5689
K562,C16orf86,184,2.3322,0.5681,0,,-0.0026
K562,C17orf58,58,4.1244,1.0047,2,0.1690,0.1234
