gene	symbol	stratum	tau	max_tpm	top_organ	enriched_in	group_enriched_in	omega_macaque	dN_macaque	Nd	Sd	omega_mouse	dN_mouse	omega_opossum	dN_opossum	omega_chicken	dN_chicken	n_species
ENSG00000062485	CS	catalytic	0.1807035797152432	244.158	Skeletal_muscle			0.2001998140077052	0.0142567258102471	15.0	22.0						0.0781992155898524	485
ENSG00000100412	ACO2	catalytic	0.2964460317181796	165.055	Skeletal_muscle			0.373672905913177	0.0611255815009284	103.33333333333331	81.66666666666666	0.1098296169422647	0.0626414450594067	0.0611229694479657	0.0568468507572457	0.0537871767542638	0.0804974538183495	480
ENSG00000182054	IDH2	catalytic	0.3334353085675928	461.35	Skeletal_muscle			0.0194570194664075	0.0019053678078899	2.0	28.0	0.0432255516288448	0.0221881133289622	0.0384278970535766	0.0416025740415967	0.0680972534691488	0.0623831298591809	483
ENSG00000166411	IDH3A	catalytic	0.2050939293895042	26.4275	Heart			0.440779007953638	0.053856736114945	44.0	28.0	0.1513516115868068	0.1085005238737567	0.0661416162734705	0.0793544734507827	0.0305168235738627	0.0637170485556768	483
ENSG00000105953	OGDH	catalytic	0.2379509208472724	228.713	Skeletal_muscle			0.0	0.0	0.0	64.0	0.0379225084200041	0.021758231260605	0.0238575628253952	0.0303020631281575	0.0387644572996408	0.0407907869014123	484
ENSG00000163541	SUCLG1	catalytic	0.1419305870283323	149.79250000000002	Kidney			0.0803969173097189	0.0063884542989768	5.0	19.0	0.0579244491043308	0.0374126129124442	0.0722338873322932	0.0774492446356434	0.079022732860547	0.0906977727930573	478
ENSG00000136143	SUCLA2	catalytic	0.2849552862183803	27.3448	Skeletal_muscle			0.2272044024124516	0.0155105010837577	16.5	20.5	0.0854322712179445	0.0459693883677926	0.1173525559703498	0.0659019338772207	0.0950197001372609	0.0885848327358756	476
ENSG00000172340	SUCLG2	catalytic	0.2120108659129839	87.4896	Liver			0.4299249389903475	0.0552354023836083	52.833333333333336	35.16666666666667	0.1102724708388458	0.0711509627099988	0.1176998955605648	0.0951079423384534	0.0927980382206776	0.1164401573561913	487
ENSG00000073578	SDHA	catalytic	0.1800627434412744	229.733	Heart			0.2850040536486997	0.043627902407529	63.66666666666666	65.33333333333333	0.0655947173837775	0.0490175934610285	0.0282476083865868	0.0716016260296979	0.0373751376624578	0.0890951304545046	510
ENSG00000117118	SDHB	catalytic	0.1545328284846599	202.383	Skeletal_muscle							0.0601500381122685	0.0452320001119831	0.1226808307395793	0.1019204671462904	0.0586808535653756	0.1005622016187177	482
