restricted	broad	perc_id	omega_restricted	omega_broad	log2_r_over_b	sym_r	sym_b
ENSG00000077935	ENSG00000072501	53.6091	0.1608243078317552	0.0013601186003846	6.885609211396653	SMC1B	SMC1A
ENSG00000129170	ENSG00000159176	66.4948	0.7896877489992115	0.0073884464128746	6.739867461570711	CSRP3	CSRP1
ENSG00000184599	ENSG00000183662	57.1429	0.5358429349695707	0.0056856511892581	6.558340779625281	TAFA3	TAFA1
ENSG00000102466	ENSG00000129682	64.0816	0.2977071177221527	0.0077814051010744	5.257719215853303	FGF14	FGF13
ENSG00000136297	ENSG00000108960	69.7479	0.2083421534619075	0.0064892585114865	5.004757316800457	MMD2	MMD
ENSG00000147614	ENSG00000159720	67.7143	0.0533081090183695	0.0027108072513419	4.297560565876248	ATP6V0D2	ATP6V0D1
ENSG00000132681	ENSG00000018625	78.62	0.1351605088630324	0.0078164188757183	4.112022094705813	ATP1A4	ATP1A2
ENSG00000203995	ENSG00000162378	61.5591	0.2531260455508388	0.0160485765286962	3.9793387175769563	ZYG11A	ZYG11B
ENSG00000170091	ENSG00000168824	57.3099	0.4181865707961382	0.0280519226949196	3.897975170995946	NSG2	NSG1
ENSG00000151224	ENSG00000168906	84.3038	0.0807245305829432	0.0059196070654561	3.769433826286964	MAT1A	MAT2A
ENSG00000130037	ENSG00000177301	55.1387	0.0958038671179661	0.0078389207960251	3.6113569377817036	KCNA5	KCNA2
ENSG00000170689	ENSG00000180806	53.2	0.1027565358604697	0.008899409795163	3.5293766892852565	HOXB9	HOXC9
ENSG00000105011	ENSG00000111875	70.7921	0.0825840663108115	0.0075313167047473	3.4548894369947427	ASF1B	ASF1A
ENSG00000117266	ENSG00000059758	68.7764	0.1020490688384656	0.0097903164743376	3.381763712077857	CDK18	CDK17
ENSG00000187969	ENSG00000169714	60.8434	0.1617114005316957	0.0156621782295437	3.3680646156853262	ZCCHC13	CNBP
ENSG00000132671	ENSG00000139874	58.2474	0.1020811895153514	0.0099418493216386	3.3600589972893093	SSTR4	SSTR1
ENSG00000079841	ENSG00000101098	63.5688	0.0710172775886587	0.0083970354658381	3.08021807029101	RIMS1	RIMS4
ENSG00000162761	ENSG00000136944	67.801	0.0248357824579527	0.0031312256208451	2.9876208290811213	LMX1A	LMX1B
ENSG00000122877	ENSG00000179388	53.7468	0.1279567015920576	0.0161498394949375	2.986063977039361	EGR2	EGR3
ENSG00000173626	ENSG00000054116	62.2222	0.0806448666238616	0.0102146017610106	2.9809497443642745	TRAPPC3L	TRAPPC3
ENSG00000115107	ENSG00000157214	51.2245	0.1521142730692974	0.0193501917717014	2.9747357597599438	STEAP3	STEAP2
ENSG00000143248	ENSG00000117152	51.9337	0.2483935052814085	0.0323945937743723	2.938802480306842	RGS5	RGS4
ENSG00000163377	ENSG00000198673	66.4122	0.1435158092778532	0.0188850672132527	2.9258918451306295	TAFA4	TAFA2
ENSG00000000938	ENSG00000010810	71.4556	0.1245438202955004	0.0171250708837357	2.862471573907224	FGR	FYN
ENSG00000130829	ENSG00000164086	54.9479	0.1336231960469701	0.0187944617863669	2.829790964377735	DUSP9	DUSP7
ENSG00000166866	ENSG00000128641	59.0604	0.1153243832772231	0.0167097450701487	2.7869359488840035	MYO1A	MYO1B
ENSG00000111218	ENSG00000126457	74.9326	0.016656155428115	0.002417446409033	2.784499623525708	PRMT8	PRMT1
ENSG00000124232	ENSG00000168214	51.3347	0.113859261398306	0.0171302754285612	2.7326313931065243	RBPJL	RBPJ
ENSG00000205922	ENSG00000119547	54.0486	0.0675154082993639	0.0103479668818067	2.7058694483044285	ONECUT3	ONECUT2
ENSG00000130561	ENSG00000137486	56.0494	0.1237635061081561	0.0190050718455166	2.7031295885320348	SAG	ARRB1
ENSG00000178860	ENSG00000118526	63.1285	0.2829505065016355	0.0450193208813112	2.651933521007664	MSC	TCF21
ENSG00000132141	ENSG00000146731	85.8491	0.1551620081892663	0.0248915192501205	2.6400491604366523	CCT6B	CCT6A
ENSG00000024526	ENSG00000035499	53.3081	0.2109931065297099	0.0346592598775917	2.605883112356892	DEPDC1	DEPDC1B
ENSG00000161896	ENSG00000176095	50.9756	0.193552656476804	0.0335263745779135	2.529357719703075	IP6K3	IP6K1
ENSG00000147647	ENSG00000092964	59.3449	0.109702664981949	0.0192849245216504	2.5080531686352874	DPYS	DPYSL2
ENSG00000141200	ENSG00000068796	57.3551	0.1286719874259878	0.0228792683519761	2.4915851828487487	KIF2B	KIF2A
ENSG00000116039	ENSG00000147416	84.9315	0.0520606868252953	0.0094035981599541	2.468909549694722	ATP6V1B1	ATP6V1B2
ENSG00000142945	ENSG00000068796	54.6207	0.1257411113969786	0.0228792683519761	2.458343597404916	KIF2C	KIF2A
ENSG00000144834	ENSG00000149591	66.6667	0.1348108747301114	0.0249436246960378	2.4341938469580495	TAGLN3	TAGLN
ENSG00000157087	ENSG00000070961	80.4918	0.0189214501395647	0.0037386709657821	2.3394252483310867	ATP2B2	ATP2B1
ENSG00000152315	ENSG00000184261	64.7059	0.1470935087786143	0.0292883031606002	2.3283370648619455	KCNK13	KCNK12
ENSG00000136872	ENSG00000109107	70.3297	0.1376719534986928	0.0281072965263756	2.292218082625328	ALDOB	ALDOC
ENSG00000182870	ENSG00000185274	61.8729	0.0583565003341924	0.0124110923318113	2.23326327045646	GALNT9	GALNT17
ENSG00000154611	ENSG00000101182	84.2742	0.045712814297953	0.0099100548830172	2.2056336884780228	PSMA8	PSMA7
ENSG00000144834	ENSG00000158710	69.3467	0.1348108747301114	0.0294245143624165	2.195846368887458	TAGLN3	TAGLN2
