pdb	gene_a	gene_b	n_contacts	n_informative	n_null	native	mismatch	delta	frac_native_wins	p	null_delta	null_sd	null_frac	n_null_draws	excess	mi_contact	mi_null	entropy_contact	entropy_null	note	complex
5XTE	CYC1	MT-CYB	93	74	8.0	56.86793338726289	43.407187007516626	13.460746379746254	0.8734177215189873	4.512894495043296e-12	6.065078758530165	0.8358322883196395	0.7974683544303798	8.0	7.39566762121609	0.13197335567968976	0.1090031087546636	1.240734234251623	1.2414566109709144		complex III (cytochrome bc1)
8GS8	SDHC	SDHD	70	69	8.0	42.64660939987727	35.6314545049461	7.015154894931173	0.9083969465648855	3.15940800739067e-15	3.6389966147937534	0.8633685471569005	0.8043893129770991	8.0	3.3761582801374193	0.0696520132225575	0.04751245757314548	0.9966292482092022	1.0134397951087288		complex II (SDH)
5XTE	UQCRC1	UQCRFS1	58	46	8.0	32.44140009447799	25.782067184752552	6.6593329097254355	0.9285714285714286	4.07456633820177e-17	3.4949446660644155	0.8194818252435541	0.756578947368421	8.0	3.16438824366102	0.0748257325470498	0.06883623740613556	0.9717401039382936	0.9731253463991643		complex III (cytochrome bc1)
5Z62	MT-CO1	MT-CO2	226	84	8.0	64.58872892324541	56.46168140234496	8.127047520900463	0.8854166666666666	1.0065082576411555e-12	5.156884655054311	0.6337193924230248	0.8059895833333334	8.0	2.9701628658461523	0.035726746008729535	0.024499674597622027	0.5163745210031654	0.5145100003508248		complex IV (cytochrome c oxidase)
5XTD	MT-ND1	NDUFS8	33	26	8.0	22.01689661895365	18.631324521134744	3.3855720978189074	0.8636363636363636	4.1250444169009614e-08	1.075388631030502	0.4257992111167535	0.7443181818181819	8.0	2.3101834667884056	0.1291171402963811	0.0448664191862361	0.8155463108294734	0.802745545766313		complex I
5Z62	MT-CO1	MT-CO3	148	72	8.0	57.930503633738134	53.698560427523965	4.231943206214173	0.8333333333333334	1.0419240299765927e-09	1.9853989246753843	0.4486633756886025	0.76171875	8.0	2.246544281538789	0.031749233993950535	0.019845539773027384	0.45615175512489703	0.44793671109060185		complex IV (cytochrome c oxidase)
5XTE	UQCRC1	UQCRC2	130	99	8.0	59.52796551097893	42.601357111227635	16.926608399751288	0.9300699300699301	1.7462372445810327e-22	14.693803591853229	2.596867593768935	0.8881118881118881	8.0	2.2328048078980594	0.08214235451420736	0.08663334934163454	1.078087058271538	1.0990615748258135		complex III (cytochrome bc1)
5XTE	MT-CYB	UQCRC1	24	16	8.0	10.99715149945064	7.426687562852825	3.570463936597812	0.8488372093023255	1.6767021024097734e-09	1.7420886775604902	0.5596801447346142	0.7834302325581396	8.0	1.8283752590373217	0.13748427133176114	0.0873843119641587	1.2457286871459832	1.2700617267563095		complex III (cytochrome bc1)
5Z62	COX5A	MT-CO2	19	17	8.0	14.664493233187024	11.067281174051102	3.597212059135924	0.8412698412698413	6.274325744428204e-07	2.000057102106394	0.4792776667156576	0.8015873015873016	8.0	1.59715495702953	0.20382754173237969	0.14596088043073233	1.3221525064583324	1.2951197710368165		complex IV (cytochrome c oxidase)
5XTD	MT-ND4	MT-ND5	120	100	8.0	63.542690846746616	52.153375167672344	11.389315679074278	0.8387096774193549	1.7859519020040625e-11	10.110928897845804	0.9142192977739839	0.846774193548387	8.0	1.2783867812284733	0.11882070115885646	0.10976096588060517	1.3040950885138551	1.295068492066167		complex I
