rank,gene,protein_name,final_score,tier,multiplicative_score,tumour_quality,safety_score,consensus_multiplier,score_specificity,score_intensity,score_uniformity,score_accessibility,score_druggability,epi_mean,epi_detection,caf_mean,immune_mean,endothelial_mean,tme_max_mean,log2fc_mean,log2fc_sd,n_datasets_reproducible,n_datasets,topology_class,max_ecd_segment,surface_confirmation,ab_tractability_bucket,ot_n_drugs,ot_drugs,depmap_mean_gene_effect,safety_source,safety_is_default,protein_worst_tissue,rna_worst_tissue,rna_max_ntpm,n_normal_tissues_medium_high,almen_class,uniprot,ensembl_gene
1,LY6K,Lymphocyte antigen 6K,0.632704285831263,Tier 1,0.2532808347920749,0.4690385829482868,0.6,0.9,0.7650089281852398,0.20061283239360553,0.120816690069969,0.4683333333333334,0.7,0.5554337520000001,0.120816690069969,0.01112338728,0.01150042226,0.0399956334,0.0461666104,2.2950267845557195,1.2939394099694632,4,5,no TM (GPI/peripheral),148,experimental (CSPA/GPI),UniProt loc high conf,0.0,,-0.0675597914063516,protein+RNA (min),False,Testis,esophagus,35.1,1.0,Unclassified,Q17RY6,ENSG00000160886
2,ITGB6,Integrin beta-6,0.5548432179191631,Tier 1,0.17080903752153062,0.7127867659831582,0.23963553431850126,1.0,1.0,0.39940453060640696,0.2770292993093838,0.95,0.9,1.409691452,0.2770292993093838,0.0536366311,0.042026985,0.0517571988,0.0846236448,3.2640614024309125,0.8392338810210191,5,5,type I,688,Open Targets confirmed,Advanced Clinical,4.0,ABITUZUMAB; STX-100; SIGVOTATUG VEDOTIN; SIGVOTATUG,-0.03506492061203411,protein+RNA (min),False,Heart muscle,kidney,74.9,11.0,Receptors,P18564,ENSG00000115221
3,CDCP1,CUB domain-containing protein 1,0.5514115812788326,Tier 1,0.1676593005500195,0.44948874142096384,0.373,1.0,0.45215497211689176,0.14359773082123967,0.1506135181082422,1.0,0.7,0.3719125319999999,0.1506135181082422,0.0944875728,0.0713099904,0.0070975241999999,0.1093995936,1.3564649163506752,0.9791240817381296,5,5,type I,637,experimental (CSPA/GPI),UniProt loc high conf,0.0,,0.06670815386387817,protein+RNA (min),False,Heart muscle,esophagus,35.8,27.0,Unclassified,Q9H5V8,ENSG00000163814
4,IGSF3,Immunoglobulin superfamily member 3,0.5482328912620984,Tier 2,0.16477649571318215,0.42016240968873114,0.49021667548524117,0.8,0.5466281125040197,0.08915872310113686,0.1042111565864894,1.0,0.45,0.216928092,0.1042111565864894,0.00987274352,0.00417172804,0.022588103,0.0284192991,1.6398843375120589,1.0341883442843152,3,5,type I,1105,unconfirmed (ML prediction only),UniProt SigP or TMHMM,0.0,,-0.1637200240319677,protein+RNA (min),False,Placenta,kidney,22.1,3.0,Receptors,O75054,ENSG00000143061
5,SLC6A14,Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+),0.5427124382093363,Tier 2,0.1598487797618901,0.4361739990318897,0.4580992336678784,0.8,0.7762650937594943,0.14544193237700245,0.1147804221432046,0.3583333333333334,0.65,0.377495166,0.1147804221432046,0.02391542572,0.013291830548,0.0093087449999999,0.035598921148,2.3287952812784827,0.7347742049868591,3,5,multi-pass (12 TM),100,Open Targets confirmed,GO CC high conf,0.0,,0.06287620460513128,RNA only,False,,lung,20.2,,Transporters,Q9UN76,ENSG00000268104
6,CRB3,Protein crumbs homolog 3,0.5312815062090823,Tier 2,0.14995953857743835,0.5374561976343873,0.2790172282643405,1.0,0.9724100081309587,0.22396134654436997,0.236579629431129,0.32416666666666666,0.7,0.637496344,0.236579629431129,0.0076792113999999,0.0185503872,0.03384307082,0.03838459,2.917230024392876,0.5664747312861061,5,5,type I,29,Open Targets confirmed,UniProt loc high conf,0.0,,0.07795541467747648,protein+RNA (min),False,Kidney,kidney,52.7,5.0,Miscellaneous,Q9BUF7,ENSG00000130545
7,CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5,0.5279428392247388,Tier 2,0.14715015064659112,0.7007150030790052,0.30000000000000004,0.7,1.0,0.4343228689772577,0.1030021464177684,0.955,1.0,1.602284624,0.1030021464177684,0.1799899002,0.03491108142,0.0054895923,0.1808617532,3.1864673578656126,1.9062754516259477,2,5,no TM (GPI/peripheral),668,experimental (CSPA/GPI),Approved Drug,5.0,ARCITUMOMAB; LABETUZUMAB; LABETUZUMAB GOVITECAN; MEDI-565; TUSAMITAMAB RAVTANSINE,-0.028836676510804574,protein+RNA (min),False,Colon,colon,920.3,6.0,Miscellaneous,P06731,ENSG00000105388
8,CDH3,Cadherin-3,0.523211104867672,Tier 2,0.14322896684235734,0.4799898352625916,0.373,0.8,0.5187389398056832,0.1680414542105773,0.1262993123938559,0.97,0.8,0.447780164,0.1262993123938559,0.035722184602,0.02877611726,0.09860736616,0.1126967164,1.5562168194170496,0.4740957998043432,3,5,type I,630,experimental (CSPA/GPI),Phase 1 Clinical,1.0,PF-03732010,0.0024557552062259426,protein+RNA (min),False,Kidney,esophagus,51.8,16.0,Miscellaneous,P22223,ENSG00000062038
9,MSLN,Mesothelin,0.5146040896968893,Tier 2,0.1362761011784912,0.7767862780247146,0.17543577304818891,1.0,1.0,0.7288308663153921,0.3063505238081803,0.8983333333333333,0.9,3.97738024,0.3063505238081803,0.2469092601999999,0.0986208774,0.331050468,0.3348460172,3.516014247103153,0.7095409488453991,5,5,no TM (GPI/peripheral),592,experimental (CSPA/GPI),Advanced Clinical,5.0,SS1(DSFV)-PE38; ANETUMAB RAVTANSINE; LMB-100; AMATUXIMAB; RG-7600,0.08211161151627097,protein+RNA (min),False,Colon,lung,261.5,8.0,,Q13421,ENSG00000102854
10,MUC4,Mucin-4,0.5115422787733365,Tier 2,0.1338580830897719,0.5577420128740495,0.30000000000000004,0.8,0.8227722422212147,0.15663174609054567,0.1229199549478797,1.0,0.7,0.4118586119999999,0.1229199549478797,0.0002716547799999,0.00688536912,0.00543539154,0.00832893752,2.468316726663644,1.527096949902658,3,5,type I,2097,experimental (CSPA/GPI),UniProt loc high conf,0.0,,0.052225678515775115,protein+RNA (min),False,Colon,colon,31.2,10.0,Unclassified,Q99102,ENSG00000145113
