human_gene	organ	dN	dS	omega	tau	identity_cds	fident	tmscore	lddt	plddt_human	plddt_mouse	plddt_min
ENSG00000155719	Testis	0.1268752305523496	0.6039802189964749	0.2100652083658555	0.9542450293958044	0.5479331574318381	0.746	0.9735	0.9324	84.03750216825672	85.40112576956905	84.03750216825672
ENSG00000185294	Testis	0.1713181182217543	0.7427860211879844	0.2306426256484397	0.9872137149660292	0.4740740740740741	0.473	0.7322	0.8399	67.0909649122807	67.56434782608696	67.0909649122807
ENSG00000166578	Testis	0.2092351307493111	1.0514840093642512	0.1989903116794129	0.814902325338889	0.4484304932735426	0.556	0.7975	0.8896	81.45648106904231	79.34812227074237	79.34812227074237
ENSG00000123165	Testis	0.174682995916741	1.03447599422169	0.1688613335567709	1.0	0.424	0.697	0.9833	0.9452	93.05819148936169	91.61859042553192	91.61859042553192
ENSG00000172301	Testis	0.1241727452712247	0.5993740309775566	0.2071707128663943	0.3572062689197685	0.5664739884393064	0.203	0.4041	0.6481	62.00086956521739	61.35381502890173	61.35381502890173
ENSG00000039600	Testis	0.1169878956816894	0.4447765459460828	0.2630262246244232	0.9763247091734056	0.5936254980079682	0.228	0.458	0.7786	49.81199203187252	49.75704603580563	49.75704603580563
ENSG00000100027	Testis	0.039800905954518	0.6958350239414333	0.0571987677899179	0.6548443989288526	0.6578947368421053	0.991	0.9849	0.9837	90.67092436974788	91.18822033898306	90.67092436974788
ENSG00000148680	Testis	0.0451375862157839	0.4337601184811144	0.1040611718150597	0.8715428712569209	0.7224669603524229	0.831	0.9401	0.9074	73.29379958246346	76.10042410714287	73.29379958246346
ENSG00000142530	Testis	0.1271817526589687	0.6702164490460815	0.1897622071794662	0.7961025187281094	0.5151515151515151	0.658	0.9467	0.7585	64.6082995951417	73.17566037735848	64.6082995951417
ENSG00000106328	Testis	0.0847135895539905	0.6766203393471236	0.1252010686461647	0.9694580838365904	0.5903614457831325	0.845	0.9952	0.9745	92.17463855421687	92.4309437751004	92.17463855421687
ENSG00000139985	Testis	0.1901088790937643	0.6273726136814269	0.3030238728117316	0.9210803974904488	0.4958333333333333	0.611	0.9094	0.8769	83.05562326869806	80.5696159122085	80.5696159122085
