id,round,puzzle,method,sn,sn_filter,reads,rnet_f1,rnet_f1_cp,oks_exp_published,oks_exp_recomputed,oks_insilico,gc,exp,hit
W01_13191653_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,35.6,1,1552.0,0.9,0.857142857142857,83.1216577540107,83.1216577540107,94.21791443850267,0.5454545454545454,83.1216577540107,False
W01_13191660_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,21.102,1,4890.0,0.8,0.833333333333333,89.3382352941177,89.33823529411765,84.92647058823529,0.48863636363636365,89.3382352941177,False
W01_13191672_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,19.337,1,5752.0,0.892857142857143,0.96969696969697,86.3970588235294,86.39705882352942,87.76737967914437,0.4431818181818182,86.3970588235294,False
W01_13191675_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,16.439,1,1699.0,0.827586206896552,0.9375,84.9264705882353,84.92647058823529,86.29679144385025,0.45454545454545453,84.9264705882353,False
W01_13191677_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,1.172,1,47.0,0.87719298245614,0.941176470588235,87.7339572192513,87.73395721925134,83.92379679144386,0.5,87.7339572192513,False
W01_13191679_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,6.172,1,145.0,0.87719298245614,0.941176470588235,79.8128342245989,79.81283422459893,81.8850267379679,0.5113636363636364,79.8128342245989,False
W01_13191681_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,11.174,1,566.0,0.892857142857143,0.96969696969697,81.9852941176471,81.98529411764706,83.35561497326202,0.5,81.9852941176471,False
W01_13191685_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,12.747,1,649.0,0.87719298245614,0.96969696969697,84.9264705882353,84.92647058823529,84.59224598930481,0.45454545454545453,84.9264705882353,False
W01_13191687_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,23.294,1,22464.0,0.847457627118644,0.96969696969697,85.8288770053476,85.8288770053476,85.72860962566844,0.45454545454545453,85.8288770053476,False
W01_13191691_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,16.38,1,2293.0,0.862068965517241,0.96969696969697,86.9652406417112,86.96524064171123,84.25802139037432,0.4659090909090909,86.9652406417112,False
W01_13191693_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,45.34,1,2893.0,0.983050847457627,1.0,85.4946524064171,85.49465240641712,89.57219251336898,0.5568181818181818,85.4946524064171,False
W01_13191697_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,31.502,1,10155.0,0.912280701754386,1.0,86.0628342245989,86.06283422459893,87.76737967914437,0.5227272727272727,86.0628342245989,False
W01_13191701_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,14.243,1,3732.0,0.912280701754386,1.0,88.6697860962567,88.66978609625669,87.76737967914437,0.5227272727272727,88.6697860962567,False
W01_13191711_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,13.674,1,76.0,0.87719298245614,0.697674418604651,79.6122994652407,79.61229946524065,79.27807486631016,0.48863636363636365,79.6122994652407,False
W01_13191713_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,16.975,1,326.0,0.949152542372881,0.755555555555555,85.1604278074866,85.16042780748663,87.43315508021391,0.5454545454545454,85.1604278074866,False
W01_13191717_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,41.525,1,3004.0,0.931034482758621,1.0,82.2192513368984,82.2192513368984,86.8649732620321,0.5227272727272727,82.2192513368984,False
W01_13191720_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,8.953,1,479.0,0.711864406779661,0.705882352941177,70.3208556149733,70.32085561497327,79.5120320855615,0.5227272727272727,70.3208556149733,False
W01_13191726_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,32.895,1,40323.0,0.87719298245614,0.941176470588235,88.6697860962567,88.66978609625669,79.5120320855615,0.5340909090909091,88.6697860962567,False
W01_13191743_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,12.312,1,673.0,0.931034482758621,1.0,82.5534759358289,82.55347593582889,88.33556149732621,0.5454545454545454,82.5534759358289,False
W01_13191751_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,86.065,1,15935.0,0.87719298245614,0.941176470588235,73.2620320855615,73.2620320855615,82.55347593582889,0.5113636363636364,73.2620320855615,False
W01_13191765_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,14.363,1,5641.0,0.87719298245614,0.941176470588235,84.692513368984,84.69251336898395,87.19919786096256,0.5113636363636364,84.692513368984,False
W01_13191885_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,31.956,1,1834.0,0.931034482758621,1.0,88.6697860962567,88.66978609625669,92.74732620320856,0.5227272727272727,88.6697860962567,False
W01_13191914_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,22.797,1,28209.0,0.892857142857143,0.96969696969697,85.4946524064171,85.49465240641712,83.35561497326202,0.5113636363636364,85.4946524064171,False
W01_13191916_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,10.945,1,995.0,0.912280701754386,1.0,89.1042780748663,89.1042780748663,89.2379679144385,0.5227272727272727,89.1042780748663,False
W01_13191918_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,15.826,1,1018.0,0.87719298245614,0.941176470588235,82.5534759358289,82.55347593582889,78.70989304812835,0.5113636363636364,82.5534759358289,False
W01_13191920_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,18.645,1,569.0,0.655172413793104,0.487804878048781,76.2032085561497,76.20320855614975,74.39839572192514,0.5227272727272727,76.2032085561497,False
W01_13191923_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,31.98,1,2801.0,0.678571428571428,0.476190476190476,80.2807486631016,80.2807486631016,77.00534759358288,0.5454545454545454,80.2807486631016,False
W01_13191927_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,31.034,1,10378.0,0.912280701754386,0.909090909090909,74.3983957219251,74.39839572192514,81.41711229946523,0.5340909090909091,74.3983957219251,False
W01_13191929_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,36.87,1,1207.0,0.727272727272727,0.717948717948718,76.5374331550802,76.53743315508021,82.88770053475935,0.5340909090909091,76.5374331550802,False
W01_13191931_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,22.242,1,2087.0,0.931034482758621,0.909090909090909,78.8101604278075,78.81016042780749,81.08288770053477,0.5340909090909091,78.8101604278075,False
W01_13191933_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,26.135,1,628.0,0.949152542372881,0.941176470588235,79.3783422459893,79.3783422459893,86.8649732620321,0.5340909090909091,79.3783422459893,False
W01_13191935_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,37.663,1,14346.0,0.949152542372881,0.941176470588235,79.6122994652407,79.61229946524065,89.80614973262033,0.5340909090909091,79.6122994652407,False
W01_13191950_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,29.044,1,1896.0,0.836363636363636,0.9375,76.2032085561497,76.20320855614975,83.79010695187165,0.4772727272727273,76.2032085561497,False
W01_13191956_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,10.25,1,152.0,0.37037037037037,0.0,73.2620320855615,73.2620320855615,72.92780748663102,0.5227272727272727,73.2620320855615,False
W01_13192131_6pad6_libraryready_6pad6_libraryready,1,W01,Eterna,38.127,1,10840.0,0.912280701754386,0.941176470588235,94.8863636363636,94.88636363636363,97.72727272727272,0.5909090909090909,94.8863636363636,True
