AF_Score,BG,DCA_Score,Function,Gene Name,Interacting Partner,Protein Name,RF_Score,SP,Subcellular Locality,UP,confident,pdb,is_membrane,is_cell_surface,AF
0.741,N,0.153,NA,SUN3,Q8TAQ9,SUN domain-containing protein 3,0.3044,N,"Membrane, Nucleus",N,Not confident,none,True,False,0.741
0.7104,Y,0.379,"Host cell receptor for virus entry, Host-virus interaction, Receptor",CLEC4G,Q6UXB4,C-type lectin domain family 4 member G,0.1964,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.7104
0.5723,N,0.859,"Adaptive immunity, Endocytosis, Immunity, Innate immunity",CLEC10A,Q8IUN9,C-type lectin domain family 10 member A,0.1788,N,Membrane,N,Not confident,none,True,False,0.5723
0.4949,N,0.147,"Differentiation, Spermatogenesis",SUN5,Q8TC36,SUN domain-containing protein 5,0.41,N,"Golgi apparatus, Membrane, Nucleus",N,Not confident,none,True,False,0.4949
0.4045,N,0.723,"Endocytosis, Host-virus interaction, Receptor",ASGR2,P07307,Asialoglycoprotein receptor 2,0.2812,C,Membrane,N,Not confident,none,True,False,0.4045
0.3555,N,0.107,"Cholesterol metabolism, Heparin-binding, Host-virus interaction, Lipid metabolism, Lipid transport, Steroid metabolism, Sterol metabolism, Transport",APOE,P02649,Apolipoprotein E,0.2927,N,"Chylomicron, Endosome, Extracellular matrix, HDL, Secreted, VLDL",N,Not confident,none,False,False,0.3555
0.347,N,0.147,"Apoptosis, Hydrolase, Lipid metabolism, Sphingolipid metabolism",ASAH2,Q9NR71,Neutral ceramidase,0.3115,N,"Cell membrane, Golgi apparatus, Membrane, Mitochondrion, Secreted",N,Not confident,none,True,True,0.347
0.3345,N,0.124,"Ion transport, Iron transport, Transport",HFE,Q30201,Hereditary hemochromatosis protein,0.6484,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.3345
0.3123,N,0.159,Receptor,FOLR3,P41439,Folate receptor gamma,0.3298,N,Secreted,N,Not confident,none,False,False,0.3123
0.3115,N,0.108,"Complement pathway, Hydrolase, Immunity, Innate immunity, Protease, Serine protease",MASP2,O00187,Mannan-binding lectin serine protease 2,0.258,N,Secreted,N,Not confident,none,False,False,0.3115
0.3052,Y,0.062,NA,MCEMP1,Q8IX19,Mast cell-expressed membrane protein 1,0.05634,N,Membrane,Y,Not confident,none,True,False,0.3052
0.2983,N,0.191,"Hydrolase, Protease, Serine protease",KLK1,P06870,Kallikrein-1,0.508,N,NA,N,Not confident,none,False,False,0.2983
0.297,N,0.06,"Lipid transport, Transport",APOC1,P02654,Apolipoprotein C-I,0.251,N,"Secreted, VLDL",N,Not confident,none,False,False,0.297
0.2969,N,0.043,NA,ST20-AS1,Q8NBB2,Putative uncharacterized protein ST20-AS1,0.001881,N,NA,N,Not confident,none,False,False,0.2969
0.2927,N,0.164,NA,ANGPTL7,O43827,Angiopoietin-related protein 7,0.322,N,Secreted,N,Not confident,none,False,False,0.2927
0.2925,N,0.052,"Adaptive immunity, Immunity",IGLJ1,A0A0A0MT76,Immunoglobulin lambda joining 1,0.009544,N,"Cell membrane, Immunoglobulin, Membrane, Secreted",N,Not confident,none,True,True,0.2925
0.2489,Y,0.112,Developmental protein,SPRY4,Q9C004,Protein sprouty homolog 4,0.0003364,Y,"Cell membrane, Cell projection, Cytoplasm, Membrane",N,Not confident,none,True,True,0.2489
0.2336,C,0.146,"Lipid biosynthesis, Lipid metabolism, Transferase",CERS2,Q96G23,Ceramide synthase 2,0.04434,Y,"Endoplasmic reticulum, Membrane",Y,Not confident,none,True,False,0.2336
0.2091,N,0.162,"Carboxypeptidase, Hydrolase, Protease",CPVL,Q9H3G5,Probable serine carboxypeptidase CPVL,0.2742,N,NA,N,Not confident,none,False,False,0.2091
0.209,N,0.13,Fertilization,LYZL4,Q96KX0,Lysozyme-like protein 4,0.825,N,"Cell projection, Cilium, Cytoplasmic vesicle, Flagellum, Secreted",N,Not confident,none,False,False,0.209
0.1996,Y,0.183,Oxidoreductase,VKORC1,Q9BQB6,Vitamin K epoxide reductase complex subunit 1,0.001556,N,"Endoplasmic reticulum, Membrane",N,Not confident,none,True,False,0.1996
0.1948,N,0.216,"Collagen degradation, Hydrolase, Protease, Serine protease",PRTN3,P24158,Myeloblastin,0.4624,N,"Cell membrane, Membrane, Secreted",N,Not confident,none,True,True,0.1948
0.1819,N,0.132,"Actin-binding, Apoptosis, Endonuclease, Hydrolase, Nuclease",DNASE1,P24855,Deoxyribonuclease-1,0.3408,N,"Cytoplasmic vesicle, Nucleus, Secreted",N,Not confident,none,False,False,0.1819
0.1774,N,0.217,"Cytolysis, Hydrolase, Protease, Serine protease",GZMA,P12544,Granzyme A,0.3008,N,Secreted,N,Not confident,none,False,False,0.1774
0.1757,N,0.147,NA,MALRD1,Q5VYJ5,MAM and LDL-receptor class A domain-containing protein 1,0.3713,N,"Cytoplasmic vesicle, Membrane",N,Not confident,none,True,False,0.1757
0.1718,N,0.124,Gaseous exchange,SFTPA2,Q8IWL1,Pulmonary surfactant-associated protein A2,0.5215,N,"Extracellular matrix, Secreted, Surface film",N,Not confident,none,False,False,0.1718
0.1624,N,0.159,"Immunity, Inflammatory response, Innate immunity, Receptor",TLR9,Q9NR96,Toll-like receptor 9,0.4092,N,"Cytoplasmic vesicle, Endoplasmic reticulum, Endosome, Lysosome, Membrane",N,Not confident,none,True,False,0.1624
0.1569,Y,0.12,Receptor,VSIR,Q9H7M9,V-type immunoglobulin domain-containing suppressor of T-cell activation,0.1492,N,"Cell membrane, Membrane",Y,Not confident,none,True,True,0.1569
0.1527,N,0.175,"Cell cycle, Hydrolase, Protease, Serine protease",KLK10,O43240,Kallikrein-10,0.349,N,Secreted,N,Not confident,none,False,False,0.1527
0.1515,N,0.17,"Immunity, Inflammatory response, Innate immunity, Receptor, RNA-binding",TLR3,O15455,Toll-like receptor 3,0.5034,N,"Endoplasmic reticulum, Endosome, Membrane",N,Not confident,none,True,False,0.1515
0.1453,N,0.129,NA,ACAN,P16112,Aggrecan core protein,0.6367,N,"Extracellular matrix, Secreted",N,Not confident,none,False,False,0.1453
0.1445,Y,0.154,"ER-Golgi transport, Protein transport, Transport",SAR1A,Q9NR31,GTP-binding protein SAR1a,0.001124,N,"Endoplasmic reticulum, Golgi apparatus",Y,Not confident,none,False,False,0.1445
0.1392,N,0.095,NA,LYPD1,Q8N2G4,Ly6/PLAUR domain-containing protein 1,0.000221,N,"Cell membrane, Membrane",N,Not confident,none,True,True,0.1392
0.138,N,0.154,"Blood coagulation, Hemostasis, Hydrolase, Protease, Serine protease",F7,P08709,Coagulation factor VII,0.217,Y,Secreted,N,Not confident,none,False,False,0.138
0.1342,N,0.17,"Prenyltransferase, Transferase",RABGGTA,Q92696,Geranylgeranyl transferase type-2 subunit alpha,0.4873,N,NA,N,Not confident,none,False,False,0.1342
