	group	tau	max_tpm	top_organ	partition	omega	rel_rate	rate_shift	coev_excess	coev_n	C_J	axis_tissue	axis_species	axis_coev
ACO1	TCA core	0.2622205144654832	49.15405	Adipose	-0.12829912023460407	0.0488482863124873	-1.4197223673935737	0.3114930640382254				0.25973999776511103	-1.785800623506769	
ACO2	TCA core	0.2964460317181796	165.055	Skeletal_muscle	-0.12829912023460407	0.1098296169422647	-0.15525299245841595	1.4721270784825284			0.0008803364131568	0.5810917931051927	1.062289274114099	
COX4I1	mito/nuclear pairing	0.1034157304451567	330.2405	Heart		0.1790899036474	0.6533736062026543	0.4224322624474852	0.3502184494684238	166.0		-0.7769988950227558	0.4428668519060978	0.3502184494684238
COX5A	mito/nuclear pairing	0.2400344506621088	427.418	Skeletal_muscle		0.3012308091734595	0.19411078676556456	0.9998565717549759	0.8009227326005487	107.0		0.5057478548550145	0.7691252830591127	0.8009227326005487
COX5B	mito/nuclear pairing	0.1331605101618206	484.4385	Heart			1.036881562915423	1.0389379275376434	0.9561938426969422	50.0		-0.49771784593380053	1.6669423837998192	0.9561938426969422
COX6B1	mito/nuclear pairing	0.1207979239984419	258.6895	Heart					0.25455286555474793	24.0		-0.6137932065869754	-0.11715988108359657	0.25455286555474793
COX6C	mito/nuclear pairing	0.1305277125567769	166.50400000000002	Heart					0.1014009475249747	20.0		-0.5224378298832383	-0.11715988108359657	0.1014009475249747
COX7A2	mito/nuclear pairing	0.2457319625607234	550.428	Testis			4.377853701753538		-0.3005977761989821	39.0		0.5592431947230201	4.45531142923686	-0.3005977761989821
COX8A	mito/nuclear pairing	0.1008856129726107	761.073	Skeletal_muscle								-0.8007547899657288	-0.11715988108359657	
CS	TCA core	0.1807035797152432	244.158	Skeletal_muscle			-0.6775870151193707	0.7503278262484079			0.1427729408859625	-0.051324278112204746	-0.4443314529583659	
CYC1	mito/nuclear pairing	0.1512202040691466	393.622	Skeletal_muscle		0.1890052289260315	0.9771595730152393	0.8844328434296798	2.650607638801057	175.0		-0.3281509401201469	1.3966405210889876	2.650607638801057
DLD	TCA core	0.1863923438605893	75.0164	Skeletal_muscle		0.0926775748839228	-0.18823710219736167	1.4311979549432017				0.0020889269498526736	0.9734846303042536	
DLST	TCA core	0.0828365033286159	131.678	Adrenal		0.0905254624341395	-1.0265873541886652	0.20567895961615365				-0.9702223175289756	-1.5359489730039164	
FH	TCA core	0.1682386045688877	61.6971	Skeletal_muscle		0.0628649380150242	-1.1720465582530601	0.18482817625258396			0.0003745809242932	-0.16836099409741775	-1.710122049615996	
FXN	redox tolerance	0.3076992357703283	4.14763	Ovary		0.3465569562016751	2.0214500965272695	0.8613026203755798				1.1410691566569349	2.4116726505133914	
GOT1	TCA core	0.3434735086903371	276.0495	Heart	-0.6488269794721406	0.0753557262831425	-0.4996123204672984	0.23220472822109015				-0.8205897653087642	-0.9717091604200407	
GOT2	TCA core	0.2381558297294594	286.632	Skeletal_muscle	-0.6488269794721406	0.110553648887432	-0.8927003661399442	0.8121308117672746				-1.8094433439193853	-0.5757258831959389	
IDH1	TCA core	0.3608463170282534	269.732	Adrenal	0.19574780058651026	0.0970422642624623	-1.1612983303439606	0.4864110021571441				2.3332400340908777	-1.2885647677310905	
IDH2	TCA core	0.3334353085675928	461.35	Skeletal_muscle	0.19574780058651026	0.0432255516288448	-1.9850430432693802	0.7151497053005219				2.075871337048863	-1.8025171977220662	
IDH3A	TCA core	0.2050939293895042	26.4275	Heart	0.08357771260997067	0.1513516115868068	0.0332046430757289	1.434076011876884			0.0148542255856831	0.4736386088636226	1.1993231119905086	
IDH3B	TCA core	0.1146128656722919	161.8415	Cerebellum		0.1284744854895282	-0.0786711077866522	0.6279601608300813				-0.6718662397194356	-0.01080367756973695	
IDH3G	TCA core	0.1289873871247821	93.8016	Cerebellum		0.1772873776967743	0.5077852394781369	1.7508942176819842				-0.5369003240312417	2.1064630234142627	
MDH1	TCA core	0.2623143794296723	407.821	Heart	-0.31341642228739	0.1113815547828232	-1.2100475631412368	0.6410857001723759				-0.39489503373835333	-1.1267365232021211	
MDH2	TCA core	0.217578058570269	372.777	Skeletal_muscle	-0.31341642228739	0.0300421193022731	-1.376490755980391	0.26733377395828717			0.0007896943387558	-0.8149353480727289	-1.802625341781488	
MT-ATP6	mito/nuclear pairing	0.0732028399162548	64956.4	Heart								-1.0606751516061699	-0.11715988108359657	
MT-CO1	mito/nuclear pairing	0.1029656675318881	76007.0	Heart					1.3857657768684448	233.0	0.7266281146224859	-0.7812246463569729	-0.11715988108359657	1.3857657768684448
MT-CO2	mito/nuclear pairing	0.0786098909527831	68175.25	Brain					1.6300211000366136	149.0		-1.0099070201779463	-0.11715988108359657	1.6300211000366136
MT-CO3	mito/nuclear pairing	0.0851577657420003	76118.6	Kidney					0.6086901099104266	156.0		-0.9484274140805037	-0.11715988108359657	0.6086901099104266
MT-CYB	mito/nuclear pairing	0.07465260148208	41418.45	Heart					2.3685235053394322	196.0		-1.0470629838614656	-0.11715988108359657	2.3685235053394322
MT-ND1	mito/nuclear pairing	0.0826946520892905	39443.05	Brain					1.146188204216184	56.0		-0.9715541936871027	-0.11715988108359657	1.146188204216184
MT-ND2	mito/nuclear pairing	0.0778560860062913	39931.9	Spinal_cord					0.0666818085543437	63.0		-1.016984680132736	-0.11715988108359657	0.0666818085543437
