# Structure-ready predicted PPIs touching the immune/exhaustion module.
# Source: Grishin lab humanPPI (RF2-PPI/AF2), 90% set. Templates = PDB IDs.
# Feed a template PDB ID to interface_residues.py to extract binding-site residues.
name1	name2	rfprob	afprob	pdbtemp	exact	ortho	homo
JUN	ATF3	0.9995	0.0919	homolog	none	none	1s9k,7ucd,5vpa,5vpf
JUN	FOSL1	0.9995	0.994	homolog	none	none	1s9k,7ucd,5vpa,5vpf
JUN	FOSB	0.9995	0.983	homolog	none	none	1s9k,7ucd,5vpa,5vpf
JUN	FOSL2	0.9995	0.998	homolog	none	none	1s9k,7ucd,5vpa,5vpf
ID4	ID2	0.9995	0.02838	homolog	none	none	2lfh,4aya,6mgm,6u2u
JUN	CREB5	0.999	0.02756	homolog	none	none	1t2k
JUN	JDP2	0.999	0.9966	homolog	none	none	1s9k,7ucd,5vpa,5vpf
PVR	TIGIT	0.999	0.996	exact	3udw	none	3j9f,4fmf,5b21,4frw
JUNB	FOSB	0.999	0.091	homolog	none	none	1s9k,7ucd,5vpa,5vpf
JUN	ATF7	0.999	0.02368	homolog	none	none	1t2k
JUND	FOSB	0.999	0.997	exact	7ucd,5vpa,5vpf,5vpd	none	1fos,1s9k,1a02
TCF4	ID2	0.9985	0.0112	homolog	none	none	6mgn,2ypa,2ypb
FOS	ATF3	0.9985	0.088	homolog	none	none	6uci,6ucm
FOS	JUN	0.9985	0.9976	exact	1fos,1s9k,1a02	none	7ucd,5vpa,5vpf,5vpd
PVR	CD226	0.9985	0.9976	ortholog	none	6isc	3j9f,4fmf,5b21,6arq
FOS	JUND	0.998	0.999	homolog	none	none	1s9k,7ucd,5vpa,5vpf
ID2	ID3	0.998	0.0811	homolog	none	none	6mgm,4aya,2lfh,6u2u
PDCD1	CD274	0.998	0.998	exact	5ius,4zqk	3sbw,3bik	3rnk,3bp6,3bp5,6umt
FOS	FOSB	0.998	0.1081	homolog	none	none	6uci,6ucm
