Name	symbol	tau	max_tpm	top_organ	mean_tpm	n_organs_over_1tpm	enriched_in	group_enriched_in	dN	dS	omega	identity	n_codons	log_expr_mean	log_expr	log_codons	log_omega	Entry	is_catalytic	has_binding	n_act_site	has_act_site	n_species	mean_conservation	frac_invariant	n_residues	omega_resid
ENSG00000129170	CSRP3	0.9516587473833424	610.88	Heart	26.858285960937497	2		Heart,Skeletal_muscle	0.289225632641848	0.3662531589332491	0.7896877489992115	0.5477386934673367	199	1.444954392037462	2.7866662580150985	2.298853076409707	-0.10254459946105464	P50461	False	False	0.0	False	491.0	0.9794031381607056	0.7474226804123711	194.0	0.810826369918346
ENSG00000135222	CSN2	0.9818326415565288	0.545632	Salivary_gland	0.025735875	0			0.3826713229171833	0.5209159802458687	0.7346123701879238	0.3715596330275229	218	0.011035545183874543	0.18910610058251878	2.3384564936046046	-0.13394176281467976	P05814	False	False	0.0	False	505.0	0.6297433376312256	0.0044247787610619	226.0	0.7884129516504099
ENSG00000157653	C9orf43	0.883529184675345	113.382	Testis	4.333132265625	9	Testis		0.4290713592772045	0.7022192667450936	0.6110219123807634	0.3296213808463251	449	0.7269823546408313	2.0583576860327377	2.6522463410033232	-0.21394321487134016	Q8TAL5	False	False	0.0	False	490.0	0.620958685874939	0.0195227765726681	461.0	0.7795924278867389
ENSG00000156234	CXCL13	0.917435732473434	545.187	Spleen	18.8406875	8	Spleen	Small_intestine,Spleen	0.4388292736116458	0.5231716490767966	0.8387864181593484	0.3425925925925926	108	1.2975567168243718	2.737341359122181	2.03342375548695	-0.07634861035524404	O43927	False	False	0.0	False	489.0	0.5357674360275269	0.0642201834862385	109.0	0.7768116619092418
ENSG00000203933	CXorf66	0.9994878781837226	30.5584	Testis	0.9567103125	1	Testis		0.5189724961248315	0.7968944241702666	0.651243728634681	0.2516778523489933	298	0.29152653388732297	1.499114976515025	2.4742162640762553	-0.18625644585359527	Q5JRM2	False	False	0.0	False	519.0	0.4489244222640991	0.002770083102493	361.0	0.7668943780685868
ENSG00000135077	HAVCR2	0.5134985866628023	32.7664	Lung	7.120397656249999	31			0.4412964112876625	0.6883450213190173	0.6410977019083302	0.3519163763066202	287	0.909577297182855	1.5284847608582148	2.4578818967339924	-0.193075779894181	Q8TDQ0	False	True	0.0	False	550.0	0.6979876160621643	0.0102739726027397	292.0	0.7563697124497503
ENSG00000123838	C4BPA	0.9351298049452444	381.877	Liver	13.828283820312503	5	Liver	Liver,Lung	0.3401878572065886	0.5911800830577019	0.5754386302174945	0.391304347826087	460	1.1710908900373158	2.58305927840541	2.662757831681574	-0.24000098650695664	P04003	False	False	0.0	False	552.0	0.6312295198440552	0.0753768844221105	597.0	0.7559191109121753
ENSG00000117586	TNFSF4	0.5512233911217209	5.43437	Testis	1.56526253125	21			0.3668042161000717	0.519179495677324	0.7065075164833643	0.3277777777777778	180	0.4091318178060262	0.8085060308180666	2.255272505103306	-0.1508832133626502	P23510	False	False	0.0	False	490.0	0.6767510175704956	0.0382513661202185	183.0	0.7526018226545192
ENSG00000129534	MIS18BP1	0.3254146036426901	14.3403	Ovary	6.68652078125	32			0.2969494918731534	0.6411578907865516	0.4631456559145914	0.4222648752399232	1042	0.8857298056762226	1.1858338529030914	3.0178677189635055	-0.33428240506865337	Q6P0N0	False	False	0.0	False	487.0	0.7406371235847473	0.0371024734982332	1132.0	0.7421917690113092
ENSG00000116030	SUMO1	0.1089213118536795	98.72385	Cerebellum	62.947165625	32			0.3751783484831139	0.5307229847838938	0.7069193519777245	0.5070422535211268	142	1.8058212997028362	1.9987990367940216	2.1522883443830563	-0.15063012932738085	P63165	False	False	0.0	False	531.0	0.8884747624397278	0.1643835616438356	146.0	0.7294937042152316
